case,agent_id,candidate_id,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,notes
ex247,float-fp8-r3,ex247_div_sigpair_delta_range_runs_synth_preset_aig,range-class tables with rounding/saturation predicates,"sig_key, eff_exp delta, zero_hi_table, sat_lo_table, normal_mag range runs",all 8 output bits,avoid round2 bound-smallpat underflow pattern reconstruction and class-id indirection,status=OK area=777 delay=41 adp=31857,direct sigpair delta range runs; official evaluate.py log recorded
ex260,integer-r3,ex260_smul_bias_product_csa_rows_abc_g_and,signed multiplier decomposition / shared compressor rows,"a_bias,b_bias,4 unsigned partial-product rows,2 negated correction rows,CSA merge rows",out[7:0],share signed correction before final product merge,"141/17/2397 equivalent, non-winning",materially different from current reverse Baugh-Wooley hCLA4 replay but area/delay regressed
ex225,unary-r3,ex225_mant0_base_xorres_low12_hi5_abc_g_aig,exponent_base_xor_residual,special decode; mantissa-zero exponent base; residual high-bit run trees; low nested residual LUT,out[15:0],reduce positive-normal table entropy by factoring exponent base before residual encoding,10723/21/225183,"mantissa-zero exponent base XOR residual normalizer; special_const_groups=33; special_full_groups=1; special_items=1057; base=mantissa_zero_output_per_positive_exponent; residual_low_width=12; nested_hi=5; nested_lo=5; low_items=30720; const_hi=0; residual_b15:runs=30,max=1,const=30; residual_b14:runs=32,max=2,const=28; residual_b13:runs=34,max=2,const=26; residual_b12:runs=38,max=4,const=26; runtime_sec=12.202"
ex281,unknown-gf2-r3,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=128;delay=26;adp=3328;equivalent=1,coord_width=18; candidate_products=8342; unique_products=38; roots=24; selected_terms=43; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:3:7:4:5:8; linear_factored=1; hash_pending=1; exact Python model over 8192 rows; hash=3875f6feb541
ex286,unknown-routing-r3,ex286_bucketed_popcount_shared_decode_sop_abc_g_aig,bucketed_popcount_shared_decode_sop,4607,13,share bucket popcounts and key equality decoders across all output bits,area=22411;delay=20;adp=448220,"bucket_members=11;9;8,10;1,3;0;12;2,6,7;4,5; bucket_widths=1:1:2:2:1:1:2:2; selectors=raw3:raw10:xor6_7; key_width=15; mapped_keys=4608; nonzero_decoders=4607"
ex297,unknown-state-r3,ex297_r3_cell_delta_xorrotl2_outer_default_sparse_i7_abc_g_aig,cell_delta_sparse_residual,16184,14,exact cell-symbol residual correction without replaying BDD roots,area=39835; delay=22; adp=876370,cell_delta descriptor; xor_rotl2 linear base; cell outside-in order 0:1:12:13:2:3:10:11:4:5:8:9:6:7; sparse exceptions 16184/16384
ex266,integer-r3,ex266_udiv_prefix_subtract_sat_or_abc_g_and,divider comparator/subtractor prefix,"shifted divisor thresholds, sequential remainder wires, dbz saturation mask",out[4:0],compact shared arithmetic path and shallow saturation outputs,"94/31/2914 equivalent, non-winning",materially different from BDD/cofactor word-mux family; delay dominated by subtract chain
ex282,unknown-gf2-r3,ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=158;delay=27;adp=4266;equivalent=1,coord_width=19; candidate_products=8254; unique_products=40; roots=26; selected_terms=45; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:2:3:7:4:5:8; linear_factored=1; hash_pending=1; exact Python model over 16384 rows; hash=81f11f7f6217
ex280,unknown-gf2-r3,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=115;delay=26;adp=2990;equivalent=1,coord_width=17; candidate_products=7240; unique_products=36; roots=22; selected_terms=41; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:3:7:4:5:8; linear_factored=1; hash_pending=1; exact Python model over 4096 rows; hash=a99ebdb16a91
ex281,unknown-gf2-r3,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig_d18,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=128;delay=26;adp=3328;equivalent=1,coord_width=18; candidate_products=8342; unique_products=38; roots=24; selected_terms=43; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:3:7:4:5:8; linear_factored=1; hash_pending=1; exact Python model over 8192 rows; hash=3875f6feb541
