case,agent_id,candidate_id,simulator,status,log_path,notes
ex225,unary-r3,ex225_mant0_base_xorres_low12_hi5_abc_g_aig,iverilog,not_run,,debug simulation skipped; official evaluate.py used for validity
ex281,unknown-gf2-r3,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex297,unknown-state-r3,ex297_r3_cell_delta_xorrotl2_outer_default_sparse_i7_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex297/logs/ex297_r3_cell_delta_xorrotl2_outer_default_sparse_i7_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex282,unknown-gf2-r3,ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex280,unknown-gf2-r3,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex281,unknown-gf2-r3,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig_d18,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex223,unary-r3,ex223_selected_residual_low8_hi5_abc_g_aig,iverilog,not_run,,debug simulation skipped; official evaluate.py used for validity
ex200,unary-r3,ex200_selected_highbits_low12_hilo3_abc_g_aig,iverilog,not_run,,debug simulation skipped; official evaluate.py used for validity
ex299,unknown-state-r3,ex299_r3_cell_prefix_bridge_cofactorized_bdd_pair_outside_in_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex299/logs/ex299_r3_cell_prefix_bridge_cofactorized_bdd_pair_outside_in_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_wide_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex284,unknown-gf2-r3,ex284_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex284,unknown-gf2-r3,ex284_gf2_overlap_roots_wide_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_mixed_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex284,unknown-gf2-r3,ex284_gf2_overlap_roots_mixed_roots_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex284,unknown-gf2-r3,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex224,unary-r3,ex224_semantic_clustered_corr_abc_g_aig,iverilog,not_run,,debug simulation skipped; official evaluate.py used for validity
ex281,unknown-gf2-r3,ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex282,unknown-gf2-r3,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex281,unknown-gf2-r3,ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig_d18,generator_python_model,PASS,,checked exact Python model over all truth rows before synthesis; iverilog not used
ex295,unknown-state-r3,ex295_r3_linearperm_bit_reverse_identity_outside_i6_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex295/logs/ex295_r3_linearperm_bit_reverse_identity_outside_i6_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex298,unknown-state-r3,ex298_r3_linearperm_bit_reverse_identity_natural_i7_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex298/logs/ex298_r3_linearperm_bit_reverse_identity_natural_i7_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex294,unknown-state-r3,ex294_r3_linearperm_rotr2_key_gray_natural_i8_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex294/logs/ex294_r3_linearperm_rotr2_key_gray_natural_i8_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex297,unknown-state-r3,ex297_r3_linearperm_bit_reverse_identity_outside_i7_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex297/logs/ex297_r3_linearperm_bit_reverse_identity_outside_i7_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex225,unary-r3,ex225_expbase_addres_low11_hi5_abc_g_aig,iverilog,not_run,,debug simulation skipped; official evaluate.py used for validity
ex295,unknown-state-r3,ex295_r3_shared_cell3_transition_base_residual_i6_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex295/logs/ex295_r3_shared_cell3_transition_base_residual_i6_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex224,unary-r3,ex224_expclass_wordbdd_msb_abc_g_aig,iverilog,not_run,,debug simulation skipped; official evaluate.py used for validity
ex298,unknown-state-r3,ex298_r3_linearperm_gray_identity_natural_i7_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex298/logs/ex298_r3_linearperm_gray_identity_natural_i7_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex204,unary-r3,ex204_arithbase_delta_hilo4_add_abc_g_aig,iverilog,not_run,,debug simulation skipped; official evaluate.py used for validity
ex294,unknown-state-r3,ex294_r3_anf_deg2_sharedpool_residual_i8_abc_g_aig,python_exact_model,PASS,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-state-r3/ex294/logs/ex294_r3_anf_deg2_sharedpool_residual_i8_abc_g_aig.model.log,construction checked against TruthTable abc_xf outputs before synthesis
ex205,unary-r3,ex205_log10_exp_runs_mant_sep_m4_abc_g_aig,iverilog,not_run,,debug simulation skipped; official evaluate.py used for validity
