case,domain,agent_id,hypothesis,method_signature,status,reason,verilog_path,evaluate_log,notes
ex247,float_fp8,fp8-core-r9,E5M2FN packed low-over-high division,ex247|E5M2FN packed low-over-high division|semantic-key cofactor residual logic|shared special-case shell with exponent-delta and significand-key output cofactors|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|cofactored_output_bits,equivalent_no_improvement,ADP 14574 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/verilog/ex247_semantic_div_key_bdd_delta_then_sig.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/logs/ex247_semantic_div_key_bdd_delta_then_sig_abc_g_aig.official_evaluate.log,materially different from quotient-class/bound attributes; exact but area is too high; artifact_path=student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/aigs/ex247_semantic_div_key_bdd_delta_then_sig_abc_g_aig.aig
ex247,float_fp8,fp8-core-r9,E5M2FN packed low-over-high division,ex247|E5M2FN packed low-over-high division|semantic-key cofactor residual logic|shared special-case shell with exponent-delta and significand-key output cofactors|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_div_low_over_high|cofactored_output_bits,equivalent_no_improvement,ADP 13400 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/verilog/ex247_semantic_div_key_bdd_delta_then_sig.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/logs/ex247_semantic_div_key_bdd_delta_then_sig_synth_preset_aig.official_evaluate.log,materially different from quotient-class/bound attributes; exact but area is too high; artifact_path=student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/aigs/ex247_semantic_div_key_bdd_delta_then_sig_synth_preset_aig.aig
ex247,float_fp8,fp8-core-r9,E5M2FN packed low-over-high division,ex247|E5M2FN packed low-over-high division|direct midpoint-threshold quotient normalizer|shared special-case shell sign xor exponent delta significand decode and RNE quotient threshold predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|threshold_quantized_magnitude,equivalent_no_improvement,ADP 16555 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/verilog/ex247_semantic_div_threshold_compare.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/logs/ex247_semantic_div_threshold_compare_abc_g_aig.official_evaluate.log,materially different from bound-region and bound-smallpat; exact but comparator depth is high; artifact_path=student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/aigs/ex247_semantic_div_threshold_compare_abc_g_aig.aig
ex247,float_fp8,fp8-core-r9,E5M2FN packed low-over-high division,ex247|E5M2FN packed low-over-high division|direct midpoint-threshold quotient normalizer|shared special-case shell sign xor exponent delta significand decode and RNE quotient threshold predicates|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_div_low_over_high|threshold_quantized_magnitude,equivalent_no_improvement,ADP 14336 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/verilog/ex247_semantic_div_threshold_compare.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/logs/ex247_semantic_div_threshold_compare_synth_preset_aig.official_evaluate.log,materially different from bound-region and bound-smallpat; exact but comparator depth is high; artifact_path=student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex247/aigs/ex247_semantic_div_threshold_compare_synth_preset_aig.aig
ex246,float_fp8,fp8-core-r9,E5M2FN packed multiply,ex246|E5M2FN packed multiply|semantic-key cofactor residual logic|shared special-case shell with exponent-sum/product-key output cofactors|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|cofactored_output_bits,equivalent_no_improvement,ADP 10528 did not improve current frontend ADP 7502,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/verilog/ex246_semantic_mul_key_bdd_exp_then_product.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/logs/ex246_semantic_mul_key_bdd_exp_then_product_abc_g_aig.official_evaluate.log,materially different from product-code completion; exact but area/delay remain above current best; artifact_path=student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/aigs/ex246_semantic_mul_key_bdd_exp_then_product_abc_g_aig.aig
ex246,float_fp8,fp8-core-r9,E5M2FN packed multiply,ex246|E5M2FN packed multiply|semantic-key cofactor residual logic|shared special-case shell with exponent-sum/product-key output cofactors|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|cofactored_output_bits,equivalent_no_improvement,ADP 10036 did not improve current frontend ADP 7502,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/verilog/ex246_semantic_mul_key_bdd_exp_then_product.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/logs/ex246_semantic_mul_key_bdd_exp_then_product_synth_preset_aig.official_evaluate.log,materially different from product-code completion; exact but area/delay remain above current best; artifact_path=student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/aigs/ex246_semantic_mul_key_bdd_exp_then_product_synth_preset_aig.aig
ex246,float_fp8,fp8-core-r9,E5M2FN packed multiply,ex246|E5M2FN packed multiply|product threshold normalizer|shared special-case shell sign xor exponent sum product and RNE threshold predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|threshold_quantized_magnitude,equivalent_no_improvement,ADP 14070 did not improve current frontend ADP 7502,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/verilog/ex246_semantic_mul_threshold_norm.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/logs/ex246_semantic_mul_threshold_norm_abc_g_aig.official_evaluate.log,materially different from product-code completion; exact but much deeper than current best; artifact_path=student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/aigs/ex246_semantic_mul_threshold_norm_abc_g_aig.aig
ex246,float_fp8,fp8-core-r9,E5M2FN packed multiply,ex246|E5M2FN packed multiply|product threshold normalizer|shared special-case shell sign xor exponent sum product and RNE threshold predicates|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|threshold_quantized_magnitude,equivalent_no_improvement,ADP 13932 did not improve current frontend ADP 7502,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/verilog/ex246_semantic_mul_threshold_norm.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/logs/ex246_semantic_mul_threshold_norm_synth_preset_aig.official_evaluate.log,materially different from product-code completion; exact but much deeper than current best; artifact_path=student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-core-r9/ex246/aigs/ex246_semantic_mul_threshold_norm_synth_preset_aig.aig
ex244,float_fp8,fp8-wide-r9,E4M3FN packed hypot,ex244|E4M3FN packed hypot|lane_factored_delta_mask|shared max/min field decode plus output-bit residual masks|round9_yosys_default|exact_e4m3fn_hypot_abs_high_low|max_passthrough_mask_outputs,evaluated_no_current_frontend_improvement,official ADP 21945 does not beat current frontend ADP 10234,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-wide-r9/ex244/verilog/ex244_round9_lane_factored_delta_mask.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851/fp8-wide-r9/ex244/logs/ex244_round9_lane_factored_delta_mask_default.official_evaluate.log,Equivalent candidate retained in candidates.csv for evidence.
ex244,float_fp8,fp8-wide-r9,E4M3FN packed hypot,ex244|E4M3FN packed hypot|sqsum_threshold_quant|shared square-sum decode and squared midpoint thresholds|not_attempted|exact_e4m3fn_hypot_abs_high_low|threshold_quantized_full_output,not_attempted_convergence_pass,convergence request allowed at least one selected family; prioritized fastest exact source for this case,,,Recorded so the shard is not left planned-only.
