case,domain,current_frontend_candidate,current_frontend_area,current_frontend_delay,current_frontend_adp,reference_adp,frontend_reference_ratio,round9_status,round9_best_candidate,round9_best_area,round9_best_delay,round9_best_adp,round9_beats_current_frontend,round9_beats_reference,next_action
ex286,unknown,ex286_unknown_symcof_interleave_f00_bits_0_12_1_10_onehot_group_abc_g_aig,1346,15,20190,2376,8.497475,blocked_no_official_candidate,,,,,0,0,Need a genuinely new nonlinear conservative-routing state basis; do not repeat bucket/table/symcof/Fredkin/token-count/lane-parity variants unchanged.
ex287,unknown,ex287_interleave_f00_k5_abc_g_aig,1832,15,27480,5782,4.752681,blocked_no_official_candidate,,,,,0,0,Need a genuinely new nonlinear conservative-routing state basis; current collision-path descriptor did not survive low-weight sanity.
ex247,float_fp8,ex247_round5_bound_region_mux_abc_g_aig,363,23,8349,2975,2.806387,evaluated_no_improvement,ex247_semantic_div_key_bdd_delta_then_sig_synth_preset_aig,670,20,13400,0,0,Current bound-region mux still dominates; avoid threshold/cofactor BDD repeats unless they reduce area below the Round8 363/23 source.
ex246,float_fp8,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,341,22,7502,2805,2.674510,evaluated_no_improvement,ex246_semantic_mul_key_bdd_exp_then_product_synth_preset_aig,386,26,10036,0,0,Current product DC seed remains best; future work should expose cheaper partial-product sharing without the key-BDD/table area growth.
ex297,unknown,ex297_low_split_default_abc_g_aig,32422,18,583596,225900,2.583426,evaluated_no_improvement,ex297_ring_state_transition_bank_mtbdd_cellorder,40252,23,925796,0,0,Need a smaller cyclic 2-bit ring descriptor before RTL; MTBDD and direct ANF are too large/deep.
ex299,unknown,ex299_high_split_default_abc_g_aig,118397,22,2604734,1013807,2.569260,blocked_no_official_candidate,,,,,0,0,Need a smaller full-ring recurrence or descriptor; MTBDD times out and direct ANF term count is too high.
ex285,unknown,ex285_decision_tree_greedy_synth_preset,775,17,13175,5499,2.395890,evaluated_no_improvement,ex285_compact_routing_descriptor_mtbdd_natural,2945,17,50065,0,0,Need decision-tree factoring or a compact hidden routing state smaller than the MTBDD/ANF forms.
ex244,float_fp8,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,301,34,10234,4272,2.395599,evaluated_no_improvement,ex244_round9_lane_factored_delta_mask_default,665,33,21945,0,0,"Area can be low, but delay is the blocker; target shallow delta/round predicates rather than another mask overlay."
ex240,float_fp8,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig,590,51,30090,13299,2.262576,evaluated_no_improvement,ex240_round9_split_threshold_quant_default,2098,146,306308,0,0,Same-sign path is already compact; focus on verified diff-sign cancellation/renormalization formulas with lower delay.
ex245,float_fp8,ex245_semantic_add_gap_class_synth_preset_aig,701,34,23834,11050,2.156923,evaluated_no_improvement,ex245_round9_split_threshold_quant_default,2652,192,509184,0,0,Gap-class current best dominates; future work should find a shallow active-small-gap normalizer rather than threshold tables.
