case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex223,ex223_fp16_log_sign_exp_mant_attr_all,fp16_log,sign_exp_mant_attr_all,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/verilog/ex223_fp16_log_sign_exp_mant_attr_all.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/aigs/ex223_fp16_log_sign_exp_mant_attr_all.aig,1,1,1,11164,23,256772,120549,2.130022,0,0,12.092,31777; attr_mode=all,structural_exact,case attribute source variant; 31777; attr_mode=all
ex223,ex223_fp16_log_sign_exp_mant_attr_outer,fp16_log,sign_exp_mant_attr_outer,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/verilog/ex223_fp16_log_sign_exp_mant_attr_outer.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/aigs/ex223_fp16_log_sign_exp_mant_attr_outer.aig,1,1,1,11164,23,256772,120549,2.130022,0,0,12.238,31777; attr_mode=outer,structural_exact,case attribute source variant; 31777; attr_mode=outer
ex223,ex223_fp16_log_sign_exp_mant_attr_mant,fp16_log,sign_exp_mant_attr_mant,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/verilog/ex223_fp16_log_sign_exp_mant_attr_mant.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/aigs/ex223_fp16_log_sign_exp_mant_attr_mant.aig,1,1,1,11164,23,256772,120549,2.130022,0,0,12.184,31777; attr_mode=mant,structural_exact,case attribute source variant; 31777; attr_mode=mant
ex223,ex223_fp16_log_split_sign_exp_mant_attr_all,fp16_log,split_sign_exp_mant_attr_all,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/verilog/ex223_fp16_log_split_sign_exp_mant_attr_all.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/aigs/ex223_fp16_log_split_sign_exp_mant_attr_all.aig,1,1,1,11186,25,279650,120549,2.319804,0,0,12.132,31777; attr_mode=all,structural_exact,case attribute source variant; 31777; attr_mode=all
ex223,ex223_fp16_log_split_sign_exp_mant_attr_exp,fp16_log,split_sign_exp_mant_attr_exp,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/verilog/ex223_fp16_log_split_sign_exp_mant_attr_exp.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/aigs/ex223_fp16_log_split_sign_exp_mant_attr_exp.aig,1,1,1,11186,25,279650,120549,2.319804,0,0,12.231,31777; attr_mode=exp,structural_exact,case attribute source variant; 31777; attr_mode=exp
ex223,ex223_fp16_log_split_sign_exp_mant_attr_mant,fp16_log,split_sign_exp_mant_attr_mant,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/verilog/ex223_fp16_log_split_sign_exp_mant_attr_mant.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex223/aigs/ex223_fp16_log_split_sign_exp_mant_attr_mant.aig,1,1,1,11186,25,279650,120549,2.319804,0,0,11.589,31777; attr_mode=mant,structural_exact,case attribute source variant; 31777; attr_mode=mant
ex224,ex224_fp16_log2_sign_exp_mant_attr_all,fp16_log2,sign_exp_mant_attr_all,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/verilog/ex224_fp16_log2_sign_exp_mant_attr_all.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/aigs/ex224_fp16_log2_sign_exp_mant_attr_all.aig,1,1,1,6332,21,132972,64708,2.054955,0,0,9.532,31777; attr_mode=all,structural_exact,case attribute source variant; 31777; attr_mode=all
ex224,ex224_fp16_log2_sign_exp_mant_attr_outer,fp16_log2,sign_exp_mant_attr_outer,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/verilog/ex224_fp16_log2_sign_exp_mant_attr_outer.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/aigs/ex224_fp16_log2_sign_exp_mant_attr_outer.aig,1,1,1,6332,21,132972,64708,2.054955,0,0,10.486,31777; attr_mode=outer,structural_exact,case attribute source variant; 31777; attr_mode=outer
ex224,ex224_fp16_log2_sign_exp_mant_attr_mant,fp16_log2,sign_exp_mant_attr_mant,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/verilog/ex224_fp16_log2_sign_exp_mant_attr_mant.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/aigs/ex224_fp16_log2_sign_exp_mant_attr_mant.aig,1,1,1,6332,21,132972,64708,2.054955,0,0,9.503,31777; attr_mode=mant,structural_exact,case attribute source variant; 31777; attr_mode=mant
ex224,ex224_fp16_log2_split_sign_exp_mant_attr_all,fp16_log2,split_sign_exp_mant_attr_all,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/verilog/ex224_fp16_log2_split_sign_exp_mant_attr_all.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/aigs/ex224_fp16_log2_split_sign_exp_mant_attr_all.aig,1,1,1,6320,22,139040,64708,2.148730,0,0,9.911,31777; attr_mode=all,structural_exact,case attribute source variant; 31777; attr_mode=all
ex224,ex224_fp16_log2_split_sign_exp_mant_attr_exp,fp16_log2,split_sign_exp_mant_attr_exp,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/verilog/ex224_fp16_log2_split_sign_exp_mant_attr_exp.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/aigs/ex224_fp16_log2_split_sign_exp_mant_attr_exp.aig,1,1,1,6320,22,139040,64708,2.148730,0,0,9.979,31777; attr_mode=exp,structural_exact,case attribute source variant; 31777; attr_mode=exp
ex224,ex224_fp16_log2_split_sign_exp_mant_attr_mant,fp16_log2,split_sign_exp_mant_attr_mant,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/verilog/ex224_fp16_log2_split_sign_exp_mant_attr_mant.v,student/work/ex223_ex224_frontend_fp16_log_caseattrs_20260606_2312/ex224/aigs/ex224_fp16_log2_split_sign_exp_mant_attr_mant.aig,1,1,1,6320,22,139040,64708,2.148730,0,0,9.525,31777; attr_mode=mant,structural_exact,case attribute source variant; 31777; attr_mode=mant
