case,domain,candidate_id,equivalent,area,delay,adp,reference_adp,current_frontend_adp,verilog_path,aig_path,log_path,method_signature,agent_id,run_id,notes
ex204,bf16,ex204_blocked_no_new_log2_residual_formula,,,,,15180,25670,,,,ex204|blocked_no_new_log2_residual_formula|no_candidate|prior_arithbase_sparse_hilo4_formula_variants|not_run|abc_xf_official_evaluate|blocked,,ex200_ex299_frontend_refgap_round11_20260612_1944,Blocked before generation because no material non-repeat log2 residual/formula candidate was identified.
ex223,fp16,ex223_blocked_no_materially_different_semantic_normalizer,,,,,120549,203756,,,,ex223|blocked_no_materially_different_semantic_normalizer|no_candidate|prior_blocker_plus_nested_residual_selected_repeats|not_run|abc_xf_official_evaluate|blocked,,ex200_ex299_frontend_refgap_round11_20260612_1944,Blocked before generation because filtered state already contains an equivalent prior blocker and the remaining fast exact path would replay nested-low FP16 tables.
ex225,fp16,ex225_blocked_no_materially_different_non_nested_normalizer,,,,,116676,218728,,,,ex225|blocked_no_materially_different_non_nested_normalizer|no_candidate|blocked_repeats_nested_selected_sparse_residual|not_run|abc_xf_official_evaluate|blocked,,ex200_ex299_frontend_refgap_round11_20260612_1944,Blocked before generation because no material non-repeat candidate was identified.
ex247,float_fp8,ex247_round11_direct_lowmag_attr_abc_g_aig,1,382,26,9932,2975,8349,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/verilog/ex247_round11_direct_lowmag_attr.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/aigs/ex247_round11_direct_lowmag_attr_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/logs/ex247_round11_direct_lowmag_attr_abc_g_aig.official_evaluate.log,"ex247|E5M2FN packed division can reduce boundary-region delay by direct low-magnitude attributes|denominator-nested bound attributes with direct low-step magnitudes|shared sign, exponent-delta, significand decode, boundary predicates, and direct low/linear magnitude fields|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|direct_lowmag_boundary_outputs",fp8-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/logs/ex247_round11_direct_lowmag_attr_abc_g_aig.yosys.log; runtime_sec=0.791
ex249,float_fp8,ex249_round11_output_grouped_delta_abc_g_aig,1,168,29,4872,2079,4368,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/verilog/ex249_round11_output_grouped_delta.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/aigs/ex249_round11_output_grouped_delta_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_abc_g_aig.official_evaluate.log,"ex249|E5M2FN packed hypot can reduce delay by grouping output increment bits|raw-exponent gap0/gap1 delta predicates with direct increment-bit output|shared abs max/min decode, raw exponent gap predicates, and saturation guard|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|direct_increment_output_bits",fp8-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official evaluate.py; yosys_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_abc_g_aig.yosys.log; runtime_sec=1.884;
ex249,float_fp8,ex249_round11_output_grouped_delta_synth_preset_aig,1,169,29,4901,2079,4368,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/verilog/ex249_round11_output_grouped_delta.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/aigs/ex249_round11_output_grouped_delta_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_synth_preset_aig.official_evaluate.log,"ex249|E5M2FN packed hypot can reduce delay by grouping output increment bits|raw-exponent gap0/gap1 delta predicates with direct increment-bit output|shared abs max/min decode, raw exponent gap predicates, and saturation guard|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|direct_increment_output_bits",fp8-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official evaluate.py; yosys_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_synth_preset_aig.yosys.log; runtime_sec=0.817;
ex260,integer,ex260_blocked_no_new_shared_signed_compressor,,,,,657,1144,,,,ex260|blocked_no_new_shared_signed_compressor|no_candidate|prior_booth_baugh_wallace_qmc_bdd_split_repeats|not_run|abc_xf_official_evaluate|blocked,,ex200_ex299_frontend_refgap_round11_20260612_1944,Blocked before generation because no material non-repeat signed 4x4 sharing candidate was identified.
ex277,integer,ex277_isqrt_cofbdd4_reverse_synth_preset_d12,,237,12,2844,1980,2844,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/integer-extra-r11/ex277/verilog/ex277_isqrt_cofbdd4_reverse.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/integer-extra-r11/ex277/aigs/ex277_isqrt_cofbdd4_reverse_synth_preset_d12.aig,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,official evaluate.py row produced for this shard
ex286,unknown,,,,,,2376,20190,,,,ex286|hamming_weight_preserving_lossy_routing_normalizer|no_new_exact_nonlinear_basis_available|n/a|no_synth|blocked_before_verilog|full_word,routing-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,No official evaluate.py run because no Verilog/AIG candidate was emitted; exact fallback would repeat a prohibited wrapper family.
ex287,unknown,,,,,,5782,27480,,,,ex287|hamming_weight_preserving_lossy_routing_normalizer|no_new_exact_nonlinear_basis_available|n/a|no_synth|blocked_before_verilog|full_word,routing-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,No official evaluate.py run because no Verilog/AIG candidate was emitted; exact fallback would repeat a prohibited wrapper family.
ex295,unknown,ex295_r11_bitplane_symbol_split_abc_g_aig_d14,1,8368,15,125520,68064,123855,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/aigs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.aig,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.evaluate.log,ex295|state/cell interleaved selector exact split|bitplane_majority_default_exception|per_output_bit_balanced_tables|abc_g_aig_d14|official_truth_exact_partition|per_bit_outputs,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.yosys.log; stats={""bit_exceptions_after_bit_modes"": 18054, ""inner_bits"": [1, 3, 5, 7, 9, 11], ""row_exceptions_after_bit_modes"": 3942, ""selector_bits"": [0, 2, 4, 6, 8, 10]}"
ex295,unknown,ex295_r11_evenbase_residual_split_abc_g_aig,1,8231,17,139927,68064,123855,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_evenbase_residual_split_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/aigs/ex295_r11_evenbase_residual_split_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig.evaluate.log,ex295|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig|official_truth_exact_partition|all_outputs_grouped_residual,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11], ""residual_exceptions"": 3684, ""selector_bits"": [0, 2, 4, 6, 8, 10], ""unique_residual_modes"": 59}"
