case,domain,candidate_id,hypothesis,method_signature,verilog_path,aig_path,equivalent,area,delay,adp,reference_adp,current_frontend_adp,beat_reference,improved_frontend,log_path,agent_id,run_id,notes
ex247,float_fp8,ex247_round11_direct_lowmag_attr_abc_g_aig,E5M2FN packed division can reduce boundary-region delay by direct low-magnitude attributes,"ex247|E5M2FN packed division can reduce boundary-region delay by direct low-magnitude attributes|denominator-nested bound attributes with direct low-step magnitudes|shared sign, exponent-delta, significand decode, boundary predicates, and direct low/linear magnitude fields|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|direct_lowmag_boundary_outputs",student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/verilog/ex247_round11_direct_lowmag_attr.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/aigs/ex247_round11_direct_lowmag_attr_abc_g_aig.aig,1,382,26,9932,2975,8349,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/logs/ex247_round11_direct_lowmag_attr_abc_g_aig.official_evaluate.log,fp8-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official evaluate.py status OK; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/logs/ex247_round11_direct_lowmag_attr_abc_g_aig.yosys.log; runtime_sec=0.791
ex249,float_fp8,ex249_round11_output_grouped_delta_abc_g_aig,E5M2FN packed hypot can reduce delay by grouping output increment bits,"ex249|E5M2FN packed hypot can reduce delay by grouping output increment bits|raw-exponent gap0/gap1 delta predicates with direct increment-bit output|shared abs max/min decode, raw exponent gap predicates, and saturation guard|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|direct_increment_output_bits",student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/verilog/ex249_round11_output_grouped_delta.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/aigs/ex249_round11_output_grouped_delta_abc_g_aig.aig,1,168,29,4872,2079,4368,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_abc_g_aig.official_evaluate.log,fp8-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official evaluate.py; yosys_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_abc_g_aig.yosys.log; runtime_sec=1.884;
ex249,float_fp8,ex249_round11_output_grouped_delta_synth_preset_aig,E5M2FN packed hypot can reduce delay by grouping output increment bits,"ex249|E5M2FN packed hypot can reduce delay by grouping output increment bits|raw-exponent gap0/gap1 delta predicates with direct increment-bit output|shared abs max/min decode, raw exponent gap predicates, and saturation guard|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|direct_increment_output_bits",student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/verilog/ex249_round11_output_grouped_delta.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/aigs/ex249_round11_output_grouped_delta_synth_preset_aig.aig,1,169,29,4901,2079,4368,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_synth_preset_aig.official_evaluate.log,fp8-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official evaluate.py; yosys_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_synth_preset_aig.yosys.log; runtime_sec=0.817;
ex277,integer,ex277_isqrt_cofbdd4_reverse_synth_preset_d12,unsigned_floor_isqrt,,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/integer-extra-r11/ex277/verilog/ex277_isqrt_cofbdd4_reverse.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/integer-extra-r11/ex277/aigs/ex277_isqrt_cofbdd4_reverse_synth_preset_d12.aig,1,237,12,2844,1980,2844,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/integer-extra-r11/ex277/logs/ex277_isqrt_cofbdd4_reverse_synth_preset_d12.evaluate_py.log,integer-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,official evaluate.py equivalent and ties known frontend best
ex295,unknown,ex295_r11_bitplane_symbol_split_abc_g_aig_d14,lower-delay bitplane symbol split,ex295|state/cell interleaved selector exact split|bitplane_majority_default_exception|per_output_bit_balanced_tables|abc_g_aig_d14|official_truth_exact_partition|per_bit_outputs,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/aigs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.aig,1,8368,15,125520,68064,123855,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.yosys.log; stats={""bit_exceptions_after_bit_modes"": 18054, ""inner_bits"": [1, 3, 5, 7, 9, 11], ""row_exceptions_after_bit_modes"": 3942, ""selector_bits"": [0, 2, 4, 6, 8, 10]}"
ex295,unknown,ex295_r11_evenbase_residual_split_abc_g_aig,even-plane base plus compressed residual,ex295|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig|official_truth_exact_partition|all_outputs_grouped_residual,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_evenbase_residual_split_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/aigs/ex295_r11_evenbase_residual_split_abc_g_aig.aig,1,8231,17,139927,68064,123855,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11], ""residual_exceptions"": 3684, ""selector_bits"": [0, 2, 4, 6, 8, 10], ""unique_residual_modes"": 59}"
ex295,unknown,ex295_r11_evenbase_residual_split_abc_g_aig_d14,even-plane base plus compressed residual,ex295|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig_d14|official_truth_exact_partition|all_outputs_grouped_residual,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_evenbase_residual_split_abc_g_aig_d14.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/aigs/ex295_r11_evenbase_residual_split_abc_g_aig_d14.aig,1,8231,17,139927,68064,123855,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig_d14.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig_d14.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11], ""residual_exceptions"": 3684, ""selector_bits"": [0, 2, 4, 6, 8, 10], ""unique_residual_modes"": 59}"
ex297,unknown,ex297_r11_evenbase_residual_split_abc_g_aig,even-plane base plus compressed residual,ex297|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig|official_truth_exact_partition|all_outputs_grouped_residual,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/verilog/ex297_r11_evenbase_residual_split_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/aigs/ex297_r11_evenbase_residual_split_abc_g_aig.aig,1,31472,20,629440,225900,569592,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/logs/ex297_r11_evenbase_residual_split_abc_g_aig.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/logs/ex297_r11_evenbase_residual_split_abc_g_aig.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11, 13], ""residual_exceptions"": 15281, ""selector_bits"": [0, 2, 4, 6, 8, 10, 12], ""unique_residual_modes"": 128}"
ex297,unknown,ex297_r11_evenbase_residual_split_abc_g_aig_d14,even-plane base plus compressed residual,ex297|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig_d14|official_truth_exact_partition|all_outputs_grouped_residual,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/verilog/ex297_r11_evenbase_residual_split_abc_g_aig_d14.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/aigs/ex297_r11_evenbase_residual_split_abc_g_aig_d14.aig,1,31472,20,629440,225900,569592,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/logs/ex297_r11_evenbase_residual_split_abc_g_aig_d14.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/logs/ex297_r11_evenbase_residual_split_abc_g_aig_d14.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11, 13], ""residual_exceptions"": 15281, ""selector_bits"": [0, 2, 4, 6, 8, 10, 12], ""unique_residual_modes"": 128}"
ex299,unknown,ex299_r11_evenbase_residual_split_abc_g_aig,even-plane base plus compressed residual,ex299|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig|official_truth_exact_partition|all_outputs_grouped_residual,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/verilog/ex299_r11_evenbase_residual_split_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/aigs/ex299_r11_evenbase_residual_split_abc_g_aig.aig,1,118076,23,2715748,1013807,2487261,0,0,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/logs/ex299_r11_evenbase_residual_split_abc_g_aig.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/logs/ex299_r11_evenbase_residual_split_abc_g_aig.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11, 13, 15], ""residual_exceptions"": 62994, ""selector_bits"": [0, 2, 4, 6, 8, 10, 12, 14], ""unique_residual_modes"": 255}"
