case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex204,bf16,bf16_log2,ex204|blocked_no_new_log2_residual_formula|no_candidate|prior_arithbase_sparse_hilo4_formula_variants|not_run|abc_xf_official_evaluate|blocked,,,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,No official evaluate.py candidate produced because method_signature would not materially differ.
ex223,fp16,fp16_log,ex223|blocked_no_materially_different_semantic_normalizer|no_candidate|prior_blocker_plus_nested_residual_selected_repeats|not_run|abc_xf_official_evaluate|blocked,,, selected-bit, BDD/casez/range,,ex200_ex299_frontend_refgap_round11_20260612_1944, masked-run
ex225,fp16,fp16_log10,ex225|blocked_no_materially_different_non_nested_normalizer|no_candidate|blocked_repeats_nested_selected_sparse_residual|not_run|abc_xf_official_evaluate|blocked,,,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,No official evaluate.py candidate produced because method_signature would not materially differ.
ex247,float_fp8,E5M2FN packed division can reduce boundary-region delay by direct low-magnitude attributes,"ex247|E5M2FN packed division can reduce boundary-region delay by direct low-magnitude attributes|denominator-nested bound attributes with direct low-step magnitudes|shared sign, exponent-delta, significand decode, boundary predicates, and direct low/linear magnitude fields|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|direct_lowmag_boundary_outputs",equivalent_no_improvement,ADP 9932 did not beat current frontend 8349,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/verilog/ex247_round11_direct_lowmag_attr.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-r11/ex247/logs/ex247_round11_direct_lowmag_attr_abc_g_aig.official_evaluate.log,fp8-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,First fp8-r11 ex247 row completed; this is the checkpoint blocker record.
ex249,float_fp8,E5M2FN packed hypot can reduce delay by grouping output increment bits,"ex249|E5M2FN packed hypot can reduce delay by grouping output increment bits|raw-exponent gap0/gap1 delta predicates with direct increment-bit output|shared abs max/min decode, raw exponent gap predicates, and saturation guard|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|direct_increment_output_bits",equivalent_no_improvement,ADP 4872 did not beat current frontend 4368,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/verilog/ex249_round11_output_grouped_delta.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_abc_g_aig.official_evaluate.log,fp8-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,Output-grouped direct increment candidate.
ex249,float_fp8,E5M2FN packed hypot can reduce delay by grouping output increment bits,"ex249|E5M2FN packed hypot can reduce delay by grouping output increment bits|raw-exponent gap0/gap1 delta predicates with direct increment-bit output|shared abs max/min decode, raw exponent gap predicates, and saturation guard|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_hypot_abs_high_low|direct_increment_output_bits",equivalent_no_improvement,ADP 4901 did not beat current frontend 4368,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/verilog/ex249_round11_output_grouped_delta.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/fp8-extra-r11/ex249/logs/ex249_round11_output_grouped_delta_synth_preset_aig.official_evaluate.log,fp8-extra-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,Output-grouped direct increment candidate.
ex256,integer,no_new_candidate,,blocked,manual judgment blocks replay of Wallace Dadda CSA CLA carry-predicate and decomposition families without a materially different compressor,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,
ex260,integer,signed_low4_high4_multiply,ex260|blocked_no_new_shared_signed_compressor|no_candidate|prior_booth_baugh_wallace_qmc_bdd_split_repeats|not_run|abc_xf_official_evaluate|blocked,,,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,No official evaluate.py candidate produced because method_signature would not materially differ.
ex266,integer,no_new_candidate,,blocked,manual judgment blocks replay of BDD cofactor radix residual threshold and comparator families without a materially different classifier,,,,ex200_ex299_frontend_refgap_round11_20260612_1944,
ex286,unknown,nonlinear hidden-state or constructive shared pair-count basis,ex286|hamming_weight_preserving_lossy_routing_normalizer|no_new_exact_nonlinear_basis_available|n/a|no_synth|blocked_before_verilog|full_word,blocked_no_verilog,No new exact compact nonlinear hidden-state descriptor was available after the required scoped reads; exact fallback would repeat prohibited symcof/cofactor/table/rank/colex/bucket/lane/mod8-ANF/pair-count MDD/component-orientation wrappers.,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/routing-r11/ex286/notes/high_level_dossier.md,,routing-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,Frontend best 20190 vs reference 2376; official evaluate.py not run because no candidate was emitted.
