round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,,shard_csv,candidate_id,variant,aig_path
round82,frontend_radical_parallel_round82_20260613_2022,sub-fp16-log-r82,ex223,fp16,fp16_log,compressed interval/source formula blocker,dense positive-normal low-bit predicate sharing without nested/residual replay,ex223|fp16_log_r82_minimal_blocker|compressed_interval_source_formula_probe|blocked_by_dense_positive_normal_residual_from_filtered_judgments|not_run|no_candidate,BLOCKED_NO_CANDIDATE,"Coordinator stop requested minimal shard output before a new exact non-replay ex223 formula was found; prior filtered judgments show dense positive-normal residuals and no reusable segment shape, so forcing a candidate would replay prohibited nested/residual families",,student/work/frontend_radical_parallel_round82_20260613_2022/sub-fp16-log-r82/ex223/radical_dossier.md,ex223 remains assigned but no official row is claimed in this minimal shard,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-fp16-log-r82/failed_hypotheses.csv,,,
82,frontend_radical_parallel_round82_20260613_2022,sub-fp8-threshold-r82,ex247,float_fp8,delta_sig_band_residual,exact exponent-delta/significand residual decision list,shared special shell plus delta/sig residual table,ex247|r82|delta_sig_band_residual|do_not_repeat_as_is,skipped_do_not_repeat,r81 official OK was 607/23/13961 and did not beat frontend best 7291; coordinator explicitly said avoid delta_sig residual as-is,,,Use only with materially different quotient-boundary decomposition.,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-fp8-threshold-r82/failed_hypotheses.csv,,,
82,frontend_radical_parallel_round82_20260613_2022,sub-fp8-threshold-r82,ex247,float_fp8,step_onehot_low_region,region one-hot low-underflow construction,region output construction,ex247|r82|step_onehot_low_region|do_not_repeat_as_is,skipped_do_not_repeat,r80 official OK was 361/24/8664 and did not beat frontend best 7291; assignment explicitly said avoid step-onehot,,,No new exact RTL attempted before coordinator minimal-output reminder.,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-fp8-threshold-r82/failed_hypotheses.csv,,,
82,frontend_radical_parallel_round82_20260613_2022,sub-fp8-threshold-r82,ex246,float_fp8,zero_product_bypass,current-shell product zero bypass,product zero special-case bypass,ex246|r82|zero_product_bypass|do_not_repeat_as_is,skipped_do_not_repeat,r80 official OK was 355/24/8520 and did not beat frontend best 6888; assignment explicitly said avoid zero-bypass,,,Deferred after producing the required official ex247 row.,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-fp8-threshold-r82/failed_hypotheses.csv,,,
82,frontend_radical_parallel_round82_20260613_2022,sub-fp8-threshold-r82,ex244,float_fp8,sat_delta_tail,max-min shell with saturation delta tail,saturation guard plus delta tail,ex244|r82|sat_delta_tail|do_not_repeat_as_is,skipped_do_not_repeat,r80 official OK was 483/34/16422 and did not beat frontend best 9120; assignment explicitly said avoid sat-delta-tail,,,Deferred after producing the required official ex247 row.,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-fp8-threshold-r82/failed_hypotheses.csv,,,
82,frontend_radical_parallel_round82_20260613_2022,sub-integer-tight-r82,ex260,integer,signed_low4_high4_multiply,radix-2 signed digit rows with negative sign-bit row,balanced pair sums over shared sign-extended a,ex260|signed_low4_high4_multiply|signed_radix2_digit_accumulation|shared_sign_extended_multiplicand_and_balanced_posneg_digit_sums|yosys_abc_g_aig|abc_xf_official_evaluate|product_word,equivalent_nonwinning_do_not_repeat_as_is,official row did not beat frontend best,student/work/frontend_radical_parallel_round82_20260613_2022/sub-integer-tight-r82/ex260/verilog/ex260_r82_signed_digit_accum.v,student/work/frontend_radical_parallel_round82_20260613_2022/sub-integer-tight-r82/ex260/logs/ex260_r82_signed_digit_accum_abc_g_aig.yosys.log,blocker remains compact delay-12-or-better signed 4x4 compressor/final merge,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-integer-tight-r82/failed_hypotheses.csv,,,
,,sub-unknown-main-r82,ex297,,compact state descriptor with shared multi-output cofactor DAG,,,ex297|compact_state_descriptor_cofactor_dag|blocked_before_verilog|shared_descriptor_roots_without_transition_mask|no_synth|source_size_and_reuse_gate|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,No Verilog emitted: distinct compact descriptor collapses to forbidden r81 symbol_transition_descriptor_mask or to prior adjacent-distance2 descriptor default/override tables that timed out or were table-sized; r81 official row was nonwinning at 26637/16/426192 vs current 425024.,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-unknown-main-r82/failed_hypotheses.csv,ex297_r82_compact_state_cofactor_blocked,non-r81 non-r78-r80 descriptor basis,
,,sub-unknown-main-r82,ex299,,compact state descriptor with shared multi-output cofactor DAG,,,ex299|compact_state_descriptor_cofactor_dag|blocked_before_verilog|shared_descriptor_roots_without_transition_mask_pair89_or_edge|no_synth|source_size_and_reuse_gate|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,"No Verilog emitted: distinct compact descriptor either reuses forbidden r81 transition-mask or r78-r80 pair/celllocal/edge source structure, or becomes recurrence/default table sized; r81 official row was nonwinning at 98818/18/1778724 vs current 1777032.",,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-unknown-main-r82/failed_hypotheses.csv,ex299_r82_compact_state_cofactor_blocked,non-r81 non-r78-r80 descriptor basis,
,,sub-unknown-main-r82,ex285,,Hamming-weight route descriptor compression,,,ex285|hamming_weight_route_descriptor_compression|blocked_before_verilog|requires_smaller_nonlinear_state_not_keybdd_or_decision_tree_replay|no_synth|source_size_and_conflict_gate|full_word,BLOCKED_NO_CANDIDATE,,,,No Verilog emitted: prior compact route descriptors were exact-but-nonwinning or conflicted/table-sized; current quick emission would repeat route/keyBDD or decision-tree remap forms rather than a new nonlinear routing state.,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-unknown-main-r82/failed_hypotheses.csv,ex285_r82_hamming_route_descriptor_blocked,nonlinear routing-state source gate,
,,sub-unknown-main-r82,ex288,,Hamming-weight route descriptor compression,,,ex288|hamming_weight_route_descriptor_compression|blocked_before_verilog|requires_smaller_nonlinear_state_not_keybdd_or_symcof_replay|no_synth|source_size_and_conflict_gate|full_word,BLOCKED_NO_CANDIDATE,,,,No Verilog emitted: prior bucket/keyBDD/symcof/selected-bit route descriptors were exact but nonwinning or table-sized; no distinct compact source was available without replaying forbidden low-value families.,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round82_20260613_2022/agent_shards/sub-unknown-main-r82/failed_hypotheses.csv,ex288_r82_hamming_route_descriptor_blocked,nonlinear routing-state source gate,
