case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,family,shared_structure,outcome,shard_csv,domain,hypothesis,representation,prior_low_value_signatures_avoided,status,evidence_path
ex223,ex223_r71_po_low10_hi5_thresholds_abc_g_aig,FP16 natural log: non-positive/special sign-exp groups are constants/tables; positive normals are exponent interval plus mantissa correction.,shared special sign-exp decode and per-exp high-bit threshold trees,low10 selected PO-group table with high bits as mantissa run trees,medium,10800/19/205200,ex223|fp16_log/log10_exponent_interval_thresholds_plus_PO_low-bit_table|low10_selected_PO-group_table_with_high_bits_as_mantissa_run_trees|shared_special_sign-exp_decode_and_per-exp_high-bit_threshold_trees|abc_g_aig|abc_xf_official_evaluate|r71_po_low10_hi5_thresholds,sub-fp16-int-hybrid-r71,special const_groups=33 full_groups=1 items=1057; low10 PO-group table mant_hi=5 mant_lo=5 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=37 max=4 const_groups=26; b11 runs=44 max=6 const_groups=24; b10 runs=58 max=11 const_groups=20,fp16 log/log10 exponent interval thresholds plus PO low-bit table,shared special sign-exp decode and per-exp high-bit threshold trees,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/shared_structure_report.csv,fp16,fp16 log/log10 exponent interval thresholds plus PO low-bit table,low10 selected PO-group table with high bits as mantissa run trees,"r68/r69/r70 banned signatures, low11/low12/low14 nested replay, native multiply/Baugh replay, onehot/threshold/class quotient replay",tested,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.evaluate.py.log
ex223,ex223_r71_po_low8_hi4_thresholds_abc_g_aig,FP16 natural log: non-positive/special sign-exp groups are constants/tables; positive normals are exponent interval plus mantissa correction.,shared special sign-exp decode and byte-level output grouping,low8 selected PO-group table with bits15:8 as run/threshold trees,medium,10872/20/217440,ex223|fp16_log/log10_selected_low-byte_table_plus_high-bit_thresholds|low8_selected_PO-group_table_with_bits15:8_as_run/threshold_trees|shared_special_sign-exp_decode_and_byte-level_output_grouping|abc_g_aig|abc_xf_official_evaluate|r71_po_low8_hi4_thresholds,sub-fp16-int-hybrid-r71,special const_groups=33 full_groups=1 items=1057; low8 PO-group table mant_hi=4 mant_lo=6 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=37 max=4 const_groups=26; b11 runs=44 max=6 const_groups=24; b10 runs=58 max=11 const_groups=20; b9 runs=82 max=19 const_groups=16; b8 runs=125 max=34 const_groups=9,fp16 log/log10 selected low-byte table plus high-bit thresholds,shared special sign-exp decode and byte-level output grouping,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/shared_structure_report.csv,fp16,fp16 log/log10 selected low-byte table plus high-bit thresholds,low8 selected PO-group table with bits15:8 as run/threshold trees,"r68/r69/r70 banned signatures, low11/low12/low14 nested replay, native multiply/Baugh replay, onehot/threshold/class quotient replay",tested,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.evaluate.py.log
ex225,ex225_r71_po_low10_hi5_thresholds_abc_g_aig,FP16 log10: same log-family shell as ex223 with log10 exponent base and dense exact mantissa correction.,shared special sign-exp decode and per-exp high-bit threshold trees,low10 selected PO-group table with high bits as mantissa run trees,medium,11583/19/220077,ex225|fp16_log/log10_exponent_interval_thresholds_plus_PO_low-bit_table|low10_selected_PO-group_table_with_high_bits_as_mantissa_run_trees|shared_special_sign-exp_decode_and_per-exp_high-bit_threshold_trees|abc_g_aig|abc_xf_official_evaluate|r71_po_low10_hi5_thresholds,sub-fp16-int-hybrid-r71,special const_groups=33 full_groups=1 items=1057; low10 PO-group table mant_hi=5 mant_lo=5 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=38 max=4 const_groups=26; b11 runs=45 max=7 const_groups=24; b10 runs=60 max=12 const_groups=20,fp16 log/log10 exponent interval thresholds plus PO low-bit table,shared special sign-exp decode and per-exp high-bit threshold trees,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/shared_structure_report.csv,fp16,fp16 log/log10 exponent interval thresholds plus PO low-bit table,low10 selected PO-group table with high bits as mantissa run trees,"r68/r69/r70 banned signatures, low11/low12/low14 nested replay, native multiply/Baugh replay, onehot/threshold/class quotient replay",tested,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.evaluate.py.log
ex225,ex225_r71_po_low8_hi4_thresholds_abc_g_aig,FP16 log10: same log-family shell as ex223 with log10 exponent base and dense exact mantissa correction.,shared special sign-exp decode and byte-level output grouping,low8 selected PO-group table with bits15:8 as run/threshold trees,medium,11459/20/229180,ex225|fp16_log/log10_selected_low-byte_table_plus_high-bit_thresholds|low8_selected_PO-group_table_with_bits15:8_as_run/threshold_trees|shared_special_sign-exp_decode_and_byte-level_output_grouping|abc_g_aig|abc_xf_official_evaluate|r71_po_low8_hi4_thresholds,sub-fp16-int-hybrid-r71,special const_groups=33 full_groups=1 items=1057; low8 PO-group table mant_hi=4 mant_lo=6 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=38 max=4 const_groups=26; b11 runs=45 max=7 const_groups=24; b10 runs=60 max=12 const_groups=20; b9 runs=83 max=20 const_groups=14; b8 runs=126 max=35 const_groups=8,fp16 log/log10 selected low-byte table plus high-bit thresholds,shared special sign-exp decode and byte-level output grouping,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/shared_structure_report.csv,fp16,fp16 log/log10 selected low-byte table plus high-bit thresholds,low8 selected PO-group table with bits15:8 as run/threshold trees,"r68/r69/r70 banned signatures, low11/low12/low14 nested replay, native multiply/Baugh replay, onehot/threshold/class quotient replay",tested,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.evaluate.py.log
ex260,ex260_r71_qmc_all_bits_abc_g_aig,"Signed 4x4 two's-complement product, low operand in bits 3:0 and high operand in bits 7:4.",shared input literals only; no Baugh/native multiplier replay,per-output QMC cube equations over all product bits,medium,250/10/2500,ex260|minimal_Boolean-optimized_signed_4x4_product|per-output_QMC_cube_equations_over_all_product_bits|shared_input_literals_only;_no_Baugh/native_multiplier_replay|abc_g_aig|abc_xf_official_evaluate|r71_qmc_all_bits,sub-fp16-int-hybrid-r71,b0_cubes=1; b1_cubes=4; b2_cubes=9; b3_cubes=30; b4_cubes=32; b5_cubes=24; b6_cubes=7; b7_cubes=6,minimal Boolean-optimized signed 4x4 product,shared input literals only; no Baugh/native multiplier replay,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/shared_structure_report.csv,integer,minimal Boolean-optimized signed 4x4 product,per-output QMC cube equations over all product bits,"r68/r69/r70 banned signatures, low11/low12/low14 nested replay, native multiply/Baugh replay, onehot/threshold/class quotient replay",tested,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_qmc_all_bits_abc_g_aig.evaluate.py.log
ex260,ex260_r71_high_qmc_low_columns_abc_g_aig,"Signed 4x4 two's-complement product, low operand in bits 3:0 and high operand in bits 7:4.",low-column partial products reused; high bits independent minimized covers,low nibble truncated column rows plus high-bit QMC equations,medium,172/10/1720,ex260|output-bit_hybrid_signed_product|low_nibble_truncated_column_rows_plus_high-bit_QMC_equations|low-column_partial_products_reused;_high_bits_independent_minimized_covers|abc_g_aig|abc_xf_official_evaluate|r71_high_qmc_low_columns,sub-fp16-int-hybrid-r71,low4 truncated unsigned column rows; b4_cubes=32; b5_cubes=24; b6_cubes=7; b7_cubes=6,output-bit hybrid signed product,low-column partial products reused; high bits independent minimized covers,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/shared_structure_report.csv,integer,output-bit hybrid signed product,low nibble truncated column rows plus high-bit QMC equations,"r68/r69/r70 banned signatures, low11/low12/low14 nested replay, native multiply/Baugh replay, onehot/threshold/class quotient replay",tested,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_high_qmc_low_columns_abc_g_aig.evaluate.py.log
ex266,ex266_r71_restore_unrolled_guarded_synth_preset_d18,"Unsigned 5x5 quotient with b=0 saturation to 31, dividend in bits 4:0 and divisor in bits 9:5.",shared serial remainder subtract path and dbz guard,guarded restoring remainder/quotient loop,medium,89/29/2581,ex266|restoring_division_FSM_unrolled_as_combinational_source|guarded_restoring_remainder/quotient_loop|shared_serial_remainder_subtract_path_and_dbz_guard|synth_preset_d18|abc_xf_official_evaluate|r71_restore_unrolled_guarded,sub-fp16-int-hybrid-r71,unrolled restoring divider with dbz saturation and b>a guard,restoring division FSM unrolled as combinational source,shared serial remainder subtract path and dbz guard,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/shared_structure_report.csv,integer,restoring division FSM unrolled as combinational source,guarded restoring remainder/quotient loop,"r68/r69/r70 banned signatures, low11/low12/low14 nested replay, native multiply/Baugh replay, onehot/threshold/class quotient replay",tested,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_restore_unrolled_guarded_synth_preset_d18.evaluate.py.log
ex266,ex266_r71_high_sop_low_restore_synth_preset_d18,"Unsigned 5x5 quotient with b=0 saturation to 31, dividend in bits 4:0 and divisor in bits 9:5.",high quotient SOP shares literal covers; low bits share restoring remainder,QMC q4/q3 predicates plus restoring low quotient bits,medium,91/30/2730,ex266|source-level_PO_hybrid_quotient_bits|QMC_q4/q3_predicates_plus_restoring_low_quotient_bits|high_quotient_SOP_shares_literal_covers;_low_bits_share_restoring_remainder|synth_preset_d18|abc_xf_official_evaluate|r71_high_sop_low_restore,sub-fp16-int-hybrid-r71,unrolled restoring divider with dbz saturation and b>a guard; q3_cubes=4; q4_cubes=2,source-level PO hybrid quotient bits,high quotient SOP shares literal covers; low bits share restoring remainder,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/shared_structure_report.csv,integer,source-level PO hybrid quotient bits,QMC q4/q3 predicates plus restoring low quotient bits,"r68/r69/r70 banned signatures, low11/low12/low14 nested replay, native multiply/Baugh replay, onehot/threshold/class quotient replay",tested,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_high_sop_low_restore_synth_preset_d18.evaluate.py.log
ex240,ex240_r71_po_high_low2_residual,E4M3FN packed add,"sorted byte decode, same/diff active predicates, high magnitude plane, low2 residual LUT",po_high_low2_planes,medium,7212/38/274056,ex240|E4M3FN packed add|source-level PO split with high/sign plane plus low2 residual LUT|shared sorted field decode; active same/diff residuals split into high and low magnitude planes|repo_yosys_frontend_default|official_evaluate|po_high_low2_planes,sub-fp8-addhyp-hybrid-r71,avoids r68 low-bit overlay by not instantiating current source and by splitting high/low planes directly; avoids r70 branch/gap-major planes,source-level PO split with high/sign plane plus low2 residual LUT,"sorted byte decode, same/diff active predicates, high magnitude plane, low2 residual LUT",equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/shared_structure_report.csv,float_fp8,E4M3FN packed add,source-level PO split with high/sign plane plus low2 residual LUT,avoids r68 low-bit overlay by not instantiating current source and by splitting high/low planes directly; avoids r70 branch/gap-major planes,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_po_high_low2_residual.evaluate.py.log
ex240,ex240_r71_signed_delta_csa_adjust,E4M3FN packed add,"sorted byte decode, active gap guards, two signed residual adjust ROMs, shared sign/magnitude assembler",signed_adjust_full_word,medium,2727/50/136350,ex240|E4M3FN packed add|carry-save-style signed magnitude adjustment from max operand|shared guard gap predicates; same/diff signed adjustment ROM feeds one maxc-plus-adjust assembler|repo_yosys_frontend_default|official_evaluate|signed_adjust_full_word,sub-fp8-addhyp-hybrid-r71,"avoids direct formula, bit-predicate networks, and r70 one-hot branch planes; residual is a signed adjustment source form",carry-save-style signed magnitude adjustment from max operand,"sorted byte decode, active gap guards, two signed residual adjust ROMs, shared sign/magnitude assembler",equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/shared_structure_report.csv,float_fp8,E4M3FN packed add,carry-save-style signed magnitude adjustment from max operand,"avoids direct formula, bit-predicate networks, and r70 one-hot branch planes; residual is a signed adjustment source form",OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_signed_delta_csa_adjust.evaluate.py.log
