case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,variant,official_output_dir,evaluate_log,verified_truth,reference_adp,beats_overall_current,shard_csv,domain,shared_structure,simulation_pass
ex223,ex223_r71_po_low10_hi5_thresholds_abc_g_aig,fp16 log/log10 exponent interval thresholds plus PO low-bit table,low10 selected PO-group table with high bits as mantissa run trees,shared special sign-exp decode and per-exp high-bit threshold trees,abc_g_aig,ex223|fp16_log/log10_exponent_interval_thresholds_plus_PO_low-bit_table|low10_selected_PO-group_table_with_high_bits_as_mantissa_run_trees|shared_special_sign-exp_decode_and_per-exp_high-bit_threshold_trees|abc_g_aig|abc_xf_official_evaluate|r71_po_low10_hi5_thresholds,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/verilog/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/aigs/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/aigs/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.yosys.log,1,10800,19,205200,0,0,special const_groups=33 full_groups=1 items=1057; low10 PO-group table mant_hi=5 mant_lo=5 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=37 max=4 const_groups=26; b11 runs=44 max=6 const_groups=24; b10 runs=58 max=11 const_groups=20,sub-fp16-int-hybrid-r71,r71_po_low10_hi5_thresholds,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low10_hi5_thresholds_abc_g_aig,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low10_hi5_thresholds_abc_g_aig.evaluate.py.log,1,120549,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/candidates.csv,fp16,shared special sign-exp decode and per-exp high-bit threshold trees,not_run
ex223,ex223_r71_po_low8_hi4_thresholds_abc_g_aig,fp16 log/log10 selected low-byte table plus high-bit thresholds,low8 selected PO-group table with bits15:8 as run/threshold trees,shared special sign-exp decode and byte-level output grouping,abc_g_aig,ex223|fp16_log/log10_selected_low-byte_table_plus_high-bit_thresholds|low8_selected_PO-group_table_with_bits15:8_as_run/threshold_trees|shared_special_sign-exp_decode_and_byte-level_output_grouping|abc_g_aig|abc_xf_official_evaluate|r71_po_low8_hi4_thresholds,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/verilog/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/aigs/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/aigs/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.yosys.log,1,10872,20,217440,0,0,special const_groups=33 full_groups=1 items=1057; low8 PO-group table mant_hi=4 mant_lo=6 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=37 max=4 const_groups=26; b11 runs=44 max=6 const_groups=24; b10 runs=58 max=11 const_groups=20; b9 runs=82 max=19 const_groups=16; b8 runs=125 max=34 const_groups=9,sub-fp16-int-hybrid-r71,r71_po_low8_hi4_thresholds,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low8_hi4_thresholds_abc_g_aig,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex223/official_eval/ex223_r71_po_low8_hi4_thresholds_abc_g_aig.evaluate.py.log,1,120549,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/candidates.csv,fp16,shared special sign-exp decode and byte-level output grouping,not_run
ex225,ex225_r71_po_low10_hi5_thresholds_abc_g_aig,fp16 log/log10 exponent interval thresholds plus PO low-bit table,low10 selected PO-group table with high bits as mantissa run trees,shared special sign-exp decode and per-exp high-bit threshold trees,abc_g_aig,ex225|fp16_log/log10_exponent_interval_thresholds_plus_PO_low-bit_table|low10_selected_PO-group_table_with_high_bits_as_mantissa_run_trees|shared_special_sign-exp_decode_and_per-exp_high-bit_threshold_trees|abc_g_aig|abc_xf_official_evaluate|r71_po_low10_hi5_thresholds,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/verilog/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/aigs/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/aigs/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.yosys.log,1,11583,19,220077,0,0,special const_groups=33 full_groups=1 items=1057; low10 PO-group table mant_hi=5 mant_lo=5 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=38 max=4 const_groups=26; b11 runs=45 max=7 const_groups=24; b10 runs=60 max=12 const_groups=20,sub-fp16-int-hybrid-r71,r71_po_low10_hi5_thresholds,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low10_hi5_thresholds_abc_g_aig,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low10_hi5_thresholds_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/candidates.csv,fp16,shared special sign-exp decode and per-exp high-bit threshold trees,not_run
ex225,ex225_r71_po_low8_hi4_thresholds_abc_g_aig,fp16 log/log10 selected low-byte table plus high-bit thresholds,low8 selected PO-group table with bits15:8 as run/threshold trees,shared special sign-exp decode and byte-level output grouping,abc_g_aig,ex225|fp16_log/log10_selected_low-byte_table_plus_high-bit_thresholds|low8_selected_PO-group_table_with_bits15:8_as_run/threshold_trees|shared_special_sign-exp_decode_and_byte-level_output_grouping|abc_g_aig|abc_xf_official_evaluate|r71_po_low8_hi4_thresholds,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/verilog/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/aigs/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/aigs/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.yosys.log,1,11459,20,229180,0,0,special const_groups=33 full_groups=1 items=1057; low8 PO-group table mant_hi=4 mant_lo=6 items=30720 const_hi=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=38 max=4 const_groups=26; b11 runs=45 max=7 const_groups=24; b10 runs=60 max=12 const_groups=20; b9 runs=83 max=20 const_groups=14; b8 runs=126 max=35 const_groups=8,sub-fp16-int-hybrid-r71,r71_po_low8_hi4_thresholds,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low8_hi4_thresholds_abc_g_aig,student/runs/fp16/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex225/official_eval/ex225_r71_po_low8_hi4_thresholds_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/candidates.csv,fp16,shared special sign-exp decode and byte-level output grouping,not_run
ex260,ex260_r71_qmc_all_bits_abc_g_aig,minimal Boolean-optimized signed 4x4 product,per-output QMC cube equations over all product bits,shared input literals only; no Baugh/native multiplier replay,abc_g_aig,ex260|minimal_Boolean-optimized_signed_4x4_product|per-output_QMC_cube_equations_over_all_product_bits|shared_input_literals_only;_no_Baugh/native_multiplier_replay|abc_g_aig|abc_xf_official_evaluate|r71_qmc_all_bits,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/verilog/ex260_r71_qmc_all_bits_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/aigs/ex260_r71_qmc_all_bits_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/aigs/ex260_r71_qmc_all_bits_abc_g_aig.yosys.log,1,250,10,2500,0,0,b0_cubes=1; b1_cubes=4; b2_cubes=9; b3_cubes=30; b4_cubes=32; b5_cubes=24; b6_cubes=7; b7_cubes=6,sub-fp16-int-hybrid-r71,r71_qmc_all_bits,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_qmc_all_bits_abc_g_aig,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_qmc_all_bits_abc_g_aig.evaluate.py.log,1,657,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/candidates.csv,integer,shared input literals only; no Baugh/native multiplier replay,not_run
ex260,ex260_r71_high_qmc_low_columns_abc_g_aig,output-bit hybrid signed product,low nibble truncated column rows plus high-bit QMC equations,low-column partial products reused; high bits independent minimized covers,abc_g_aig,ex260|output-bit_hybrid_signed_product|low_nibble_truncated_column_rows_plus_high-bit_QMC_equations|low-column_partial_products_reused;_high_bits_independent_minimized_covers|abc_g_aig|abc_xf_official_evaluate|r71_high_qmc_low_columns,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/verilog/ex260_r71_high_qmc_low_columns_abc_g_aig.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/aigs/ex260_r71_high_qmc_low_columns_abc_g_aig.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/aigs/ex260_r71_high_qmc_low_columns_abc_g_aig.yosys.log,1,172,10,1720,0,0,low4 truncated unsigned column rows; b4_cubes=32; b5_cubes=24; b6_cubes=7; b7_cubes=6,sub-fp16-int-hybrid-r71,r71_high_qmc_low_columns,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_high_qmc_low_columns_abc_g_aig,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex260/official_eval/ex260_r71_high_qmc_low_columns_abc_g_aig.evaluate.py.log,1,657,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/candidates.csv,integer,low-column partial products reused; high bits independent minimized covers,not_run
ex266,ex266_r71_restore_unrolled_guarded_synth_preset_d18,restoring division FSM unrolled as combinational source,guarded restoring remainder/quotient loop,shared serial remainder subtract path and dbz guard,synth_preset_d18,ex266|restoring_division_FSM_unrolled_as_combinational_source|guarded_restoring_remainder/quotient_loop|shared_serial_remainder_subtract_path_and_dbz_guard|synth_preset_d18|abc_xf_official_evaluate|r71_restore_unrolled_guarded,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/verilog/ex266_r71_restore_unrolled_guarded_synth_preset_d18.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/aigs/ex266_r71_restore_unrolled_guarded_synth_preset_d18.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/aigs/ex266_r71_restore_unrolled_guarded_synth_preset_d18.yosys.log,1,89,29,2581,0,0,unrolled restoring divider with dbz saturation and b>a guard,sub-fp16-int-hybrid-r71,r71_restore_unrolled_guarded,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_restore_unrolled_guarded_synth_preset_d18,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_restore_unrolled_guarded_synth_preset_d18.evaluate.py.log,1,848,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/candidates.csv,integer,shared serial remainder subtract path and dbz guard,not_run
ex266,ex266_r71_high_sop_low_restore_synth_preset_d18,source-level PO hybrid quotient bits,QMC q4/q3 predicates plus restoring low quotient bits,high quotient SOP shares literal covers; low bits share restoring remainder,synth_preset_d18,ex266|source-level_PO_hybrid_quotient_bits|QMC_q4/q3_predicates_plus_restoring_low_quotient_bits|high_quotient_SOP_shares_literal_covers;_low_bits_share_restoring_remainder|synth_preset_d18|abc_xf_official_evaluate|r71_high_sop_low_restore,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/verilog/ex266_r71_high_sop_low_restore_synth_preset_d18.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/aigs/ex266_r71_high_sop_low_restore_synth_preset_d18.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/aigs/ex266_r71_high_sop_low_restore_synth_preset_d18.yosys.log,1,91,30,2730,0,0,unrolled restoring divider with dbz saturation and b>a guard; q3_cubes=4; q4_cubes=2,sub-fp16-int-hybrid-r71,r71_high_sop_low_restore,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_high_sop_low_restore_synth_preset_d18,student/runs/integer/frontend_source_parallel_round71_20260613_1308/sub-fp16-int-hybrid-r71/ex266/official_eval/ex266_r71_high_sop_low_restore_synth_preset_d18.evaluate.py.log,1,848,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp16-int-hybrid-r71/candidates.csv,integer,high quotient SOP shares literal covers; low bits share restoring remainder,not_run
ex240,ex240_r71_po_high_low2_residual,E4M3FN packed add,source-level PO split with high/sign plane plus low2 residual LUT,shared sorted field decode; active same/diff residuals split into high and low magnitude planes,repo_yosys_frontend_default,ex240|E4M3FN packed add|source-level PO split with high/sign plane plus low2 residual LUT|shared sorted field decode; active same/diff residuals split into high and low magnitude planes|repo_yosys_frontend_default|official_evaluate|po_high_low2_planes,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/verilog/ex240_r71_po_high_low2_residual.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/aigs/ex240_r71_po_high_low2_residual.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_po_high_low2_residual.yosys.log,1,7212,38,274056,0,0,official evaluate.py OK; synth_sec=18.615; eval_sec=0.905; frontend_best=26230; current=21046; reference=13299,sub-fp8-addhyp-hybrid-r71,po_high_low2_planes,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/official_output/ex240_r71_po_high_low2_residual,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_po_high_low2_residual.evaluate.py.log,1,13299,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/candidates.csv,float_fp8,"sorted byte decode, same/diff active predicates, high magnitude plane, low2 residual LUT",not_run
ex240,ex240_r71_signed_delta_csa_adjust,E4M3FN packed add,carry-save-style signed magnitude adjustment from max operand,shared guard gap predicates; same/diff signed adjustment ROM feeds one maxc-plus-adjust assembler,repo_yosys_frontend_default,ex240|E4M3FN packed add|carry-save-style signed magnitude adjustment from max operand|shared guard gap predicates; same/diff signed adjustment ROM feeds one maxc-plus-adjust assembler|repo_yosys_frontend_default|official_evaluate|signed_adjust_full_word,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/verilog/ex240_r71_signed_delta_csa_adjust.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/aigs/ex240_r71_signed_delta_csa_adjust.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_signed_delta_csa_adjust.yosys.log,1,2727,50,136350,0,0,official evaluate.py OK; synth_sec=12.116; eval_sec=0.870; frontend_best=26230; current=21046; reference=13299,sub-fp8-addhyp-hybrid-r71,signed_adjust_full_word,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/official_output/ex240_r71_signed_delta_csa_adjust,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_signed_delta_csa_adjust.evaluate.py.log,1,13299,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/candidates.csv,float_fp8,"sorted byte decode, active gap guards, two signed residual adjust ROMs, shared sign/magnitude assembler",not_run
