case,hypothesis,representation,sharing_strategy,synth_flow,method_signature,status,reason,artifact_path,agent_id,candidate_id,variant,verilog_path,aig_path,stage,failure_reason,reuse_policy,notes,shard_csv,domain,shared_structure,log_path,evidence_path
ex240,E4M3FN packed add,source-level PO split with high/sign plane plus low2 residual LUT,shared sorted field decode; active same/diff residuals split into high and low magnitude planes,repo_yosys_frontend_default,ex240|E4M3FN packed add|source-level PO split with high/sign plane plus low2 residual LUT|shared sorted field decode; active same/diff residuals split into high and low magnitude planes|repo_yosys_frontend_default|official_evaluate|po_high_low2_planes,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/verilog/ex240_r71_po_high_low2_residual.v,sub-fp8-addhyp-hybrid-r71,ex240_r71_po_high_low2_residual,po_high_low2_planes,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/verilog/ex240_r71_po_high_low2_residual.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/aigs/ex240_r71_po_high_low2_residual.aig,official_evaluate,low QoR,do_not_repeat_as_is,Do not repeat this exact round71 source/signature; avoids r68 low-bit overlay by not instantiating current source and by splitting high/low planes directly; avoids r70 branch/gap-major planes,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/failed_hypotheses.csv,float_fp8,"sorted byte decode, same/diff active predicates, high magnitude plane, low2 residual LUT",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_po_high_low2_residual.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_po_high_low2_residual.evaluate.py.log
ex240,E4M3FN packed add,carry-save-style signed magnitude adjustment from max operand,shared guard gap predicates; same/diff signed adjustment ROM feeds one maxc-plus-adjust assembler,repo_yosys_frontend_default,ex240|E4M3FN packed add|carry-save-style signed magnitude adjustment from max operand|shared guard gap predicates; same/diff signed adjustment ROM feeds one maxc-plus-adjust assembler|repo_yosys_frontend_default|official_evaluate|signed_adjust_full_word,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/verilog/ex240_r71_signed_delta_csa_adjust.v,sub-fp8-addhyp-hybrid-r71,ex240_r71_signed_delta_csa_adjust,signed_adjust_full_word,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/verilog/ex240_r71_signed_delta_csa_adjust.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/aigs/ex240_r71_signed_delta_csa_adjust.aig,official_evaluate,low QoR,do_not_repeat_as_is,"Do not repeat this exact round71 source/signature; avoids direct formula, bit-predicate networks, and r70 one-hot branch planes; residual is a signed adjustment source form",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/failed_hypotheses.csv,float_fp8,"sorted byte decode, active gap guards, two signed residual adjust ROMs, shared sign/magnitude assembler",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_signed_delta_csa_adjust.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex240/logs/ex240_r71_signed_delta_csa_adjust.evaluate.py.log
ex245,E5M2FN packed add,source-level PO split with active-table high plane plus low2 cancellation LUT,shared E5M2 sorted decode and small-gap active predicates with separate high/low residual output planes,repo_yosys_frontend_default,ex245|E5M2FN packed add|source-level PO split with active-table high plane plus low2 cancellation LUT|shared E5M2 sorted decode and small-gap active predicates with separate high/low residual output planes|repo_yosys_frontend_default|official_evaluate|po_high_low2_planes,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/verilog/ex245_r71_po_high_low2_residual.v,sub-fp8-addhyp-hybrid-r71,ex245_r71_po_high_low2_residual,po_high_low2_planes,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/verilog/ex245_r71_po_high_low2_residual.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/aigs/ex245_r71_po_high_low2_residual.aig,official_evaluate,low QoR,do_not_repeat_as_is,Do not repeat this exact round71 source/signature; avoids r68 low-bit overlay/current-source copy and r70 branch/gap-major planes,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/failed_hypotheses.csv,float_fp8,"sorted E5M2 decode, small-gap same/diff guards, high magnitude plane, low2 residual LUT",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_po_high_low2_residual.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_po_high_low2_residual.evaluate.py.log
ex245,E5M2FN packed add,carry-save-style signed magnitude adjustment with shared sticky/guard predicates,shared E5M2 max/min decode; signed same/diff residual adjustment ROMs feed one magnitude assembler,repo_yosys_frontend_default,ex245|E5M2FN packed add|carry-save-style signed magnitude adjustment with shared sticky/guard predicates|shared E5M2 max/min decode; signed same/diff residual adjustment ROMs feed one magnitude assembler|repo_yosys_frontend_default|official_evaluate|signed_adjust_full_word,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/verilog/ex245_r71_signed_delta_csa_adjust.v,sub-fp8-addhyp-hybrid-r71,ex245_r71_signed_delta_csa_adjust,signed_adjust_full_word,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/verilog/ex245_r71_signed_delta_csa_adjust.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/aigs/ex245_r71_signed_delta_csa_adjust.aig,official_evaluate,low QoR,do_not_repeat_as_is,"Do not repeat this exact round71 source/signature; avoids direct gap-class formula replay, active-table copy, and r70 gap-major nested planes",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/failed_hypotheses.csv,float_fp8,"small-gap guards, signed residual adjust ROMs, shared maxc-plus-adjust datapath",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_signed_delta_csa_adjust.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_signed_delta_csa_adjust.evaluate.py.log
ex244,E4M3FN packed hypot,max-plus correction ROM per effective exponent gap,"shared max/min magnitude decode; exact correction ROM keyed by max_eff, gap, max_sig, min_sig",repo_yosys_frontend_default,"ex244|E4M3FN packed hypot|max-plus correction ROM per effective exponent gap|shared max/min magnitude decode; exact correction ROM keyed by max_eff, gap, max_sig, min_sig|repo_yosys_frontend_default|official_evaluate|max_plus_gap_correction_rom",equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/verilog/ex244_r71_gap_correction_rom.v,sub-fp8-addhyp-hybrid-r71,ex244_r71_gap_correction_rom,max_plus_gap_correction_rom,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/verilog/ex244_r71_gap_correction_rom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/aigs/ex244_r71_gap_correction_rom.aig,official_evaluate,low QoR,do_not_repeat_as_is,"Do not repeat this exact round71 source/signature; avoids maxcode interval banks, manual saturation BDD, delta-ge cells, and square-kernel thresholds",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/failed_hypotheses.csv,float_fp8,"max/min decode, effective exponent gap, per-gap correction ROM, saturation clamp",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_gap_correction_rom.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_gap_correction_rom.evaluate.py.log
ex244,E4M3FN packed hypot,CORDIC-like coarse correction plus max-eff patch ROM,coarse gap/sig correction table reused across exponents with small max-eff patch table,repo_yosys_frontend_default,ex244|E4M3FN packed hypot|CORDIC-like coarse correction plus max-eff patch ROM|coarse gap/sig correction table reused across exponents with small max-eff patch table|repo_yosys_frontend_default|official_evaluate|coarse_delta_with_patch,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/verilog/ex244_r71_core_patch_correction.v,sub-fp8-addhyp-hybrid-r71,ex244_r71_core_patch_correction,coarse_delta_with_patch,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/verilog/ex244_r71_core_patch_correction.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/aigs/ex244_r71_core_patch_correction.aig,official_evaluate,low QoR,do_not_repeat_as_is,"Do not repeat this exact round71 source/signature; avoids full max-eff BDD replay, maxcode/gap interval banks, and r70 monotone threshold cells",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/failed_hypotheses.csv,float_fp8,"max/min decode, coarse gap-sig delta, sparse max-eff patch residual, saturation clamp",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_core_patch_correction.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_core_patch_correction.evaluate.py.log
ex249,E5M2FN packed hypot,raw-exponent max-plus correction ROM per active gap,shared raw exponent active-gap shell and exact correction ROM with max-exp context,repo_yosys_frontend_default,ex249|E5M2FN packed hypot|raw-exponent max-plus correction ROM per active gap|shared raw exponent active-gap shell and exact correction ROM with max-exp context|repo_yosys_frontend_default|official_evaluate|rawgap_correction_rom,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/verilog/ex249_r71_rawgap_correction_rom.v,sub-fp8-addhyp-hybrid-r71,ex249_r71_rawgap_correction_rom,rawgap_correction_rom,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/verilog/ex249_r71_rawgap_correction_rom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/aigs/ex249_r71_rawgap_correction_rom.aig,official_evaluate,low QoR,do_not_repeat_as_is,"Do not repeat this exact round71 source/signature; avoids threshold cube classifier, onehot gap threshold, minsq delta cells, and split-gap delta replay",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/failed_hypotheses.csv,float_fp8,"raw max/min exponent decode, active gap shell, correction ROM, saturation guard",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_rawgap_correction_rom.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_rawgap_correction_rom.evaluate.py.log
ex249,E5M2FN packed hypot,piecewise sqrt exact table for tiny mantissa classes,shared active-gap shell; separate gap0/gap1 tiny mantissa correction tables,repo_yosys_frontend_default,ex249|E5M2FN packed hypot|piecewise sqrt exact table for tiny mantissa classes|shared active-gap shell; separate gap0/gap1 tiny mantissa correction tables|repo_yosys_frontend_default|official_evaluate|gap_split_tiny_mantissa_tables,equivalent_but_no_improvement,did not beat frontend/current/reference ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/verilog/ex249_r71_piecewise_tiny_mantissa.v,sub-fp8-addhyp-hybrid-r71,ex249_r71_piecewise_tiny_mantissa,gap_split_tiny_mantissa_tables,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/verilog/ex249_r71_piecewise_tiny_mantissa.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/aigs/ex249_r71_piecewise_tiny_mantissa.aig,official_evaluate,low QoR,do_not_repeat_as_is,"Do not repeat this exact round71 source/signature; avoids direct predicate formulas, onehot threshold cells, and delta-inc/manual carry variants",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/failed_hypotheses.csv,float_fp8,"raw exponent active gap decode, gap0/gap1 mantissa-class correction ROMs, saturation guard",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_piecewise_tiny_mantissa.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_piecewise_tiny_mantissa.evaluate.py.log
ex246,E5M2FN packed multiply high byte times low byte,axis/minor affine shell with full hard-row ROM repairs,,,"ex246|E5M2FN packed multiply high byte times low byte|compact exp-zone selector plus hard-zone mantissa product ROM|shared sign xor, effective exponent sum, significand product, per-product affine attributes|axis/minor affine shell with full hard-row ROM repairs|repo_yosys_frontend_default|official_evaluate|full_word",equivalent_but_no_current_or_reference_gain,,,sub-fp8-arith-hybrid-r71,ex246_r71_axis_attr_hardrom,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/verilog/ex246_r71_axis_attr_hardrom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/aigs/ex246_r71_axis_attr_hardrom.aig,,,,official OK ADP 12958; prompt current 5984; reference 2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/failed_hypotheses.csv,float_fp8,"shared sign xor, effective exponent sum, significand product, per-product affine attributes",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/logs/ex246_r71_axis_attr_hardrom.evaluate.py.log,
ex246,E5M2FN packed multiply high byte times low byte,axis/minor affine shell with independent exponent and mantissa hard-piece functions,,,"ex246|E5M2FN packed multiply high byte times low byte|source-level output-bit crossover between arithmetic shell and split hard-zone PO pieces|shared sign xor, effective exponent sum, significand product, per-product affine attributes|axis/minor affine shell with independent exponent and mantissa hard-piece functions|repo_yosys_frontend_default|official_evaluate|full_word",equivalent_but_no_current_or_reference_gain,,,sub-fp8-arith-hybrid-r71,ex246_r71_splitpo_hardpieces,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/verilog/ex246_r71_splitpo_hardpieces.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/aigs/ex246_r71_splitpo_hardpieces.aig,,,,official OK ADP 18228; prompt current 5984; reference 2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/failed_hypotheses.csv,float_fp8,"shared sign xor, effective exponent sum, significand product, per-product affine attributes",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/logs/ex246_r71_splitpo_hardpieces.evaluate.py.log,
