case,candidate_count,best_candidate_id,best_variant,best_area,best_delay,best_adp,best_source_csv,top5
ex200,10,ex200_bf16_exp_sign_exp_mant_case,sign_exp_mant_case,3749,17,63733,bf16_deep_variants_20260603_1223.csv,sign_exp_mant_case:63733; split_sign_exp_mant_case:64719; exp_mant_pair_case:66798; sign_exp_default_expr_case:69048; positive_default_exp_mant_case:73800
ex201,10,ex201_bf16_exp2_exp_mant_pair_case,exp_mant_pair_case,1599,15,23985,bf16_deep_variants_20260603_1223.csv,exp_mant_pair_case:23985; sign_exp_mant_case:25395; split_sign_exp_mant_case:25845; sign_exp_default_expr_case:27520; positive_default_exp_mant_case:28746
ex202,10,ex202_bf16_exp10_exp_mant_pair_case,exp_mant_pair_case,3661,17,62237,bf16_deep_variants_20260603_1223.csv,exp_mant_pair_case:62237; split_sign_exp_mant_case:62951; sign_exp_default_expr_case:62985; sign_exp_mant_case:63121; positive_default_exp_mant_case:66006
ex203,10,ex203_bf16_log_sign_exp_mant_case,sign_exp_mant_case,4546,18,81828,bf16_deep_variants_20260603_1223.csv,sign_exp_mant_case:81828; split_sign_exp_mant_case:84132; sign_exp_default_expr_case:85860; positive_default_exp_mant_case:88640; positive_default_exp_mant_delta:92694
ex204,10,ex204_bf16_log2_exp_mant_delta_pair,exp_mant_delta_pair,1679,18,30222,bf16_deep_variants_20260603_1223.csv,exp_mant_delta_pair:30222; positive_default_exp_mant_delta:31844; positive_default_exp_mant_case:33040; split_sign_exp_mant_case:35734; sign_pair_case:36603
ex205,10,ex205_bf16_log10_sign_exp_mant_case,sign_exp_mant_case,4631,18,83358,bf16_deep_variants_20260603_1223.csv,sign_exp_mant_case:83358; split_sign_exp_mant_case:83467; exp_mant_pair_case:83885; positive_default_exp_mant_case:84816; sign_exp_default_expr_case:91409
ex206,10,ex206_bf16_sin_split_sign_exp_mant_case,split_sign_exp_mant_case,30492,21,640332,bf16_deep_variants_20260603_1223.csv,split_sign_exp_mant_case:640332; exp_mant_pair_case:680394; positive_default_exp_mant_case:706376; exp_mant_delta_pair:714196; sign_exp_mant_case:714231
ex207,10,ex207_bf16_tan_exp_mant_pair_case,exp_mant_pair_case,35257,22,775654,bf16_deep_variants_20260603_1223.csv,exp_mant_pair_case:775654; positive_default_exp_mant_case:780802; split_sign_exp_mant_case:827379; sign_exp_mant_case:852038; positive_default_exp_mant_delta:854808
ex208,10,ex208_bf16_sinh_split_sign_exp_mant_case,split_sign_exp_mant_case,2208,15,33120,bf16_deep_variants_20260603_1223.csv,split_sign_exp_mant_case:33120; exp_mant_pair_case:35968; positive_default_exp_mant_case:36144; exp_mant_delta_pair:39348; positive_default_exp_mant_delta:39690
ex209,10,ex209_bf16_tanh_sign_exp_default_expr_case,sign_exp_default_expr_case,765,13,9945,bf16_deep_variants_20260603_1223.csv,sign_exp_default_expr_case:9945; positive_default_exp_mant_case:10738; exp_mant_pair_case:11578; split_sign_exp_mant_case:11816; exp_mant_delta_pair:11952
ex210,10,ex210_bf16_sigmoid_exp_mant_pair_case,exp_mant_pair_case,2307,17,39219,bf16_deep_variants_20260603_1223.csv,exp_mant_pair_case:39219; sign_exp_mant_case:39882; split_sign_exp_mant_case:40375; positive_default_exp_mant_delta:41418; positive_default_exp_mant_case:41472
ex211,11,ex211_bf16_reciprocal_value_case,value_case,280,11,3080,bf16_deep_variants_20260603_1223.csv,value_case:3080; sign_pair_case:3168; exp_mant_delta_pair:3498; positive_default_exp_mant_delta:4056; semantic_arith_fields:4500
ex212,11,ex212_bf16_square_exp_mant_delta_pair,exp_mant_delta_pair,318,11,3498,bf16_deep_variants_20260603_1223.csv,exp_mant_delta_pair:3498; semantic_arith_fields:3600; sign_pair_case:3720; positive_default_exp_mant_delta:3744; default_expr_exception_case:3926
ex213,11,ex213_bf16_sqrt_semantic_arith_fields,semantic_arith_fields,338,13,4394,bf16_frontend_pool_all_20260603_1209.csv,semantic_arith_fields:4394; default_expr_exception_case:4459; value_case:4459; exp_mant_delta_pair:4498; positive_default_exp_mant_delta:4537
ex214,11,ex214_bf16_reciprocal_square_default_expr_exception_case,default_expr_exception_case,318,12,3816,bf16_deep_variants_20260603_1223.csv,default_expr_exception_case:3816; value_case:3816; sign_pair_case:4069; exp_mant_delta_pair:4428; positive_default_exp_mant_delta:4560
ex215,11,ex215_bf16_reciprocal_sqrt_sign_pair_case,sign_pair_case,385,13,5005,bf16_deep_variants_20260603_1223.csv,sign_pair_case:5005; semantic_arith_fields:5304; default_expr_exception_case:5418; value_case:5418; exp_mant_delta_pair:5434
ex216,11,ex216_bf16_cube_sign_pair_case,sign_pair_case,443,15,6645,bf16_deep_variants_20260603_1223.csv,sign_pair_case:6645; value_case:6930; semantic_arith_fields:6960; exp_mant_delta_pair:6972; positive_default_exp_mant_delta:7410
ex217,11,ex217_bf16_cbrt_positive_default_exp_mant_delta,positive_default_exp_mant_delta,679,16,10864,bf16_deep_variants_20260603_1223.csv,positive_default_exp_mant_delta:10864; exp_mant_delta_pair:10880; positive_default_exp_mant_case:12628; split_sign_exp_mant_case:13830; exp_mant_pair_case:13986
ex218,11,ex218_bf16_reciprocal_cube_value_case,value_case,463,15,6945,bf16_deep_variants_20260603_1223.csv,value_case:6945; sign_pair_case:7470; positive_default_exp_mant_delta:8130; exp_mant_delta_pair:8624; positive_default_exp_mant_case:10465
ex219,11,ex219_bf16_reciprocal_cbrt_exp_mant_delta_pair,exp_mant_delta_pair,663,17,11271,bf16_deep_variants_20260603_1223.csv,exp_mant_delta_pair:11271; positive_default_exp_mant_delta:11543; semantic_arith_fields:12936; split_sign_exp_mant_case:13846; positive_default_exp_mant_case:15120
