case,domain,candidate_id,hypothesis,method_signature,verilog_path,aig_path,equivalent,area,delay,adp,reference_adp,current_frontend_adp,beat_reference,improved_frontend,log_path,agent_id,run_id,notes
ex204,bf16,ex204_arithbase_hilo3_abc_g_aig,bf16_log2_arithbase_delta_correction,ex204|bf16_log2_arithbase_delta_correction|mantissa_hilo_grouped_lut_module_rename|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_aig|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex204/verilog/ex204_bf16_log2_arithbase_hilo3_abcgaig_r19.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex204/official_eval/ex204_arithbase_hilo3_abc_g_aig/ex204.aig,1,1511,17,25687,15180,25670,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex204/logs/ex204_arithbase_hilo3_abc_g_aig.evaluate.py.log,fpbf-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official evaluate.py OK; copied current frontend-best seed; renamed module and used abc -g aig; valid nonwinning row
ex205,bf16,ex205_sep_fields_abc_g_and,bf16_log10_field_decode,ex205|bf16_log10_field_decode|current_frontend_seed_module_rename|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_and|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex205/verilog/ex205_bf16_log10_sep_fields_abcgand_r19.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex205/official_eval/ex205_sep_fields_abc_g_and/ex205.aig,1,4463,17,75871,47128,71104,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex205/logs/ex205_sep_fields_abc_g_and.evaluate.py.log,fpbf-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official evaluate.py OK; copied current frontend-best seed; renamed module and used abc -g AND; valid nonwinning row
ex218,bf16,ex218_field_selector_abc_g_aig,bf16_reciprocal_cube_existing_seed_field_selector,ex218|bf16_reciprocal_cube_existing_seed_field_selector|legacy_value_case_field_selector|decoded_sign_exp_mant_selector|yosys_abc_g_aig|DAZ_reciprocal_cube_BF16_RNE_FTZ|full_word_value_case,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/verilog/ex218_bf16_reciprocal_cube_field_selector_abcgaig_r19.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/official_eval/ex218_field_selector_abc_g_aig/ex218.aig,1,457,13,5941,3222,6071,0,1,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/logs/ex218_field_selector_abc_g_aig.evaluate.py.log,fpbf-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official evaluate.py OK; copied current frontend-best seed; changed selector to decoded fields and used abc -g aig
ex244,float_fp8,ex244_round19_gapdecode_small_default,E4M3FN packed hypot abs(high) abs(low),ex244|E4M3FN packed hypot|max-eff delta BDD small-gap source rewrite|shared abs max/min decode plus explicit small-gap delta gate|yosys_default_abc_and_aigmap|exact_e4m3fn_hypot_abs_high_low|max-plus-delta_outputs,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex244/verilog/ex244_round19_gapdecode_small.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex244/aigs/ex244.aig,1,329,38,12502,4272,10234,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex244/logs/ex244_round19_gapdecode_small_default.official_evaluate.log,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,copied current best source and replaced generic gap<3 compare with explicit small-gap decode; official evaluate OK but nonwinning
ex248,float_fp8,ex248_round19_delta_neg_noabc,E5M2FN packed fmod low byte mod high byte,ex248|E5M2FN packed fmod|periodic remainder delta-negative noabc rewrite|shared divisor-period remainder tables plus kept signed-delta bypass|yosys_no_abc_aigmap|exact_e5m2fn_fmod_low_mod_high|periodic_rem_norm_table_outputs,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex248/verilog/ex248_round19_delta_neg_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex248/aigs/ex248.aig,1,410,44,18040,4180,8550,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex248/logs/ex248_round19_delta_neg_noabc.official_evaluate.log,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,copied current best source replaced signed compare with kept delta-negative bit and synthesized with no-ABC flow; official evaluate OK but nonwinning
ex249,float_fp8,ex249_round19_activegap_noabc,E5M2FN packed hypot abs(high) abs(low),ex249|E5M2FN packed hypot|raw-exp threshold active-gap noabc rewrite|shared abs max/min decode plus kept active-gap gate|yosys_no_abc_aigmap|exact_e5m2fn_hypot_abs_high_low|threshold_delta_table_outputs,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex249/verilog/ex249_round19_activegap_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex249/aigs/ex249.aig,1,307,40,12280,2079,4368,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex249/logs/ex249_round19_activegap_noabc.official_evaluate.log,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,copied current best source added kept active-gap wire and synthesized with no-ABC flow; official evaluate OK but nonwinning
ex260,integer,ex260_smul_bw_rev_hcla4_explicit_lowcarry_noabc,signed multiply current-best source with explicit low carry and no-internal-ABC synth flow,ex260|signed_lowmerge_explicit_source_flow_probe|Baugh-Wooley_rev_hCLA4_with_explicit_low_carry|explicit_low_nibble_carry_and_no_internal_abc_flow|yosys_noabc_aigmap|signed_low4_high4_multiply|product_word,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex260/verilog/ex260_smul_bw_rev_hcla4_explicit_lowcarry_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex260/official_eval/ex260_smul_bw_rev_hcla4_explicit_lowcarry_noabc/ex260.aig,1,113,15,1695,657,1144,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex260/logs/ex260_smul_bw_rev_hcla4_explicit_lowcarry_noabc.evaluate.py.log,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official evaluate.py equivalent; material source/synth-flow change from copied current best but lower QoR
ex266,integer,ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc,divider current-best cofactor source with one-hot masked final word mux and no-internal-ABC synth flow,ex266|cofactor_wordmux_onehot_source_flow_probe|bhi2_a4_local_BDD_groups_with_masked_onehot_word_mux|explicit_onehot_group_masks_and_no_internal_abc_flow|yosys_noabc_aigmap|unsigned_low5_high5_divide_dbz_sat|quotient_word,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex266/verilog/ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex266/official_eval/ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc/ex266.aig,1,217,18,3906,848,1480,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex266/logs/ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc.evaluate.py.log,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official evaluate.py equivalent; material source/synth-flow change from copied current best but much lower QoR
ex276,integer,ex276_isqrt_prefix4_ge_tree_mux_noabc,isqrt current-best prefix4 shared-ge buckets with balanced final hi mux and no-internal-ABC synth flow,ex276|prefix4_output_mux_tree_source_flow_probe|prefix4_shared_ge_buckets_with_balanced_hi_word_mux|balanced_binary_hi_mux_and_no_internal_abc_flow|yosys_noabc_aigmap|floor_isqrt_10_to_5|sqrt_word,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex276/verilog/ex276_isqrt_prefix4_ge_tree_mux_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex276/official_eval/ex276_isqrt_prefix4_ge_tree_mux_noabc/ex276.aig,1,190,19,3610,632,1010,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex276/logs/ex276_isqrt_prefix4_ge_tree_mux_noabc.evaluate.py.log,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official evaluate.py equivalent; material source/synth-flow change from copied current best but lower QoR
ex285,unknown,ex285_decision_tree_greedy_round19_abc_g_and,existing_decision_tree_greedy,ex285|existing_decision_tree_greedy|top_module_renamed_copy|yosys_abc_g_AND_aigmap|abc_xf_official_evaluate|round19_nonreplay,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/unknown-existing-r19/ex285/verilog/ex285_decision_tree_greedy_round19_abc_g_and.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/unknown-existing-r19/ex285/aigs/ex285_decision_tree_greedy_round19_abc_g_and.aig,1,818,17,13906,5499,13175,0,0,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/unknown-existing-r19/ex285/logs/ex285_decision_tree_greedy_round19_abc_g_and.evaluate.py.log,unknown-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,Copied current best decision-tree Verilog; top module renamed; synthesized with yosys_synth.py abc -g AND instead of prior synth_preset; official evaluate.py OK; nonwinning vs current 13175
