case,domain,candidate_id,shared_structures,sharing_strategy,estimated_benefit,agent_id,run_id,notes
ex204,bf16,ex204_arithbase_hilo3_abc_g_aig,shared_exponent_mantissa_delta_base,source/flow probe around existing shared structure,negative,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but ties/worsens current frontend by 17 ADP
ex204,bf16,ex204_arithbase_hilo3_abc_g_aig,shared exponent/mantissa arithmetic base plus hi3 delta table and selected bit overrides,alternate abc -g aig mapping over current accepted source,low,fpbf-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,material synth-flow variant of current frontend best; nonwinning
ex205,bf16,ex205_sep_fields_abc_g_and,shared_sign_exp_mant_field_decode,source/flow probe around existing shared structure,negative,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but worsens current frontend
ex205,bf16,ex205_sep_fields_abc_g_and,shared sign exponent mantissa field decode plus sign predicate,alternate abc -g AND mapping over current accepted source,low,fpbf-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,material synth-flow variant of current frontend best; nonwinning
ex218,bf16,ex218_field_selector_abc_g_aig,decoded sign_exp and mant reused as case selector,small source representation shift plus alternate abc -g aig mapping,low,fpbf-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,materially different from exact seed replay but still value-case dominated
ex244,float_fp8,ex244_round19_gapdecode_small_default,abs-lane max/min decode; max effective exponent; two-bit gap key; delta BDD output bits; explicit small-gap delta gate,preserve current max-eff delta BDD and alter only the gap gating boundary from comparator to small decode,low,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,materially different source from current best but not enough to reduce ADP
ex248,float_fp8,ex248_round19_delta_neg_noabc,divisor significand period tables; exponent-delta remainder keys; normalization table; kept signed-delta bypass,preserve periodic remainder tables but change signed-delta bypass boundary and no-ABC mapping,low,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,materially different source/flow but worse ADP
ex249,float_fp8,ex249_round19_activegap_noabc,shared_abs_max_min_decode_plus_active_gap_delta,source/flow probe around existing shared structure,negative,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but worse than current frontend
ex249,float_fp8,ex249_round19_activegap_noabc,abs-lane max/min decode; raw exponent gap0/gap1 predicates; kept active-gap gate; two-bit delta table,preserve current threshold table and test no-ABC mapping with an explicit active-gap boundary,low,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,materially different synth flow but much worse ADP
ex260,integer,ex260_smul_bw_rev_hcla4_explicit_lowcarry_noabc,Baugh-Wooley signed partial products with explicit low-nibble carry wires and high-bit generate/propagate merge,kept current shared signed partial products but made the low carry chain source-visible and skipped internal ABC before aigmap,low; expected to test whether source-visible carries map better than inferred low add,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official row was exact but nonwinning at 113/15/1695
ex266,integer,ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc,shared_cofactor_word_mux_with_keep_attributes,source/flow probe around existing shared structure,negative,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but keep/noabc flow destroyed QoR
ex266,integer,ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc,cofactor local BDD quotient words selected by explicit one-hot masked group outputs,kept current local BDD cofactors but changed the final procedural case mux into masked OR word selection and skipped internal ABC before aigmap,low; tests whether source-visible one-hot sharing improves the final quotient selector,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official row was exact but nonwinning at 217/18/3906
ex276,integer,ex276_isqrt_prefix4_ge_tree_mux_noabc,prefix4 shared-ge bucket outputs selected by a balanced binary high-prefix word mux,kept current low-bucket threshold/ge sharing but changed the final procedural case selector to a source-visible mux tree and skipped internal ABC before aigmap,low; tests whether balanced source muxing improves hi-bucket selection,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,official row was exact but nonwinning at 190/19/3610
ex285,unknown,ex285_decision_tree_greedy_round19_abc_g_and,,nested conditional decision tree from current best source,,,ex200_ex299_frontend_refgap_round19_20260612_2346,No key-table global BDD descriptor output-gray or compact-routing replay; material change is yosys_synth.py abc -g AND synthesis path
ex288,unknown,ex288_keybdd_selected_round19_no_abc,,current best symcof key-BDD-selected RTL with no-ABC synthesis,,,ex200_ex299_frontend_refgap_round19_20260612_2346,No new key-table global BDD descriptor output-gray or compact-routing replay; material change is yosys_synth.py no-ABC synthesis path
ex288,unknown,ex288_keybdd_selected_round19_no_abc,shared_key_decode_and_interleaved_bdd_groups,source/flow probe around existing shared structure,negative,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but no-ABC mapping is much worse
ex292,unknown,ex292_shared_bdd_round19_no_abc,,current best scalar shared-BDD RTL with no-ABC synthesis,,,ex200_ex299_frontend_refgap_round19_20260612_2346,No new key-table direct descriptor output-gray or compact-routing replay; material change is yosys_synth.py no-ABC synthesis path
