case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex204,bf16,bf16 log2 arithbase hilo3 current source with abc-g-aig flow,ex204|bf16_log2_arithbase_delta_correction|arithbase_hilo3_abcgaig_source_probe|shared_exponent_mantissa_delta_base|yosys_abc_g_aig|DAZ_log2_BF16_RNE_FTZ|grouped_word_output,EQUIVALENT_NONWINNING,official evaluate.py OK but ADP 25687 is not below current frontend 25670,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex204/verilog/ex204_bf16_log2_arithbase_hilo3_abcgaig_r19.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex204/logs/ex204_arithbase_hilo3_abc_g_aig.evaluate.py.log,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but ties/worsens current frontend by 17 ADP
ex205,bf16,bf16 log10 separated fields current source with abc-g-and flow,ex205|bf16_log10_field_decode|sep_fields_module_rename_flow_probe|shared_sign_exp_mant_field_decode|yosys_abc_g_and|DAZ_log10_BF16_RNE_FTZ|grouped_word_output,EQUIVALENT_NONWINNING,official evaluate.py OK but ADP 75871 is not below current frontend 71104,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex205/verilog/ex205_bf16_log10_sep_fields_abcgand_r19.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex205/logs/ex205_sep_fields_abc_g_and.evaluate.py.log,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but worsens current frontend
ex244,float_fp8,E4M3FN packed hypot abs(high) abs(low),ex244|E4M3FN packed hypot|max-eff delta BDD small-gap source rewrite|shared abs max/min decode plus explicit small-gap delta gate|yosys_default_abc_and_aigmap|exact_e4m3fn_hypot_abs_high_low|max-plus-delta_outputs,EQUIVALENT_NONWINNING,official row is equivalent but ADP 12502 is worse than current frontend 10234 and reference 4272,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex244/verilog/ex244_round19_gapdecode_small.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex244/logs/ex244_round19_gapdecode_small_default.official_evaluate.log,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,small-gap compare rewrite increased delay and did not improve area enough
ex248,float_fp8,E5M2FN packed fmod low byte mod high byte,ex248|E5M2FN packed fmod|periodic remainder delta-negative noabc rewrite|shared divisor-period remainder tables plus kept signed-delta bypass|yosys_no_abc_aigmap|exact_e5m2fn_fmod_low_mod_high|periodic_rem_norm_table_outputs,EQUIVALENT_NONWINNING,official row is equivalent but ADP 18040 is worse than current frontend 8550 and reference 4180,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex248/verilog/ex248_round19_delta_neg_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex248/logs/ex248_round19_delta_neg_noabc.official_evaluate.log,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,no-ABC flow and kept delta-negative bypass worsened both area and delay
ex249,float_fp8,"E5M2FN packed hypot abs(high,low) current source flow probe",ex249|E5M2FN_packed_hypot_abs|active-gap_delta_source_flow_probe|shared_abs_max_min_decode_plus_active_gap_delta|yosys_noabc_aigmap|exact_e5m2fn_hypot_abs|word_output,EQUIVALENT_NONWINNING,official evaluate.py OK but ADP 12280 is not below current frontend 4368,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex249/verilog/ex249_round19_activegap_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex249/logs/ex249_round19_activegap_noabc.official_evaluate.log,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but worse than current frontend
ex249,float_fp8,E5M2FN packed hypot abs(high) abs(low),ex249|E5M2FN packed hypot|raw-exp threshold active-gap noabc rewrite|shared abs max/min decode plus kept active-gap gate|yosys_no_abc_aigmap|exact_e5m2fn_hypot_abs_high_low|threshold_delta_table_outputs,EQUIVALENT_NONWINNING,official row is equivalent but ADP 12280 is worse than current frontend 4368 and reference 2079,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex249/verilog/ex249_round19_activegap_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fp8-existing-r19/ex249/logs/ex249_round19_activegap_noabc.official_evaluate.log,fp8-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,no-ABC flow greatly increased delay and area relative to current source
ex260,integer,signed multiply current-best source with explicit low carry and no-internal-ABC synth flow,ex260|signed_lowmerge_explicit_source_flow_probe|Baugh-Wooley_rev_hCLA4_with_explicit_low_carry|explicit_low_nibble_carry_and_no_internal_abc_flow|yosys_noabc_aigmap|signed_low4_high4_multiply|product_word,low_value_official_ok,official evaluate.py OK 113/15/1695 but worse than current frontend 88/13/1144,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex260/verilog/ex260_smul_bw_rev_hcla4_explicit_lowcarry_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex260/logs/ex260_smul_bw_rev_hcla4_explicit_lowcarry_noabc.evaluate.py.log,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,do not repeat this explicit low-carry plus no-ABC replay unchanged
ex266,integer,unsigned division current cofactor wordmux with keep/noabc flow,ex266|unsigned_division_bhi2_a4_cofactor_wordmux|current_best_source_keep_noabc_probe|shared_cofactor_word_mux_with_keep_attributes|yosys_noabc_aigmap|unsigned_low5_high5_div_dbz_sat|quotient_word,EQUIVALENT_NONWINNING,official evaluate.py OK but ADP 3906 is not below current frontend 1480,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex266/verilog/ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex266/logs/ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc.evaluate.py.log,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but keep/noabc flow destroyed QoR
ex266,integer,divider current-best cofactor source with one-hot masked final word mux and no-internal-ABC synth flow,ex266|cofactor_wordmux_onehot_source_flow_probe|bhi2_a4_local_BDD_groups_with_masked_onehot_word_mux|explicit_onehot_group_masks_and_no_internal_abc_flow|yosys_noabc_aigmap|unsigned_low5_high5_divide_dbz_sat|quotient_word,low_value_official_ok,official evaluate.py OK 217/18/3906 but worse than current frontend 148/10/1480,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex266/verilog/ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex266/logs/ex266_udiv_cof_bhi2_a4_wordmux_keep_noabc.evaluate.py.log,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,do not repeat this one-hot masked word-mux plus no-ABC replay unchanged
ex276,integer,isqrt current-best prefix4 shared-ge buckets with balanced final hi mux and no-internal-ABC synth flow,ex276|prefix4_output_mux_tree_source_flow_probe|prefix4_shared_ge_buckets_with_balanced_hi_word_mux|balanced_binary_hi_mux_and_no_internal_abc_flow|yosys_noabc_aigmap|floor_isqrt_10_to_5|sqrt_word,low_value_official_ok,official evaluate.py OK 190/19/3610 but worse than current frontend 101/10/1010,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex276/verilog/ex276_isqrt_prefix4_ge_tree_mux_noabc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/integer-existing-r19/ex276/logs/ex276_isqrt_prefix4_ge_tree_mux_noabc.evaluate.py.log,integer-existing-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,do not repeat this balanced hi-mux plus no-ABC replay unchanged
ex288,unknown,unknown key-BDD selected source no-ABC flow probe,ex288|hamming_preserving_routing_keybdd|selected_keybdd_noabc_flow_probe|shared_key_decode_and_interleaved_bdd_groups|yosys_noabc_aigmap|official_truth_equivalent_unknown|word_output,EQUIVALENT_NONWINNING,official evaluate.py OK but ADP 238464 is not below current frontend 31598,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/unknown-existing-r19/ex288/verilog/ex288_keybdd_selected_round19_no_abc.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/unknown-existing-r19/ex288/logs/ex288_keybdd_selected_round19_no_abc.evaluate.py.log,coordinator-visible-r19,ex200_ex299_frontend_refgap_round19_20260612_2346,visible worker artifact; official evaluate.py OK but no-ABC mapping is much worse
