case,hypothesis,representation,sharing_strategy,synth_flow,method_signature,status,reason,artifact_path,agent_id,candidate_id,variant,verilog_path,aig_path,stage,failure_reason,reuse_policy,notes,shard_csv,failure_stage,evidence_path
ex223,fp16_log_fullword_mantissa_patch,signexp_hi8_low2_fullword_patch,,,ex223|fp16_log_fullword_mantissa_patch|signexp_hi8_low2_fullword_patch|compact_special_no_nested_low_bit_lut|yosys_abc_g_aig|abc_xf_official_evaluate|normal_word,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-predicate-r70,,,,,,,,full-word positive-normal mantissa hi8/low2 patch; avoids low11/low13/low14 nested sparse replay; compact_special const_groups=33; split_groups=1; full_items=0; hi_width=8; low_width=2; value_width=16; manual_bits=none; const_groups=2830; patch_items=22230,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp16-int-predicate-r70/failed_hypotheses.csv,official_evaluate_qor,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp16-int-predicate-r70/ex223/aigs/ex223_r70_hi8_wordpatch_abc_g_aig.aig
ex223,fp16_log_shared_special_predicates,manual_b15_b14_plus_hi8_lowerword_patch,,,ex223|fp16_log_shared_special_predicates|manual_b15_b14_plus_hi8_lowerword_patch|shared_high_predicates_with_lower_word_patch|yosys_abc_g_aig|abc_xf_official_evaluate|not_nested_low_replay,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-predicate-r70,,,,,,,,"shared exact output bit15/bit14 predicates plus lower-word hi8 patch; materially different from compact-special low11 nested row; compact_special const_groups=33; split_groups=1; full_items=0; hi_width=8; low_width=2; value_width=14; manual_bits=15,14; const_groups=2830; patch_items=22230",student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp16-int-predicate-r70/failed_hypotheses.csv,official_evaluate_qor,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp16-int-predicate-r70/ex223/aigs/ex223_r70_shared_highpred_hi8_patch_abc_g_aig.aig
ex225,fp16_log10_fullword_mantissa_patch,signexp_hi8_low2_fullword_patch,,,ex225|fp16_log10_fullword_mantissa_patch|signexp_hi8_low2_fullword_patch|compact_special_no_nested_low_bit_lut|yosys_abc_g_aig|abc_xf_official_evaluate|normal_word,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-predicate-r70,,,,,,,,full-word positive-normal mantissa hi8/low2 patch; avoids low12/low13/low14 nested sparse replay; compact_special const_groups=33; split_groups=1; full_items=0; hi_width=8; low_width=2; value_width=16; manual_bits=none; const_groups=2772; patch_items=22404,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp16-int-predicate-r70/failed_hypotheses.csv,official_evaluate_qor,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp16-int-predicate-r70/ex225/aigs/ex225_r70_hi8_wordpatch_abc_g_aig.aig
ex225,fp16_log10_shared_special_predicates,manual_b15_b14_b13_plus_hi8_lowerword_patch,,,ex225|fp16_log10_shared_special_predicates|manual_b15_b14_b13_plus_hi8_lowerword_patch|shared_high_predicates_with_lower_word_patch|yosys_abc_g_aig|abc_xf_official_evaluate|not_nested_low_replay,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-predicate-r70,,,,,,,,"shared exact output bit15/bit14/bit13 predicates plus lower-word hi8 patch; materially different from compact-special low12 nested row; compact_special const_groups=33; split_groups=1; full_items=0; hi_width=8; low_width=2; value_width=13; manual_bits=15,14,13; const_groups=2772; patch_items=22404",student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp16-int-predicate-r70/failed_hypotheses.csv,official_evaluate_qor,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp16-int-predicate-r70/ex225/aigs/ex225_r70_shared_highpred_hi8_patch_abc_g_aig.aig
ex260,signed_abs_quadrant_product,shared_abs_product_conditional_twos_complement,,,ex260|signed_abs_quadrant_product|shared_abs_product_conditional_twos_complement|sign_quadrant_mux_not_baugh_weighted_rows|yosys_abc_g_aig|signed_low4_high4_multiply|product_word,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-predicate-r70,,,,,,,,sign-quadrant arithmetic source; avoids Baugh-Wooley carry-select and signed weighted row signatures; shared abs_a/abs_b product plus conditional two's-complement output,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp16-int-predicate-r70/failed_hypotheses.csv,official_evaluate_qor,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp16-int-predicate-r70/ex260/aigs/ex260_r70_abs_quadrant_mux_abc_g_aig.aig
ex260,signed_radix4_booth_recode,two_booth_digits_shared_a_multiples,,,ex260|signed_radix4_booth_recode|two_booth_digits_shared_a_multiples|compact_booth_not_baugh_carryselect|yosys_abc_g_aig|signed_low4_high4_multiply|product_word,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-predicate-r70,,,,,,,,compact Booth source; distinct from Baugh-Wooley carry-select and signed weighted rows; two radix-4 Booth digits sharing signed a multiples,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp16-int-predicate-r70/failed_hypotheses.csv,official_evaluate_qor,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp16-int-predicate-r70/ex260/aigs/ex260_r70_booth_radix4_abc_g_aig.aig
ex266,udiv_shared_subtract_prefix,binary_quotient_remainder_subtract_terms,,,ex266|udiv_shared_subtract_prefix|binary_quotient_remainder_subtract_terms|shared_shifted_subtract_terms_not_wordmux|yosys_abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-predicate-r70,,,,,,,,"quotient bits from shared compare/subtract terms; avoids cofactor-wordmux, one-hot interval, and const-divisor forms; shared shifted-divisor compare/subtract terms for q4..q0",student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp16-int-predicate-r70/failed_hypotheses.csv,official_evaluate_qor,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp16-int-predicate-r70/ex266/aigs/ex266_r70_subtract_prefix_abc_g_aig.aig
ex266,udiv_binary_threshold_predicates,shared_constant_multiple_compare_prefix,,,ex266|udiv_binary_threshold_predicates|shared_constant_multiple_compare_prefix|binary_threshold_bits_not_onehot_intervals|yosys_abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-predicate-r70,,,,,,,,binary threshold quotient predicates; distinct from one-hot intervals and cofactor-wordmux forms; binary quotient predicates sharing constant-multiple comparisons,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp16-int-predicate-r70/failed_hypotheses.csv,official_evaluate_qor,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp16-int-predicate-r70/ex266/aigs/ex266_r70_binary_threshold_predicates_abc_g_aig.aig
ex240,E4M3FN packed add,selected-output residual over sorted E4 field decode,,,ex240|E4M3FN packed add|selected-output residual over sorted field decode|shared nan sign max/min decode plus xor residual table|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,equivalent but did not beat current frontend ADP 26230,,sub-fp8-mid-predicate-r70,,,,,,,,blocked signature for future repeat-as-is checks,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp8-mid-predicate-r70/failed_hypotheses.csv,official_evaluate_nonwinning,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp8-mid-predicate-r70/ex240/logs/ex240_r70_selected_residual_sorted_fields.evaluate.py.log
ex240,E4M3FN packed add,guard-round field key with split sign/high/low residuals,,,ex240|E4M3FN packed add|guard-round field-key split residual|shared sorted exponent significand decode plus split sign high low residuals|repo_yosys_frontend_synth_preset|official_evaluate|sign_mag_groups,,equivalent but did not beat current frontend ADP 26230,,sub-fp8-mid-predicate-r70,,,,,,,,blocked signature for future repeat-as-is checks,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp8-mid-predicate-r70/failed_hypotheses.csv,official_evaluate_nonwinning,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp8-mid-predicate-r70/ex240/logs/ex240_r70_guard_round_split_residual.evaluate.py.log
ex241,E4M3FN packed multiply,alternate gray-coded exponent-sum product residual,,,ex241|E4M3FN packed multiply|gray-coded exponent-sum product residual|shared sign xor exp-sum product with alternate exp encoding|repo_yosys_frontend_synth_preset|official_evaluate|mag_residual,,equivalent but did not beat current frontend ADP 14094,,sub-fp8-mid-predicate-r70,,,,,,,,blocked signature for future repeat-as-is checks,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp8-mid-predicate-r70/failed_hypotheses.csv,official_evaluate_nonwinning,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp8-mid-predicate-r70/ex241/logs/ex241_r70_expgray_product_residual.evaluate.py.log
ex241,E4M3FN packed multiply,product-class common subfunction with split magnitude output,,,ex241|E4M3FN packed multiply|product-class split magnitude table|shared product class extraction plus split high low magnitude outputs|repo_yosys_frontend_synth_preset|official_evaluate|mag_groups,,equivalent but did not beat current frontend ADP 14094,,sub-fp8-mid-predicate-r70,,,,,,,,blocked signature for future repeat-as-is checks,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1240/agent_shards/sub-fp8-mid-predicate-r70/failed_hypotheses.csv,official_evaluate_nonwinning,student/work/frontend_source_parallel_round70_20260613_1240/sub-fp8-mid-predicate-r70/ex241/logs/ex241_r70_product_class_split_mag.evaluate.py.log
