case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,observed_sharing,area_delay_tradeoff,notes
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",gap/significand delta table without max-eff BDD,"shared abs max/min decode, exponent gap, and sig-pair delta residual",,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",gap/significand delta table without max-eff BDD,"shared abs max/min decode, exponent gap, and sig-pair delta residual",,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",gap/significand delta table without max-eff BDD,"shared abs max/min decode, exponent gap, and sig-pair delta residual",,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",gap/significand delta table without max-eff BDD,"shared abs max/min decode, exponent gap, and sig-pair delta residual",,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",OR-of-threshold delta predicates over small-gap classes,shared max/min decode and reusable min-sig threshold predicates,,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",OR-of-threshold delta predicates over small-gap classes,shared max/min decode and reusable min-sig threshold predicates,,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",OR-of-threshold delta predicates over small-gap classes,shared max/min decode and reusable min-sig threshold predicates,,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",OR-of-threshold delta predicates over small-gap classes,shared max/min decode and reusable min-sig threshold predicates,,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",packed threshold residual table keyed by gap and max significand,shared max/min decode with compact threshold payloads,,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",packed threshold residual table keyed by gap and max significand,shared max/min decode with compact threshold payloads,,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",packed threshold residual table keyed by gap and max significand,shared max/min decode with compact threshold payloads,,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",packed threshold residual table keyed by gap and max significand,shared max/min decode with compact threshold payloads,,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",max-effective-exponent threshold residual packs,"shared max_eff, gap, sig-pair thresholds and saturation context",,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",max-effective-exponent threshold residual packs,"shared max_eff, gap, sig-pair thresholds and saturation context",,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",max-effective-exponent threshold residual packs,"shared max_eff, gap, sig-pair thresholds and saturation context",,,,beats_frontend=0; beats_reference=0
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",max-effective-exponent threshold residual packs,"shared max_eff, gap, sig-pair thresholds and saturation context",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,same-sign delta plus direct diff normalizer table,"shared sorted magnitude decode, gap clamp, same delta and diff residual table",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,same-sign delta plus direct diff normalizer table,"shared sorted magnitude decode, gap clamp, same delta and diff residual table",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,same-sign delta plus direct diff normalizer table,"shared sorted magnitude decode, gap clamp, same delta and diff residual table",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,same-sign delta plus direct diff normalizer table,"shared sorted magnitude decode, gap clamp, same delta and diff residual table",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,dual GRS arithmetic-base rounding paths,"shared max/min decode, aligned significands, same/diff rounding predicates",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,dual GRS arithmetic-base rounding paths,"shared max/min decode, aligned significands, same/diff rounding predicates",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,dual GRS arithmetic-base rounding paths,"shared max/min decode, aligned significands, same/diff rounding predicates",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,dual GRS arithmetic-base rounding paths,"shared max/min decode, aligned significands, same/diff rounding predicates",,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,gap-major active-region correction table,shared sign/gap/sig decode with region-local output correction,,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,gap-major active-region correction table,shared sign/gap/sig decode with region-local output correction,,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,gap-major active-region correction table,shared sign/gap/sig decode with region-local output correction,,,,beats_frontend=0; beats_reference=0
ex240,float_fp8,fp8-region-r26,E4M3FN packed add high plus low,gap-major active-region correction table,shared sign/gap/sig decode with region-local output correction,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,gap-limited arithmetic normalizer,shared sorted magnitude decode and local small-gap normalizer,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,gap-limited arithmetic normalizer,shared sorted magnitude decode and local small-gap normalizer,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,gap-limited arithmetic normalizer,shared sorted magnitude decode and local small-gap normalizer,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,gap-limited arithmetic normalizer,shared sorted magnitude decode and local small-gap normalizer,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,same/diff max-min pair correction tables,shared sorted sign/magnitude decode with separate same/diff correction tables,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,same/diff max-min pair correction tables,shared sorted sign/magnitude decode with separate same/diff correction tables,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,same/diff max-min pair correction tables,shared sorted sign/magnitude decode with separate same/diff correction tables,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,same/diff max-min pair correction tables,shared sorted sign/magnitude decode with separate same/diff correction tables,,,,beats_frontend=0; beats_reference=0
