case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,outcome,reason,evidence_path,next_action
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|gap/significand delta table without max-eff BDD|shared abs max/min decode, exponent gap, and sig-pair delta residual|abc_g_and|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sig_gap|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 13246 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_abc_g_and.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|gap/significand delta table without max-eff BDD|shared abs max/min decode, exponent gap, and sig-pair delta residual|abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sig_gap|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 12384 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_abc_g_aig.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|gap/significand delta table without max-eff BDD|shared abs max/min decode, exponent gap, and sig-pair delta residual|synth_preset_and|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sig_gap|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 12882 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_synth_preset_and.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|gap/significand delta table without max-eff BDD|shared abs max/min decode, exponent gap, and sig-pair delta residual|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sig_gap|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 12426 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_delta_synth_preset_aig.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|OR-of-threshold delta predicates over small-gap classes|shared max/min decode and reusable min-sig threshold predicates|abc_g_and|exact_e4m3fn_hypot_abs_high_low|threshold_predicate_delta_bits|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 12528 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_abc_g_and.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|OR-of-threshold delta predicates over small-gap classes|shared max/min decode and reusable min-sig threshold predicates|abc_g_aig|exact_e4m3fn_hypot_abs_high_low|threshold_predicate_delta_bits|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 12168 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_abc_g_aig.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|OR-of-threshold delta predicates over small-gap classes|shared max/min decode and reusable min-sig threshold predicates|synth_preset_and|exact_e4m3fn_hypot_abs_high_low|threshold_predicate_delta_bits|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 13338 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_synth_preset_and.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|OR-of-threshold delta predicates over small-gap classes|shared max/min decode and reusable min-sig threshold predicates|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|threshold_predicate_delta_bits|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 12432 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_sig_gap_orbits_synth_preset_aig.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|packed threshold residual table keyed by gap and max significand|shared max/min decode with compact threshold payloads|abc_g_and|exact_e4m3fn_hypot_abs_high_low|packed_threshold_delta|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 12642 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_threshold_packed_abc_g_and.evaluate.py.log,
ex244,float_fp8,fp8-region-r26,"E4M3FN packed hypot abs(high,low)",,,"ex244|E4M3FN packed hypot abs(high,low)|packed threshold residual table keyed by gap and max significand|shared max/min decode with compact threshold payloads|abc_g_aig|exact_e4m3fn_hypot_abs_high_low|packed_threshold_delta|fp8_region_r26",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ADP 12264 >= current frontend 10234,student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-region-r26/ex244/logs/ex244_r26_region_threshold_packed_abc_g_aig.evaluate.py.log,
