case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,shard_csv,domain,shared_structure,simulation_pass,evaluate_log,variant,method_family,official_aig_path,path_exists,official_status,official_area,official_delay,official_adp,previous_current_adp,previous_frontend_adp,reference_adp_rebuilt,improves_current,improves_frontend,official_eval_log,official_eval_dir,official_returncode,outcome,semantics,output_grouping,synth_log,verified_truth,frontend_best_adp,current_adp_after_rebuild,reference_adp,beats_frontend_best,beats_current_after_rebuild,method_signature_original
ex223,ex223_r67_log_nested_low13_hi5_abc_g_aig,fp16_log_natural_lowbit_split,nested_low13_hi5_lut_highbit_runs,shared special/sign-exp decode plus per-exp high-bit run trees,yosys_abc_g_aig,ex223|fp16_log_natural_lowbit_split|nested_low13_hi5_lut_highbit_runs|shared special/sign-exp decode plus per-exp high-bit run trees|yosys_abc_g_aig|abc_xf_official_evaluate|high bits as run trees; low13 as nested mantissa LUT,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/verilog/ex223_r67_log_nested_low13_hi5_abc_g_aig.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/aigs/ex223_r67_log_nested_low13_hi5_abc_g_aig.aig,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/logs/ex223_r67_log_nested_low13_hi5_abc_g_aig.evaluate.py.log,1,10754,19,204326,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK",sub-fp16-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/candidates.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex223,ex223_r67_log_sparse_low13_hi5_abc_g_aig,fp16_log_natural_sparse_residual_variant,sparse_low13_hi5_default_residual,shared special/sign-exp decode plus high-bit run trees and per-hi defaults,yosys_abc_g_aig,ex223|fp16_log_natural_sparse_residual_variant|sparse_low13_hi5_default_residual|shared special/sign-exp decode plus high-bit run trees and per-hi defaults|yosys_abc_g_aig|abc_xf_official_evaluate|high bits as run trees; low13 as sparse residual defaults,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/verilog/ex223_r67_log_sparse_low13_hi5_abc_g_aig.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/aigs/ex223_r67_log_sparse_low13_hi5_abc_g_aig.aig,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/logs/ex223_r67_log_sparse_low13_hi5_abc_g_aig.evaluate.py.log,1,10759,19,204421,0,0,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=13; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK",sub-fp16-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/candidates.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex225,ex225_r67_log_nested_low13_hi5_abc_g_aig,fp16_log10_lowbit_split,nested_low13_hi5_lut_highbit_runs,shared special/sign-exp decode plus per-exp high-bit run trees,yosys_abc_g_aig,ex225|fp16_log10_lowbit_split|nested_low13_hi5_lut_highbit_runs|shared special/sign-exp decode plus per-exp high-bit run trees|yosys_abc_g_aig|abc_xf_official_evaluate|high bits as run trees; low13 as nested mantissa LUT,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/verilog/ex225_r67_log_nested_low13_hi5_abc_g_aig.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/aigs/ex225_r67_log_nested_low13_hi5_abc_g_aig.aig,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/logs/ex225_r67_log_nested_low13_hi5_abc_g_aig.evaluate.py.log,1,11535,19,219165,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK",sub-fp16-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/candidates.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex225,ex225_r67_log_sparse_low13_hi6_abc_g_aig,fp16_log10_sparse_residual_variant,sparse_low13_hi6_default_residual,shared special/sign-exp decode plus high-bit run trees and per-hi defaults,yosys_abc_g_aig,ex225|fp16_log10_sparse_residual_variant|sparse_low13_hi6_default_residual|shared special/sign-exp decode plus high-bit run trees and per-hi defaults|yosys_abc_g_aig|abc_xf_official_evaluate|high bits as run trees; low13 as sparse residual defaults,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/verilog/ex225_r67_log_sparse_low13_hi6_abc_g_aig.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/aigs/ex225_r67_log_sparse_low13_hi6_abc_g_aig.aig,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/logs/ex225_r67_log_sparse_low13_hi6_abc_g_aig.evaluate.py.log,1,12714,18,228852,0,0,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=13; nested_hi=6; nested_lo=4; hi_groups=1920; dense_entries=30720; sparse_overrides=20065; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK",sub-fp16-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/candidates.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex240,ex240_r67_active_desc_dc,E4M3FN packed add,reachable active-region descriptor table with x defaults,,,ex240|E4M3FN packed add|reachable active-region descriptor table with x defaults|shared sorted field decode plus same/diff active descriptor tables|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/verilog/ex240_r67_active_desc_dc.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/aigs/ex240_r67_active_desc_dc.aig,,1,4619,39,180141,,,official evaluate.py OK; synth_sec=13.844; eval_sec=0.848,sub-fp8-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/candidates.csv,float_fp8,shared sorted field decode plus same/diff active descriptor tables,not_run,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/logs/ex240_r67_active_desc_dc.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex240,ex240_r67_active_desc_split,E4M3FN packed add,output-clustered active descriptor high/low tables,,,ex240|E4M3FN packed add|output-clustered active descriptor high/low tables|shared sorted field decode; separate high/low output clusters|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/verilog/ex240_r67_active_desc_split.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/aigs/ex240_r67_active_desc_split.aig,,1,8060,40,322400,,,official evaluate.py OK; synth_sec=18.603; eval_sec=0.904,sub-fp8-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/candidates.csv,float_fp8,shared sorted field decode; separate high/low output clusters,not_run,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/logs/ex240_r67_active_desc_split.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex241,ex241_r67_product_desc_dc,E4M3FN packed multiply,reachable product descriptor table with x defaults,,,ex241|E4M3FN packed multiply|reachable product descriptor table with x defaults|shared sign xor exponent-sum product descriptor|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/verilog/ex241_r67_product_desc_dc.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/aigs/ex241_r67_product_desc_dc.aig,,1,762,36,27432,,,official evaluate.py OK; synth_sec=1.090; eval_sec=0.483,sub-fp8-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/candidates.csv,float_fp8,shared sign xor exponent-sum product descriptor,not_run,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/logs/ex241_r67_product_desc_dc.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex241,ex241_r67_product_desc_split,E4M3FN packed multiply,output-clustered product descriptor high/low tables,,,ex241|E4M3FN packed multiply|output-clustered product descriptor high/low tables|shared exponent-sum product descriptor with split output clusters|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/verilog/ex241_r67_product_desc_split.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/aigs/ex241_r67_product_desc_split.aig,,1,761,35,26635,,,official evaluate.py OK; synth_sec=1.166; eval_sec=0.479,sub-fp8-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/candidates.csv,float_fp8,shared exponent-sum product descriptor with split output clusters,not_run,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/logs/ex241_r67_product_desc_split.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex242,ex242_r67_div_desc_dc,E4M3FN packed low-over-high division,reachable quotient descriptor table with x defaults,,,ex242|E4M3FN packed low-over-high division|reachable quotient descriptor table with x defaults|shared divisor special decode plus quotient delta/sig descriptor|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/verilog/ex242_r67_div_desc_dc.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/aigs/ex242_r67_div_desc_dc.aig,,1,1306,20,26120,,,official evaluate.py OK; synth_sec=1.176; eval_sec=0.495,sub-fp8-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/candidates.csv,float_fp8,shared divisor special decode plus quotient delta/sig descriptor,not_run,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/logs/ex242_r67_div_desc_dc.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex242,ex242_r67_div_desc_split,E4M3FN packed low-over-high division,output-clustered quotient descriptor high/low tables,,,ex242|E4M3FN packed low-over-high division|output-clustered quotient descriptor high/low tables|shared quotient delta/sig descriptor with split output clusters|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/verilog/ex242_r67_div_desc_split.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/aigs/ex242_r67_div_desc_split.aig,,1,1325,19,25175,,,official evaluate.py OK; synth_sec=1.267; eval_sec=0.504,sub-fp8-mid-r67,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/candidates.csv,float_fp8,shared quotient delta/sig descriptor with split output clusters,not_run,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/logs/ex242_r67_div_desc_split.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,,,,,,
