case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,shard_csv,domain,hypothesis,representation,shared_structure,observed_area,observed_delay,observed_adp,conclusion,sharing_strategy,synth_flow,prior_low_value_signatures_avoided,status,evidence_path
ex223,ex223_r67_log_nested_low13_hi5_abc_g_aig,FP16 natural log,shared special/sign-exp decode plus per-exp high-bit run trees,high bits as run trees; low13 as nested mantissa LUT,high,10754/19/204326,ex223|fp16_log_natural_lowbit_split|nested_low13_hi5_lut_highbit_runs|shared special/sign-exp decode plus per-exp high-bit run trees|yosys_abc_g_aig|abc_xf_official_evaluate|high bits as run trees; low13 as nested mantissa LUT,sub-fp16-mid-r67,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/shared_structure_report.csv,,,,,,,,,,,,,
ex223,ex223_r67_log_sparse_low13_hi5_abc_g_aig,FP16 natural log,shared special/sign-exp decode plus high-bit run trees and per-hi defaults,high bits as run trees; low13 as sparse residual defaults,medium,10759/19/204421,ex223|fp16_log_natural_sparse_residual_variant|sparse_low13_hi5_default_residual|shared special/sign-exp decode plus high-bit run trees and per-hi defaults|yosys_abc_g_aig|abc_xf_official_evaluate|high bits as run trees; low13 as sparse residual defaults,sub-fp16-mid-r67,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=13; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/shared_structure_report.csv,,,,,,,,,,,,,
ex225,ex225_r67_log_nested_low13_hi5_abc_g_aig,FP16 log10,shared special/sign-exp decode plus per-exp high-bit run trees,high bits as run trees; low13 as nested mantissa LUT,high,11535/19/219165,ex225|fp16_log10_lowbit_split|nested_low13_hi5_lut_highbit_runs|shared special/sign-exp decode plus per-exp high-bit run trees|yosys_abc_g_aig|abc_xf_official_evaluate|high bits as run trees; low13 as nested mantissa LUT,sub-fp16-mid-r67,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/shared_structure_report.csv,,,,,,,,,,,,,
ex225,ex225_r67_log_sparse_low13_hi6_abc_g_aig,FP16 log10,shared special/sign-exp decode plus high-bit run trees and per-hi defaults,high bits as run trees; low13 as sparse residual defaults,medium,12714/18/228852,ex225|fp16_log10_sparse_residual_variant|sparse_low13_hi6_default_residual|shared special/sign-exp decode plus high-bit run trees and per-hi defaults|yosys_abc_g_aig|abc_xf_official_evaluate|high bits as run trees; low13 as sparse residual defaults,sub-fp16-mid-r67,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=13; nested_hi=6; nested_lo=4; hi_groups=1920; dense_entries=30720; sparse_overrides=20065; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/shared_structure_report.csv,,,,,,,,,,,,,
ex240,ex240_r67_active_desc_dc,,,,,,,sub-fp8-mid-r67,source-only RTL; no standalone AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/shared_structure_report.csv,float_fp8,E4M3FN packed add,reachable active-region descriptor table with x defaults,shared sorted field decode plus same/diff active descriptor tables,,,,,,,,,
ex240,ex240_r67_active_desc_split,,,,,,,sub-fp8-mid-r67,source-only RTL; no standalone AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/shared_structure_report.csv,float_fp8,E4M3FN packed add,output-clustered active descriptor high/low tables,shared sorted field decode; separate high/low output clusters,,,,,,,,,
ex241,ex241_r67_product_desc_dc,,,,,,,sub-fp8-mid-r67,source-only RTL; no standalone AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/shared_structure_report.csv,float_fp8,E4M3FN packed multiply,reachable product descriptor table with x defaults,shared sign xor exponent-sum product descriptor,,,,,,,,,
ex241,ex241_r67_product_desc_split,,,,,,,sub-fp8-mid-r67,source-only RTL; no standalone AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/shared_structure_report.csv,float_fp8,E4M3FN packed multiply,output-clustered product descriptor high/low tables,shared exponent-sum product descriptor with split output clusters,,,,,,,,,
ex242,ex242_r67_div_desc_dc,,,,,,,sub-fp8-mid-r67,source-only RTL; no standalone AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/shared_structure_report.csv,float_fp8,E4M3FN packed low-over-high division,reachable quotient descriptor table with x defaults,shared divisor special decode plus quotient delta/sig descriptor,,,,,,,,,
ex242,ex242_r67_div_desc_split,,,,,,,sub-fp8-mid-r67,source-only RTL; no standalone AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/shared_structure_report.csv,float_fp8,E4M3FN packed low-over-high division,output-clustered quotient descriptor high/low tables,shared quotient delta/sig descriptor with split output clusters,,,,,,,,,
