case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex201,ex201_bf16_exp2_sign_exp_mant_case,bf16_exp2,sign_exp_mant_case,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_sign_exp_mant_case.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_sign_exp_mant_case.aig,1,1,1,1693,15,25395,2.139,4449,bf16 Verilog table factoring seed
ex201,ex201_bf16_exp2_split_sign_exp_mant_case,bf16_exp2,split_sign_exp_mant_case,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_split_sign_exp_mant_case.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_split_sign_exp_mant_case.aig,1,1,1,1723,15,25845,1.942,4449,bf16 Verilog table factoring seed
ex201,ex201_bf16_exp2_positive_default_exp_mant_case,bf16_exp2,positive_default_exp_mant_case,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_positive_default_exp_mant_case.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_positive_default_exp_mant_case.aig,1,1,1,1597,18,28746,1.902,4147; default=same; exceptions=17480,bf16 Verilog table factoring seed
ex201,ex201_bf16_exp2_positive_default_exp_mant_delta,bf16_exp2,positive_default_exp_mant_delta,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_positive_default_exp_mant_delta.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_positive_default_exp_mant_delta.aig,1,1,1,1618,18,29124,1.947,4403; default=same; exceptions=17480,bf16 Verilog table factoring seed
ex201,ex201_bf16_exp2_magnitude_range_pair,bf16_exp2,magnitude_range_pair,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_magnitude_range_pair.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_magnitude_range_pair.aig,1,0,0,,,,106.489,1118,"SynthError: Yosys failed with exit code -11:
/----------------------------------------------------------------------------\
 |  yosys -- Yosys Open SYnthesis Suite                                       |
 |  Copyright (C) 2012 - 2026  Claire Xenia Wolf <claire@yosyshq.com>         |
 |  Distributed under an ISC-like license, type ""license"" to see terms        |
 \----------------------------------------------------------------------------/
 Yosys 0.65 (git sha1 aec814bdf3071f7e0fd0fbe43f7f711e99d01e24, g++ 14.3.0-19 -fvisibility-inlines-hidden -fmessage-length=0 -march=nocona -mtune=haswell -ftree-vectorize -fPIC -fstack-protector-strong -fno-plt -O2 -ffunction-sections -fdebug-prefix-map=/home/conda/feedstock_root/build_artifacts/yosys_1778591527500/work=/usr/local/src/conda/yosys-0.65 -fdebug-prefix-map=/home/b10507053/ALS_Final_Project/student/tools/conda-env=/usr/local/src/conda-prefix -fPIC -O3) [conda-forge/yosys-feedstock]

-- Executing script file `/tmp/als_yosys_synth_7ivxq0ve"
ex202,ex202_bf16_exp10_sign_exp_mant_case,bf16_exp10,sign_exp_mant_case,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_sign_exp_mant_case.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_sign_exp_mant_case.aig,1,1,1,3713,17,63121,2.931,4703,bf16 Verilog table factoring seed
ex202,ex202_bf16_exp10_split_sign_exp_mant_case,bf16_exp10,split_sign_exp_mant_case,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_split_sign_exp_mant_case.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_split_sign_exp_mant_case.aig,1,1,1,3703,17,62951,2.626,4703,bf16 Verilog table factoring seed
ex202,ex202_bf16_exp10_positive_default_exp_mant_case,bf16_exp10,positive_default_exp_mant_case,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_positive_default_exp_mant_case.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_positive_default_exp_mant_case.aig,1,1,1,3667,18,66006,2.646,4365; default=same; exceptions=17698,bf16 Verilog table factoring seed
ex202,ex202_bf16_exp10_positive_default_exp_mant_delta,bf16_exp10,positive_default_exp_mant_delta,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_positive_default_exp_mant_delta.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_positive_default_exp_mant_delta.aig,1,1,1,3782,24,90768,2.742,4621; default=same; exceptions=17698,bf16 Verilog table factoring seed
ex202,ex202_bf16_exp10_magnitude_range_pair,bf16_exp10,magnitude_range_pair,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_magnitude_range_pair.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_magnitude_range_pair.aig,1,0,0,,,,98.625,1099,"SynthError: Yosys failed with exit code -11:
/----------------------------------------------------------------------------\
 |  yosys -- Yosys Open SYnthesis Suite                                       |
 |  Copyright (C) 2012 - 2026  Claire Xenia Wolf <claire@yosyshq.com>         |
 |  Distributed under an ISC-like license, type ""license"" to see terms        |
 \----------------------------------------------------------------------------/
 Yosys 0.65 (git sha1 aec814bdf3071f7e0fd0fbe43f7f711e99d01e24, g++ 14.3.0-19 -fvisibility-inlines-hidden -fmessage-length=0 -march=nocona -mtune=haswell -ftree-vectorize -fPIC -fstack-protector-strong -fno-plt -O2 -ffunction-sections -fdebug-prefix-map=/home/conda/feedstock_root/build_artifacts/yosys_1778591527500/work=/usr/local/src/conda/yosys-0.65 -fdebug-prefix-map=/home/b10507053/ALS_Final_Project/student/tools/conda-env=/usr/local/src/conda-prefix -fPIC -O3) [conda-forge/yosys-feedstock]

-- Executing script file `/tmp/als_yosys_synth_gwsaf8oi"
