case,domain,agent_id,hypothesis,variant,method_signature,stage,status,reason,verilog_path,aig_path,log_path,next_action,notes
ex240,float_fp8,float-fp8-agent,E4M3FN packed add,semantic_add_same_grs_diff_grs,ex240|E4M3FN packed add|formula-based diff-sign GRS cancellation normalizer|shared gap-clamped decode with separate same and diff arithmetic paths|synth_preset_aig|exact_e4m3fn_add_high_plus_low|full_output_shared_paths,,NOT_EQUIV,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/float-fp8-agent/ex240/verilog/ex240_semantic_add_same_grs_diff_grs.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/float-fp8-agent/ex240/aigs/ex240_semantic_add_same_grs_diff_grs_synth_preset_aig_round2priority.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/float-fp8-agent/ex240/logs/ex240_semantic_add_same_grs_diff_grs_synth_preset_aig_round2priority.evaluate.log,,
ex277,integer,integer-agent,,,ex277|cofbdd4_can_be_refined_with_shared_local_decoder_cubes|4-bit_high_cofactor_shared_cube_word_mux|shared_local_cubes_and_one_sqrt_word_mux|synth_preset_d12|unsigned_floor_isqrt|whole_sqrt_word,synthesis,,'synth_preset_d12',student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex277/verilog/ex277_ex277_cof4_shared_cube.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex277/aigs/ex277_ex277_cof4_shared_cube_synth_preset_d12.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex277/logs/ex277_ex277_cof4_shared_cube_synth_preset_d12.yosys.log,,cofbdd/decoder refinement for ex277
ex277,integer,integer-agent,,,ex277|shallower_cofactor_decoder_may_trade_local_cube_depth_for_mux_area|3-bit_high_cofactor_shared_cube_word_mux|shared_local_cubes_and_one_sqrt_word_mux|synth_preset_d12|unsigned_floor_isqrt|whole_sqrt_word,synthesis,,'synth_preset_d12',student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex277/verilog/ex277_ex277_cof3_shared_cube.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex277/aigs/ex277_ex277_cof3_shared_cube_synth_preset_d12.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/integer-agent/ex277/logs/ex277_ex277_cof3_shared_cube_synth_preset_d12.yosys.log,,second ex277 decoder family
ex289,unknown,unknown-gf2-agent,hamming_weight_preserving_lossy_routing_normalizer,split2_f10_onehot_group_pairdelta_abc_g_aig,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split2_pairdelta_symcof|pair_shared_duality_wrapper_and_group_bdd_cofactors|yosys_abc_g_aig|exact_complement_reverse_duality|paired_output_delta_wrapper,qor,official_equivalent_but_not_better,official equivalent but ADP does not beat current frontend best,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/verilog/ex289_duality_split2_pairdelta_f10_onehot_group_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/aigs/ex289_duality_split2_pairdelta_f10_onehot_group_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/logs/ex289_duality_split2_pairdelta_f10_onehot_group_abc_g_aig.evaluate.log,Do not repeat unchanged; require a materially different basis or sharing strategy.,"pairdelta_wrapper=1; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=0:1:11:12; inner_bits=2:3:4:5:6:7:8:9:10:13:14; classes=14; group_nodes=190:196:196:180:183:199:199:169:183:169:168:178:178:187; total_group_nodes=2575; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; exact duality-wrapped symcof model over 65536 inputs; hash=60544531d264"
ex289,unknown,unknown-gf2-agent,hamming_weight_preserving_lossy_routing_normalizer,current_split2_group_xor_abc_g_gates,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split2_group_symcof_resynth|group_bdd_node_sharing_with_existing_xor_wrapper|yosys_abc_g_gates|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,qor,official_equivalent_but_not_better,official equivalent but ADP does not beat current frontend best,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/verilog/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/aigs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/logs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.evaluate.log,Do not repeat unchanged; require a materially different basis or sharing strategy.,existing compact split2 group-xor source resynthesized with abc_g_gates; official evaluate.py is equivalence source
ex284,unknown,unknown-gf2-agent,quartic_gf2_event_filter,small_roots_balanced_abc_g_aig,ex284|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,qor,official_equivalent_but_not_better,official equivalent but ADP does not beat current frontend best,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex284/verilog/ex284_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex284/aigs/ex284_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex284/logs/ex284_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,Do not repeat unchanged; require a materially different basis or sharing strategy.,coord_width=21; candidate_products=8093; unique_products=57; roots=30; selected_terms=64; linear_correction_bits=1; terms_by_bit=1:3:2:2:2:2:2:2:2:4:3:4:8:9:9:9; hash_pending=1; exact Python model over 65536 rows; hash=819dcc5fa931
ex286,unknown,unknown-highgap-agent,round2_delta_descriptor_split,outside_in_delta_split_i6,ex286|hamming_weight_preserving_lossy_routing_normalizer|anchored_pair_delta_outside_in_split_table|shared anchored delta key wires with outside-in split|abc_g_aig|exact_invertible_pair_delta_routing_key|nested outer routing descriptor table by full word,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex286/logs/ex286_round2_delta_split_outside_in_delta_split_i6_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
ex287,unknown,unknown-highgap-agent,round2_delta_descriptor_split,outside_in_delta_split_i7,ex287|hamming_weight_preserving_lossy_routing_normalizer|anchored_pair_delta_outside_in_split_table|shared anchored delta key wires with outside-in split|abc_g_aig|exact_invertible_pair_delta_routing_key|nested outer routing descriptor table by full word,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex287/logs/ex287_round2_delta_split_outside_in_delta_split_i7_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
ex299,unknown,unknown-highgap-agent,round2_delta_descriptor_split,outside_in_delta_split_i8,ex299|cyclic 2-bit-symbol ring descriptor|anchored_ring_delta_outside_in_split_table|shared anchored delta key wires with outside-in split|abc_g_aig|exact_invertible_ring_delta_key|nested outer ring descriptor table by full word,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex299/logs/ex299_round2_delta_split_outside_in_delta_split_i8_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
ex285,unknown,unknown-highgap-agent,round2_shared_root_bdd,outside_in_root,ex285|hamming_weight_preserving_lossy_routing_normalizer|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_routing_roots|full word root BDD outside-in routing order,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex285/logs/ex285_round2_outside_in_root_bdd_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
ex286,unknown,unknown-highgap-agent,round2_shared_root_bdd,outside_in_root,ex286|hamming_weight_preserving_lossy_routing_normalizer|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_routing_roots|full word root BDD outside-in routing order,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex286/logs/ex286_round2_outside_in_root_bdd_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
