case,domain,agent_id,method_signature,shared_structure,sharing_scope,estimated_benefit,evidence_path,notes
ex247,float_fp8,float-fp8-agent,ex247|E5M2FN packed low-over-high division|numerator-first bound/smallpat quotient attributes|shared numerator decode with denominator local quotient predicates|synth_preset_aig|exact_e5m2fn_div_low_over_high|nested_numerator_attribute_table,,nested_numerator_attribute_table,OK,,OK
ex246,float_fp8,float-fp8-agent,ex246|E5M2FN packed multiply|product bound/smallpat exponent-mantissa encoding|shared sign xor exponent sum and formulaic low-product predicates|synth_preset_aig|exact_e5m2fn_mul_high_times_low|product_bound_smallpat_formula,,product_bound_smallpat_formula,OK,,OK
ex244,float_fp8,float-fp8-agent,ex244|E4M3FN packed hypot|sig-first max-eff/gap/min-sig delta predicate BDD|shared abs max/min decode with reordered delta predicate support|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_sigfirst_predicates,,max_plus_delta_sigfirst_predicates,OK,,OK
ex240,float_fp8,float-fp8-agent,ex240|E4M3FN packed add|formula-based diff-sign GRS cancellation normalizer|shared gap-clamped decode with separate same and diff arithmetic paths|synth_preset_aig|exact_e4m3fn_add_high_plus_low|full_output_shared_paths,,full_output_shared_paths,NOT_EQUIV,,NOT_EQUIV
ex241,float_fp8,float-fp8-agent,ex241|E4M3FN packed multiply|product exponent formula with per-output exception bits|shared product and exponent-sum decode with bitwise boundary overlay|synth_preset_aig|exact_e4m3fn_mul_high_times_low|bit_exception_overlay,,bit_exception_overlay,OK,,OK
ex242,float_fp8,float-fp8-agent,ex242|E4M3FN packed low-over-high division|delta-major quotient field table|shared special-case shell plus exponent-delta local tables|synth_preset_aig|exact_e4m3fn_div_low_over_high|delta_major_shared_table,,delta_major_shared_table,OK,,OK
ex245,float_fp8,float-fp8-agent,ex245|E5M2FN packed add|small-gap local normalizer with passthrough guards|shared gap max/min significand decode and local active-region normalizer|synth_preset_aig|exact_e5m2fn_add_high_plus_low|gap_limited_normalizer,,gap_limited_normalizer,OK,,OK
ex248,float_fp8,float-fp8-agent,"ex248|E5M2FN packed fmod|delta-major modular-significand remainder with shared norm table|shared exponent delta, divisor significand, and remainder normalizer|synth_preset_aig|exact_e5m2fn_fmod_low_by_high|delta_remainder_shared_table",,delta_remainder_shared_table,OK,,OK
ex249,float_fp8,float-fp8-agent,ex249|E5M2FN packed hypot|gap0/gap1 formula thresholds with explicit saturation|shared abs max/min decode and compact delta threshold predicates|synth_preset_aig|exact_e5m2fn_hypot_abs_high_low|threshold_delta_predicate_bits,,threshold_delta_predicate_bits,OK,,OK
ex253,float_fp8,float-fp8-agent,ex253|unsigned 2-bit lane reduction to E4M3FN|low/high bit popcounts with threshold-field quantizer|shared weighted popcount and hand threshold output fields|synth_preset_aig|exact_u2_sum8_times2_to_e4m3fn|popcount_threshold_fields,,popcount_threshold_fields,OK,,OK
