round,run_id,agent_id,case,domain,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,shared_nodes,residual_key,residual_entries,output_grouping,evidence_path,notes,shard_csv,structure,sharing_strategy,source_change,synthesis_flow,outcome,area,delay,adp
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex204,bf16,ex204_r96_full_shell_mh4_abc_g_gates,full_shell_mantissa_bucket_residual,,16,lower frontend area by sharing BF16 field/special descriptors before residual tables,2020,16,32320,,exp/sign class + mantissa bucket,3097,shared constant special shell plus compact residual output groups,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/diagnostics/ex204_r96_descriptor_screen.csv,full BF16 sign_exp shell with mantissa bucket residuals; mant_hi_bits=4; const_sign_exp_groups=257; variable_sign_exp_groups=255; bucket_groups=4080; dense_entries=32640; residual_entries=3097; top_default=16'h7fc0; decision_graph_keys=1056; decision_graph_conflicts=29075,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex216,bf16,ex216_r96_signed_mag_mh4_abc_g_aig,signed_mag_mantissa_bucket_residual,,16,lower frontend area by sharing BF16 field/special descriptors before residual tables,732,14,10248,,exp/sign class + mantissa bucket,9603,shared sign/special shell plus positive-magnitude residual groups,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/diagnostics/ex216_r96_descriptor_screen.csv,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=4; const_exp_groups=170; variable_exp_groups=86; bucket_groups=1376; dense_entries=11008; residual_entries=9476; sign_shell_overrides=127; top_mag_default=15'h7f80; decision_graph_keys=1568; decision_graph_conflicts=10749,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex218,bf16,ex218_r96_signed_mag_mh4_abc_g_aig,signed_mag_mantissa_bucket_residual,,16,lower frontend area by sharing BF16 field/special descriptors before residual tables,761,13,9893,,exp/sign class + mantissa bucket,9620,shared sign/special shell plus positive-magnitude residual groups,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/diagnostics/ex218_r96_descriptor_screen.csv,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=4; const_exp_groups=169; variable_exp_groups=87; bucket_groups=1392; dense_entries=11136; residual_entries=9493; sign_shell_overrides=127; top_mag_default=15'h0000; decision_graph_keys=1568; decision_graph_conflicts=10636,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex219,bf16,ex219_r96_signed_mag_mh3_abc_g_aig,signed_mag_mantissa_bucket_residual,,16,lower frontend area by sharing BF16 field/special descriptors before residual tables,1063,13,13819,,exp/sign class + mantissa bucket,25196,shared sign/special shell plus positive-magnitude residual groups,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/diagnostics/ex219_r96_descriptor_screen.csv,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=3; const_exp_groups=1; variable_exp_groups=255; bucket_groups=2040; dense_entries=32640; residual_entries=25069; sign_shell_overrides=127; top_mag_default=15'h7f80; decision_graph_keys=784; decision_graph_conflicts=31215,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/shared_structure_report.csv,,,,,,,,
,,sub-bf16-smallgap-flow-r96,ex205,,ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15,,,,,,,,,,,,,official OK 4444/16/71104 ties existing frontend best 71104 and does not reach <1.5 target 70691; treat as nonwinning/replay-risk evidence,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_log10_field_decode,shared field decode and grouped word output,reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,abc_g_aig_d15,replay_risk_tie,4444,16,71104
,,sub-bf16-smallgap-flow-r96,ex205,,ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16,,,,,,,,,,,,,official OK 4444/16/71104 ties existing frontend best 71104 and does not reach <1.5 target 70691; treat as nonwinning/replay-risk evidence,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_log10_field_decode,shared field decode and grouped word output,reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,abc_g_aig_d16,replay_risk_tie,4444,16,71104
,,sub-bf16-smallgap-flow-r96,ex205,,ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig,,,,,,,,,,,,,official OK 4465/16/71440 is worse than existing frontend best 71104 and above <1.5 target 70691,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_log10_field_decode,shared field decode and grouped word output,reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,extra_opt_aig,official_ok_worse,4465,16,71440
,,sub-bf16-smallgap-flow-r96,ex205,,ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig,,,,,,,,,,,,,official OK 4444/16/71104 ties existing frontend best 71104 and does not reach <1.5 target 70691; treat as nonwinning/replay-risk evidence,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_log10_selected_sign_formula,shared exp/mant fields with selected output-bit formula,replace selected bit15 casez tree with decoded sign/exp comparator formula,abc_g_aig,replay_risk_tie,4444,16,71104
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_abc_g_aig,,,,,,,,,,,,,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_reciprocal_square_default_exception,shared default/exception word table plus selected bit13 correction,reuse current default/exception source; vary only Yosys source-to-AIG flow,abc_g_aig,replay_risk_tie,337,11,3707
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_abc_g_aig_d10,,,,,,,,,,,,,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_reciprocal_square_default_exception,shared default/exception word table plus selected bit13 correction,reuse current default/exception source; vary only Yosys source-to-AIG flow,abc_g_aig_d10,replay_risk_tie,337,11,3707
