round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,candidate_id,failure_reason,reuse_policy,next_action,evidence_path,shard_csv,variant,aig_path
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex204,bf16,bf16_log2,special-shell sign-exp descriptor with mantissa bucket residuals,shared constant special shell plus compact residual output groups,ex204|round96_bf16_field_descriptor_second_pass|bf16_log2|full_shell_mantbucket_mh4|shared constant special shell plus compact residual output groups|yosys_frontend_abc_g_gates|abc_read_truth_xf|decision_graph_screen,blocked_not_exact_descriptor,compact expclass/mantissa-bucket decision graph has 29075 conflicting samples across 1056 keys,,,full BF16 sign_exp shell with mantissa bucket residuals; mant_hi_bits=4; const_sign_exp_groups=257; variable_sign_exp_groups=255; bucket_groups=4080; dense_entries=32640; residual_entries=3097; top_default=16'h7fc0,ex204_r96_full_shell_mh4_abc_g_gates_decision_graph_screen,compact expclass/mantissa-bucket decision graph has 29075 conflicting samples across 1056 keys,repeat_only_with_new_descriptor_basis,"Only retry with a materially smaller exact descriptor, shallower decision graph, or new semantic formula.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/diagnostics/ex204_r96_descriptor_screen.csv,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex204,bf16,bf16_log2,special-shell sign-exp descriptor with mantissa bucket residuals,shared constant special shell plus compact residual output groups,ex204|round96_bf16_field_descriptor_second_pass|bf16_log2|full_shell_mantbucket_mh4|shared constant special shell plus compact residual output groups|yosys_frontend_abc_g_gates|abc_read_truth_xf,equivalent_misses_target,official evaluate.py OK ADP 32320 does not meet target <= 22769,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/verilog/ex204_r96_full_shell_mh4_abc_g_gates.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/logs/ex204_r96_full_shell_mh4_abc_g_gates.evaluate.py.log,full BF16 sign_exp shell with mantissa bucket residuals; mant_hi_bits=4; const_sign_exp_groups=257; variable_sign_exp_groups=255; bucket_groups=4080; dense_entries=32640; residual_entries=3097; top_default=16'h7fc0; official evaluate.py OK; synth_runtime_sec=5.011; eval_runtime_sec=0.996,ex204_r96_full_shell_mh4_abc_g_gates,official evaluate.py OK ADP 32320 does not meet target <= 22769,repeat_only_with_new_descriptor_basis,"Only retry with a materially smaller exact descriptor, shallower decision graph, or new semantic formula.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex204/logs/ex204_r96_full_shell_mh4_abc_g_gates.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex216,bf16,bf16_cube,odd sign shell with exponent classes and mantissa bucket residuals,shared sign/special shell plus positive-magnitude residual groups,ex216|round96_bf16_field_descriptor_second_pass|bf16_cube|signed_mag_mantbucket_mh4|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf|decision_graph_screen,blocked_not_exact_descriptor,compact expclass/mantissa-bucket decision graph has 10749 conflicting samples across 1568 keys,,,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=4; const_exp_groups=170; variable_exp_groups=86; bucket_groups=1376; dense_entries=11008; residual_entries=9476; sign_shell_overrides=127; top_mag_default=15'h7f80,ex216_r96_signed_mag_mh4_abc_g_aig_decision_graph_screen,compact expclass/mantissa-bucket decision graph has 10749 conflicting samples across 1568 keys,repeat_only_with_new_descriptor_basis,"Only retry with a materially smaller exact descriptor, shallower decision graph, or new semantic formula.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/diagnostics/ex216_r96_descriptor_screen.csv,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex216,bf16,bf16_cube,odd sign shell with exponent classes and mantissa bucket residuals,shared sign/special shell plus positive-magnitude residual groups,ex216|round96_bf16_field_descriptor_second_pass|bf16_cube|signed_mag_mantbucket_mh4|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf,equivalent_misses_target,official evaluate.py OK ADP 10248 does not meet target <= 5035,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/verilog/ex216_r96_signed_mag_mh4_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/logs/ex216_r96_signed_mag_mh4_abc_g_aig.evaluate.py.log,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=4; const_exp_groups=170; variable_exp_groups=86; bucket_groups=1376; dense_entries=11008; residual_entries=9476; sign_shell_overrides=127; top_mag_default=15'h7f80; official evaluate.py OK; synth_runtime_sec=8.566; eval_runtime_sec=0.522,ex216_r96_signed_mag_mh4_abc_g_aig,official evaluate.py OK ADP 10248 does not meet target <= 5035,repeat_only_with_new_descriptor_basis,"Only retry with a materially smaller exact descriptor, shallower decision graph, or new semantic formula.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex216/logs/ex216_r96_signed_mag_mh4_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex218,bf16,bf16_reciprocal_cube,odd sign shell with reciprocal-cube exponent bucket residuals,shared sign/special shell plus positive-magnitude residual groups,ex218|round96_bf16_field_descriptor_second_pass|bf16_reciprocal_cube|signed_mag_mantbucket_mh4|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf|decision_graph_screen,blocked_not_exact_descriptor,compact expclass/mantissa-bucket decision graph has 10636 conflicting samples across 1568 keys,,,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=4; const_exp_groups=169; variable_exp_groups=87; bucket_groups=1392; dense_entries=11136; residual_entries=9493; sign_shell_overrides=127; top_mag_default=15'h0000,ex218_r96_signed_mag_mh4_abc_g_aig_decision_graph_screen,compact expclass/mantissa-bucket decision graph has 10636 conflicting samples across 1568 keys,repeat_only_with_new_descriptor_basis,"Only retry with a materially smaller exact descriptor, shallower decision graph, or new semantic formula.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/diagnostics/ex218_r96_descriptor_screen.csv,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex218,bf16,bf16_reciprocal_cube,odd sign shell with reciprocal-cube exponent bucket residuals,shared sign/special shell plus positive-magnitude residual groups,ex218|round96_bf16_field_descriptor_second_pass|bf16_reciprocal_cube|signed_mag_mantbucket_mh4|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf,equivalent_misses_target,official evaluate.py OK ADP 9893 does not meet target <= 4832,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/verilog/ex218_r96_signed_mag_mh4_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/logs/ex218_r96_signed_mag_mh4_abc_g_aig.evaluate.py.log,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=4; const_exp_groups=169; variable_exp_groups=87; bucket_groups=1392; dense_entries=11136; residual_entries=9493; sign_shell_overrides=127; top_mag_default=15'h0000; official evaluate.py OK; synth_runtime_sec=8.953; eval_runtime_sec=0.482,ex218_r96_signed_mag_mh4_abc_g_aig,official evaluate.py OK ADP 9893 does not meet target <= 4832,repeat_only_with_new_descriptor_basis,"Only retry with a materially smaller exact descriptor, shallower decision graph, or new semantic formula.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex218/logs/ex218_r96_signed_mag_mh4_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex219,bf16,bf16_reciprocal_cbrt,odd sign shell with exp-mod3 prior and mantissa bucket residuals,shared sign/special shell plus positive-magnitude residual groups,ex219|round96_bf16_field_descriptor_second_pass|bf16_reciprocal_cbrt|signed_mag_mantbucket_mh3|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf|decision_graph_screen,blocked_not_exact_descriptor,compact expclass/mantissa-bucket decision graph has 31215 conflicting samples across 784 keys,,,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=3; const_exp_groups=1; variable_exp_groups=255; bucket_groups=2040; dense_entries=32640; residual_entries=25069; sign_shell_overrides=127; top_mag_default=15'h7f80,ex219_r96_signed_mag_mh3_abc_g_aig_decision_graph_screen,compact expclass/mantissa-bucket decision graph has 31215 conflicting samples across 784 keys,repeat_only_with_new_descriptor_basis,"Only retry with a materially smaller exact descriptor, shallower decision graph, or new semantic formula.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/diagnostics/ex219_r96_descriptor_screen.csv,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-bf16-field2-r96,ex219,bf16,bf16_reciprocal_cbrt,odd sign shell with exp-mod3 prior and mantissa bucket residuals,shared sign/special shell plus positive-magnitude residual groups,ex219|round96_bf16_field_descriptor_second_pass|bf16_reciprocal_cbrt|signed_mag_mantbucket_mh3|shared sign/special shell plus positive-magnitude residual groups|yosys_frontend_abc_g_aig|abc_read_truth_xf,equivalent_misses_target,official evaluate.py OK ADP 13819 does not meet target <= 8459,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/verilog/ex219_r96_signed_mag_mh3_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/logs/ex219_r96_signed_mag_mh3_abc_g_aig.evaluate.py.log,signed-magnitude BF16 shell with positive-domain mantissa bucket residuals; mant_hi_bits=3; const_exp_groups=1; variable_exp_groups=255; bucket_groups=2040; dense_entries=32640; residual_entries=25069; sign_shell_overrides=127; top_mag_default=15'h7f80; official evaluate.py OK; synth_runtime_sec=8.038; eval_runtime_sec=2.002,ex219_r96_signed_mag_mh3_abc_g_aig,official evaluate.py OK ADP 13819 does not meet target <= 8459,repeat_only_with_new_descriptor_basis,"Only retry with a materially smaller exact descriptor, shallower decision graph, or new semantic formula.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-field2-r96/ex219/logs/ex219_r96_signed_mag_mh3_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-field2-r96/failed_hypotheses.csv,,
,,sub-bf16-smallgap-flow-r96,ex205,,bf16_log10_field_decode,,,,REPLAY_RISK_TIE,official OK 4444/16/71104 ties existing frontend best 71104 and does not reach <1.5 target 70691; treat as nonwinning/replay-risk evidence,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/verilog/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/logs/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,current field-decode source with abc_g_aig_d15,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/official_eval/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d15/ex205.aig
,,sub-bf16-smallgap-flow-r96,ex205,,bf16_log10_field_decode,,,,REPLAY_RISK_TIE,official OK 4444/16/71104 ties existing frontend best 71104 and does not reach <1.5 target 70691; treat as nonwinning/replay-risk evidence,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/verilog/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/logs/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,current field-decode source with abc_g_aig_d16,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/official_eval/ex205_r96_bf16_log10_sep_fields_current_abc_g_aig_d16/ex205.aig
