case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex220,ex220_fp16_exp_exp_mant_pair_case,fp16_exp,exp_mant_pair_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_exp_mant_pair_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_exp_mant_pair_case.aig,1,1,1,10754,22,236588,180404,1.311434,1,0,structural_exact,17423,9.031,structural_exact FP16 curated frontend candidate,1,236588,0,
ex220,ex220_fp16_exp_positive_default_exp_mant_case,fp16_exp,positive_default_exp_mant_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_positive_default_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_positive_default_exp_mant_case.aig,1,1,1,10794,22,237468,180404,1.316312,1,0,structural_exact,positive_entries=31982; relation=zero; relation_matches=13094; negative_exceptions=19674,12.626,structural_exact FP16 curated frontend candidate,1,237468,0,
ex220,ex220_fp16_exp_semantic_exp_delta_fields,fp16_exp,semantic_exp_delta_fields,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_semantic_exp_delta_fields.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_semantic_exp_delta_fields.aig,1,1,1,10900,23,250700,180404,1.389659,1,0,semantic_hybrid,base=lookup_by_input_exp; positive_entries=32768; normal_entries=18828; special_entries=13940; relation=zero; negative_exceptions=19674,18.170,semantic_hybrid FP16 curated frontend candidate,1,250700,0,
ex220,ex220_fp16_exp_sign_exp_mant_case,fp16_exp,sign_exp_mant_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_sign_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_sign_exp_mant_case.aig,1,1,1,10798,22,237556,180404,1.316800,1,0,structural_exact,32800,10.532,structural_exact FP16 curated frontend candidate,1,237556,0,
ex221,ex221_fp16_exp2_exp_mant_pair_case,fp16_exp2,exp_mant_pair_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/verilog/ex221_fp16_exp2_exp_mant_pair_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/aigs/ex221_fp16_exp2_exp_mant_pair_case.aig,1,1,1,6974,22,153428,105655,1.452160,1,0,structural_exact,17423,8.203,structural_exact FP16 curated frontend candidate,1,153428,0,
ex221,ex221_fp16_exp2_positive_default_exp_mant_case,fp16_exp2,positive_default_exp_mant_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/verilog/ex221_fp16_exp2_positive_default_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/aigs/ex221_fp16_exp2_positive_default_exp_mant_case.aig,1,1,1,6977,22,153494,105655,1.452785,1,0,structural_exact,positive_entries=31509; relation=zero; relation_matches=12544; negative_exceptions=20224,9.801,structural_exact FP16 curated frontend candidate,1,153494,0,
ex221,ex221_fp16_exp2_semantic_exp_delta_fields,fp16_exp2,semantic_exp_delta_fields,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/verilog/ex221_fp16_exp2_semantic_exp_delta_fields.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/aigs/ex221_fp16_exp2_semantic_exp_delta_fields.aig,1,1,1,7006,23,161138,105655,1.525134,0,0,semantic_hybrid,base=lookup_by_input_exp; positive_entries=32768; normal_entries=19456; special_entries=13312; relation=zero; negative_exceptions=20224,16.942,semantic_hybrid FP16 curated frontend candidate,1,161138,0,
ex221,ex221_fp16_exp2_sign_exp_mant_case,fp16_exp2,sign_exp_mant_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/verilog/ex221_fp16_exp2_sign_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex221/aigs/ex221_fp16_exp2_sign_exp_mant_case.aig,1,1,1,7032,22,154704,105655,1.464237,1,0,structural_exact,31777,10.934,structural_exact FP16 curated frontend candidate,1,154704,0,
ex222,ex222_fp16_exp10_exp_mant_pair_case,fp16_exp10,exp_mant_pair_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/verilog/ex222_fp16_exp10_exp_mant_pair_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/aigs/ex222_fp16_exp10_exp_mant_pair_case.aig,1,1,1,10645,22,234190,173621,1.348858,1,0,structural_exact,18446,10.223,structural_exact FP16 curated frontend candidate,1,234190,0,
ex222,ex222_fp16_exp10_positive_default_exp_mant_case,fp16_exp10,positive_default_exp_mant_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/verilog/ex222_fp16_exp10_positive_default_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/aigs/ex222_fp16_exp10_positive_default_exp_mant_case.aig,1,1,1,10615,22,233530,173621,1.345056,1,0,structural_exact,positive_entries=32840; relation=zero; relation_matches=14282; negative_exceptions=18486,11.883,structural_exact FP16 curated frontend candidate,1,233530,0,
ex222,ex222_fp16_exp10_semantic_exp_delta_fields,fp16_exp10,semantic_exp_delta_fields,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/verilog/ex222_fp16_exp10_semantic_exp_delta_fields.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/aigs/ex222_fp16_exp10_semantic_exp_delta_fields.aig,1,1,1,10690,24,256560,173621,1.477701,1,0,semantic_hybrid,base=lookup_by_input_exp; positive_entries=32768; normal_entries=17617; special_entries=15151; relation=zero; negative_exceptions=18486,19.154,semantic_hybrid FP16 curated frontend candidate,1,256560,0,
ex222,ex222_fp16_exp10_sign_exp_mant_case,fp16_exp10,sign_exp_mant_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/verilog/ex222_fp16_exp10_sign_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/aigs/ex222_fp16_exp10_sign_exp_mant_case.aig,1,1,1,10695,23,245985,173621,1.416793,1,0,structural_exact,33823,12.230,structural_exact FP16 curated frontend candidate,1,245985,0,
ex223,ex223_fp16_log_exp_mant_pair_case,fp16_log,exp_mant_pair_case,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex223/verilog/ex223_fp16_log_exp_mant_pair_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex223/aigs/ex223_fp16_log_exp_mant_pair_case.aig,1,1,1,11174,24,268176,120549,2.224622,0,0,structural_exact,31745,14.276,structural_exact FP16 curated frontend candidate,1,268176,0,
