case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex201,ex201_bf16_exp2_structural_exp_mant_pair_no_yosys_abc,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,synth_no_yosys_abc,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex201/verilog/ex201_bf16_exp2_structural_exp_mant_pair_case.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex201/aigs/ex201_bf16_exp2_structural_exp_mant_pair_case_no_yosys_abc.aig,1,1,2627,21,55167,"same Verilog as current best, synthesized without Yosys abc -g AND",1,55167,0,
ex202,ex202_bf16_exp10_semantic_sign_exp_field_defaults_no_yosys_abc,bf16_exp10,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,synth_no_yosys_abc,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex202/verilog/ex202_bf16_exp10_semantic_sign_exp_field_defaults.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex202/aigs/ex202_bf16_exp10_semantic_sign_exp_field_defaults_no_yosys_abc.aig,1,1,6293,20,125860,"same Verilog as current best, synthesized without Yosys abc -g AND",1,125860,0,
ex203,ex203_bf16_log_structural_sign_exp_mant_case_no_yosys_abc,bf16_log,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,synth_no_yosys_abc,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex203/verilog/ex203_bf16_log_structural_sign_exp_mant_case.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex203/aigs/ex203_bf16_log_structural_sign_exp_mant_case_no_yosys_abc.aig,1,1,6803,23,156469,"same Verilog as current best, synthesized without Yosys abc -g AND",1,156469,0,
ex204,ex204_bf16_log2_structural_exp_mant_delta_pair_no_yosys_abc,bf16_log2,DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,synth_no_yosys_abc,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex204/verilog/ex204_bf16_log2_structural_exp_mant_delta_pair.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex204/aigs/ex204_bf16_log2_structural_exp_mant_delta_pair_no_yosys_abc.aig,1,1,2873,24,68952,"same Verilog as current best, synthesized without Yosys abc -g AND",1,68952,0,
ex201,ex201_bf16_exp2_structural_exp_mant_pair_parallel,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,parallel_full_case_hint,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex201/verilog/ex201_bf16_exp2_structural_exp_mant_pair_parallel.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex201/aigs/ex201_bf16_exp2_structural_exp_mant_pair_parallel.aig,1,1,1599,15,23985,parallel_case/full_case hints added to current best structural source,1,23985,0,
ex202,ex202_bf16_exp10_semantic_sign_exp_field_defaults_parallel,bf16_exp10,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,parallel_full_case_hint,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex202/verilog/ex202_bf16_exp10_semantic_sign_exp_field_defaults_parallel.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex202/aigs/ex202_bf16_exp10_semantic_sign_exp_field_defaults_parallel.aig,1,1,3702,16,59232,parallel_case/full_case hints added to current best semantic source,1,59232,0,
ex203,ex203_bf16_log_structural_sign_exp_mant_parallel,bf16_log,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,parallel_full_case_hint,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex203/verilog/ex203_bf16_log_structural_sign_exp_mant_parallel.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex203/aigs/ex203_bf16_log_structural_sign_exp_mant_parallel.aig,1,1,4546,18,81828,parallel_case/full_case hints added to current best structural source,1,81828,0,
ex204,ex204_bf16_log2_structural_exp_mant_delta_pair_parallel,bf16_log2,DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,parallel_full_case_hint,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex204/verilog/ex204_bf16_log2_structural_exp_mant_delta_pair_parallel.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex204/aigs/ex204_bf16_log2_structural_exp_mant_delta_pair_parallel.aig,1,1,1679,18,30222,parallel_case/full_case hints added to current best structural source,1,30222,0,
ex201,ex201_bf16_exp2_semantic_int_frac,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,semantic_int_frac,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex201/verilog/ex201_bf16_exp2_semantic_int_frac.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex201/aigs/ex201_bf16_exp2_semantic_int_frac.aig,1,1,1596,16,25536,manual semantic 2^x split into integer part and fractional LUTs,1,25536,0,
ex203,ex203_bf16_log_manual_q22_semantic,bf16_log,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,manual_q22_fixed_semantic,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex203/verilog/ex203_bf16_log_manual_q22_semantic.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex203/aigs/ex203_bf16_log_manual_q22_semantic.aig,1,1,3846,115,442290,manual semantic ln(x)=log2(x)*ln2 Q22 fixed-point,1,442290,0,
ex204,ex204_bf16_log2_manual_field_formula,bf16_log2,DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,manual_field_formula,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex204/verilog/ex204_bf16_log2_manual_field_formula.v,student/work/ex201_ex204_frontend_aggressive_semantic_20260605_1139/ex204/aigs/ex204_bf16_log2_manual_field_formula.aig,1,1,1254,48,60192,manual field-level log2 formula with p-specific correction LUTs,1,60192,0,
