round,run_id,agent_id,case,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,estimated_shared_terms,notes,shard_csv,descriptor_keys,output_grouping,observation
,frontend_source_parallel_round76_20260613_1706,sub-fp16-r76,ex225,ex225_r76_segbase_delta_lo5_segbase_delta_lo5_abc_g_aig,exact log/log10 exponent-region affine boundary delta,sign-exp plus mant_hi5 base word with exact mant_lo5 modular delta,shared special shell and shared per-region base feeding one 16-bit delta adder,exponent-region base table; mantissa boundary delta residual keyed by semantic sign-exp/mant_hi class,see notes,special_const_groups=33; special_full_groups=1; special_items=1057; base_items=960; delta_items=30720; max_signed_delta_abs=8866,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp16-r76/shared_structure_report.csv,,,
,frontend_source_parallel_round76_20260613_1706,sub-fp16-r76,ex225,ex225_r76_ratio_xor_lo6_ratio_xor_lo6_abc_g_aig,positive-normal mantissa quotient/ratio descriptor,mant_hi4 leading-ratio class base word plus exact mant_lo6 XOR residual,shared leading-region predicate and one semantic-class residual family,ratio-class base table; low6 XOR residual keyed by sign-exp and mantissa ratio class,see notes,special_const_groups=33; special_full_groups=1; special_items=1057; ratio_classes=16; tail_width=6; base_items=480; residual_items=30720; const_residual_groups=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp16-r76/shared_structure_report.csv,,,
,frontend_source_parallel_round76_20260613_1706,sub-fp16-r76,ex223,ex223_r76_segbase_delta_lo5_segbase_delta_lo5_abc_g_aig,exact log/log10 exponent-region affine boundary delta,sign-exp plus mant_hi5 base word with exact mant_lo5 modular delta,shared special shell and shared per-region base feeding one 16-bit delta adder,exponent-region base table; mantissa boundary delta residual keyed by semantic sign-exp/mant_hi class,see notes,special_const_groups=33; special_full_groups=1; special_items=1057; base_items=960; delta_items=30720; max_signed_delta_abs=10147,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp16-r76/shared_structure_report.csv,,,
,frontend_source_parallel_round76_20260613_1706,sub-fp16-r76,ex223,ex223_r76_ratio_xor_lo6_ratio_xor_lo6_abc_g_aig,positive-normal mantissa quotient/ratio descriptor,mant_hi4 leading-ratio class base word plus exact mant_lo6 XOR residual,shared leading-region predicate and one semantic-class residual family,ratio-class base table; low6 XOR residual keyed by sign-exp and mantissa ratio class,see notes,special_const_groups=33; special_full_groups=1; special_items=1057; ratio_classes=16; tail_width=6; base_items=480; residual_items=30720; const_residual_groups=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp16-r76/shared_structure_report.csv,,,
,,sub-fp8-worst-r76,ex247,ex247_r76_field_pair_div_case,,,,shared sign xor numerator/denominator magnitude descriptor,,one vector case over sign-xor numerator magnitude and denominator magnitude,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp8-worst-r76/shared_structure_report.csv,32768,full_word,
,,sub-fp8-worst-r76,ex247,ex247_r76_exp_delta_sigratio_desc,,,,shared special shell sign xor exponent delta numerator/denominator sig descriptor,,one vector case over special flags exponent delta and sig ratio,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp8-worst-r76/shared_structure_report.csv,4446,full_word,
,,sub-fp8-worst-r76,ex246,ex246_r76_field_pair_product_case,,,,shared sign xor and magnitude-pair descriptor,,one vector case over sign-xor and two 7-bit magnitudes,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp8-worst-r76/shared_structure_report.csv,32768,full_word,
,,sub-fp8-worst-r76,ex246,ex246_r76_exp_sum_sigprod_desc,,,,shared special shell sign xor exponent sum and product descriptor,,one vector case over special flags exponent-sum and sig-product,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp8-worst-r76/shared_structure_report.csv,2530,full_word,
,,sub-fp8-worst-r76,ex244,ex244_r76_field_pair_magcase,,,,sign-free sorted magnitude descriptor shared by all output bits,,one vector case over sorted 7-bit magnitude pair,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp8-worst-r76/shared_structure_report.csv,8256,full_word,
,,sub-fp8-worst-r76,ex244,ex244_r76_maxeff_gap_sig_desc,,,,shared max/min decode with max_eff saturation context,,one vector case over max_eff/gap/sig descriptor,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-fp8-worst-r76/shared_structure_report.csv,8256,full_word,
