case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default_raw,1,380,23,8740,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/verilog/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/aigs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default_raw.abc.log; synth_sec=0.498; abc_sec=0.000; eval_sec=0.442
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_extra_share_raw,1,375,23,8625,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/verilog/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/aigs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_extra_share_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_extra_share.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_extra_share_raw.abc.log; synth_sec=0.512; abc_sec=0.000; eval_sec=0.447
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_abc_g_aig_raw,1,377,21,7917,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/verilog/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/aigs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_abc_g_aig_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_abc_g_aig.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_abc_g_aig_raw.abc.log; synth_sec=0.523; abc_sec=0.000; eval_sec=0.500
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_raw,1,370,21,7770,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/verilog/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/aigs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10/logs/ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_raw.abc.log; synth_sec=0.753; abc_sec=0.000; eval_sec=0.469
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_default_raw,1,355,23,8165,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/verilog/ex246_semantic_mul_product_possible_class.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/aigs/ex246_ex246_semantic_mul_product_possible_class_default_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_ex246_semantic_mul_product_possible_class_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_semantic_mul_product_possible_class_default.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_ex246_semantic_mul_product_possible_class_default_raw.abc.log; synth_sec=0.422; abc_sec=0.000; eval_sec=0.445
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_extra_share_raw,1,350,24,8400,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/verilog/ex246_semantic_mul_product_possible_class.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/aigs/ex246_ex246_semantic_mul_product_possible_class_extra_share_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_ex246_semantic_mul_product_possible_class_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_semantic_mul_product_possible_class_extra_share.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_ex246_semantic_mul_product_possible_class_extra_share_raw.abc.log; synth_sec=0.434; abc_sec=0.000; eval_sec=0.449
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_abc_g_aig_raw,1,353,23,8119,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/verilog/ex246_semantic_mul_product_possible_class.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/aigs/ex246_ex246_semantic_mul_product_possible_class_abc_g_aig_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_ex246_semantic_mul_product_possible_class_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_semantic_mul_product_possible_class_abc_g_aig.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_ex246_semantic_mul_product_possible_class_abc_g_aig_raw.abc.log; synth_sec=0.434; abc_sec=0.000; eval_sec=0.460
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_synth_preset_raw,1,347,23,7981,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/verilog/ex246_semantic_mul_product_possible_class.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/aigs/ex246_ex246_semantic_mul_product_possible_class_synth_preset_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_ex246_semantic_mul_product_possible_class_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_semantic_mul_product_possible_class_synth_preset.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_possible_class/logs/ex246_ex246_semantic_mul_product_possible_class_synth_preset_raw.abc.log; synth_sec=0.613; abc_sec=0.000; eval_sec=0.444
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_default_raw,1,430,33,14190,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/aigs/ex246_ex246_semantic_mul_product_attr_shared_default_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_ex246_semantic_mul_product_attr_shared_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_semantic_mul_product_attr_shared_default.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_ex246_semantic_mul_product_attr_shared_default_raw.abc.log; synth_sec=0.291; abc_sec=0.000; eval_sec=0.445
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_extra_share_raw,1,427,34,14518,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/aigs/ex246_ex246_semantic_mul_product_attr_shared_extra_share_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_ex246_semantic_mul_product_attr_shared_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_semantic_mul_product_attr_shared_extra_share.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_ex246_semantic_mul_product_attr_shared_extra_share_raw.abc.log; synth_sec=0.301; abc_sec=0.000; eval_sec=0.461
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_abc_g_aig_raw,1,422,31,13082,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/aigs/ex246_ex246_semantic_mul_product_attr_shared_abc_g_aig_raw.aig,student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_ex246_semantic_mul_product_attr_shared_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_semantic_mul_product_attr_shared_abc_g_aig.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_dc_smoke_round51_20260613_0924/local-fp8-dc-r51/ex246/ex246_semantic_mul_product_attr_shared/logs/ex246_ex246_semantic_mul_product_attr_shared_abc_g_aig_raw.abc.log; synth_sec=0.297; abc_sec=0.000; eval_sec=0.453
