case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,notes,source_run
ex200,ex200_bf16_exp_semantic_exp_default_one_casez_saturation,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_default_one_casez_saturation,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_saturation.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_saturation.aig,1,1,3717,17,63189,40052,1.577674,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez saturation items=3863; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_default_one_parallel_casez_saturation,student/seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,1,1,3717,17,63189,40052,1.577674,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one parallel casez saturation items=3863; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_default_one_overrides,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_default_one_overrides,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_overrides.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_overrides.aig,1,1,3725,17,63325,40052,1.581070,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one override cases=4085; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_default_one_per_exp_mode,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_default_one_per_exp_mode,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_per_exp_mode.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_per_exp_mode.aig,1,1,3726,17,63342,40052,1.581494,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one per-exp mode exceptions items=3210; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_default_one_casez_active_first,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_default_one_casez_active_first,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.aig,1,1,3728,17,63376,40052,1.582343,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez active-first items=3863; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_default_one_casez_all_special,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_default_one_casez_all_special,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_all_special.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_all_special.aig,1,1,3746,17,63682,40052,1.589983,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez all-special items=3863; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_active_mant_cases,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_active_mant_cases,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_active_mant_cases.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_active_mant_cases.aig,1,1,3695,18,66510,40052,1.660591,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic active-exponent full mantissa cases=3840; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_default_one_sign_split_casez,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_default_one_sign_split_casez,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_sign_split_casez.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_sign_split_casez.aig,1,1,3706,18,66708,40052,1.665535,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one sign-split casez items=3863; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_default_one_bool_saturation,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_default_one_bool_saturation,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_bool_saturation.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_bool_saturation.aig,1,1,3725,18,67050,40052,1.674074,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one boolean saturation items=3841; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_predecoded_active_luts,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_predecoded_active_luts,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_predecoded_active_luts.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_predecoded_active_luts.aig,1,1,3728,18,67104,40052,1.675422,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic predecoded active LUTs items=3893; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
ex200,ex200_bf16_exp_semantic_exp_hybrid_low_runs20,bf16_exp_daz_rne_ftz,bf16_exp_daz_rne_ftz,semantic_exp_hybrid_low_runs20,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_hybrid_low_runs20.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_hybrid_low_runs20.aig,1,1,3809,18,68562,40052,1.711825,0,0,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic hybrid low-run compression max_runs=20; compressed_exps=11; full_exps=19; items=2724; exact over 65536 inputs,ex200_frontend_bf16_semantic_20260605_0748
