case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex240,ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset_aig,fp8_e4m3fn_add,semantic_add_same_grs_diff_param8_parallel_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset_aig.aig,1,1,590,51,30090,13299,2.262576,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex240_frontend_fp8_diff_grs_20260608_1401/results/candidates.csv,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_parallel.v,student/work/ex240_frontend_fp8_diff_grs_20260608_1401/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset_aig.aig,
ex240,ex240_semantic_add_same_grs_diff_param8_abc_g_aig,fp8_e4m3fn_add,semantic_add_same_grs_diff_param8_abc_g_aig,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_abc_g_aig.aig,1,1,626,50,31300,13299,2.353560,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex240_frontend_fp8_diff_grs_roundfix_20260608_1401/results/candidates.csv,student/work/ex240_frontend_fp8_diff_grs_roundfix_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex240_frontend_fp8_diff_grs_roundfix_20260608_1401/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_abc_g_aig.aig,
ex240,ex240_semantic_add_same_grs_diff_param8_parallel_abc_g_aig,fp8_e4m3fn_add,semantic_add_same_grs_diff_param8_parallel_abc_g_aig,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_parallel_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_parallel_abc_g_aig.aig,1,1,626,50,31300,13299,2.353560,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex240_frontend_fp8_diff_grs_roundfix_20260608_1401/results/candidates.csv,student/work/ex240_frontend_fp8_diff_grs_roundfix_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_parallel.v,student/work/ex240_frontend_fp8_diff_grs_roundfix_20260608_1401/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_parallel_abc_g_aig.aig,
ex240,ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset,fp8_e4m3fn_add,semantic_add_same_grs_diff_param8_parallel_synth_preset,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset.aig,1,1,617,51,31467,13299,2.366118,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex240_frontend_fp8_grs_fix_20260608_1401/results/candidates.csv,student/work/ex240_frontend_fp8_grs_fix_20260608_1401/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_parallel.v,student/work/ex240_frontend_fp8_grs_fix_20260608_1401/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset.aig,
ex241,ex241_semantic_mul_product_param_exception_synth_preset,fp8_e4m3fn_mul,semantic_mul_product_param_exception_synth_preset,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex241/verilog/ex241_semantic_mul_product_param_exception_synth_preset.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex241/aigs/ex241_semantic_mul_product_param_exception_synth_preset.aig,1,1,534,40,21360,7224,2.956811,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex240_ex243_frontend_fp8_arith_struct_20260608_1330/results/candidates.csv,student/work/ex240_ex243_frontend_fp8_arith_struct_20260608_1330/ex241/verilog/ex241_semantic_mul_product_param_exception.v,student/work/ex240_ex243_frontend_fp8_arith_struct_20260608_1330/ex241/aigs/ex241_semantic_mul_product_param_exception_synth_preset.aig,
ex241,ex241_semantic_mul_product_param_exception_synth_preset_aig,fp8_e4m3fn_mul,semantic_mul_product_param_exception_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex241/verilog/ex241_semantic_mul_product_param_exception_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex241/aigs/ex241_semantic_mul_product_param_exception_synth_preset_aig.aig,1,1,534,40,21360,7224,2.956811,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex241_ex242_ex243_frontend_fp8_nested_tables_20260608_1330/results/candidates.csv,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_20260608_1330/ex241/verilog/ex241_semantic_mul_product_param_exception.v,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_20260608_1330/ex241/aigs/ex241_semantic_mul_product_param_exception_synth_preset_aig.aig,
ex241,ex241_semantic_mul_product_param_exception_abc_g_aig,fp8_e4m3fn_mul,semantic_mul_product_param_exception_abc_g_aig,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex241/verilog/ex241_semantic_mul_product_param_exception_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex241/aigs/ex241_semantic_mul_product_param_exception_abc_g_aig.aig,1,1,577,40,23080,7224,3.194906,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/results/candidates.csv,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/verilog/ex241_semantic_mul_product_param_exception.v,student/work/ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330/ex241/aigs/ex241_semantic_mul_product_param_exception_abc_g_aig.aig,
ex241,ex241_semantic_mul_product_param_exception_default,fp8_e4m3fn_mul,semantic_mul_product_param_exception_default,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex241/verilog/ex241_semantic_mul_product_param_exception_default.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex241/aigs/ex241_semantic_mul_product_param_exception_default.aig,1,1,582,40,23280,7224,3.222591,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/results/candidates.csv,student/work/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/ex241/verilog/ex241_semantic_mul_product_param_exception.v,student/work/ex241_ex243_ex244_frontend_fp8_arith_struct2_20260608_1330/ex241/aigs/ex241_semantic_mul_product_param_exception_default.aig,
ex242,ex242_semantic_div_formula_exception_compact_synth_preset_aig,fp8_e4m3fn_div_low_over_high,semantic_div_formula_exception_compact_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex242/verilog/ex242_semantic_div_formula_exception_compact_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex242/aigs/ex242_semantic_div_formula_exception_compact_synth_preset_aig.aig,1,1,1028,25,25700,11900,2.159664,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex242_frontend_fp8_div_formula_compact_20260608_1253/results/candidates.csv,student/work/ex242_frontend_fp8_div_formula_compact_20260608_1253/ex242/verilog/ex242_semantic_div_formula_exception_compact.v,student/work/ex242_frontend_fp8_div_formula_compact_20260608_1253/ex242/aigs/ex242_semantic_div_formula_exception_compact_synth_preset_aig.aig,division formula/exception with compact default param table
ex242,ex242_semantic_div_formula_exception_synth_preset_aig,fp8_e4m3fn_div_low_over_high,semantic_div_formula_exception_synth_preset_aig,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex242/verilog/ex242_semantic_div_formula_exception_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_backend_candidates_20260608_2327/ex242/aigs/ex242_semantic_div_formula_exception_synth_preset_aig.aig,1,1,1028,25,25700,11900,2.159664,0,0,semantic_exact,,verified_low_adp_distinct_verilog_alternative,run,student/runs/float_fp8/ex242_frontend_fp8_formula_exception_20260608_1130/results/candidates.csv,student/work/ex242_frontend_fp8_formula_exception_20260608_1130/ex242/verilog/ex242_semantic_div_formula_exception.v,student/work/ex242_frontend_fp8_formula_exception_20260608_1130/ex242/aigs/ex242_semantic_div_formula_exception_synth_preset_aig.aig,semantic exponent-delta formula plus boundary exception table
