case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex204,ex204_bf16_log2_delta_pair_bit0_override,bf16_log2,delta_pair_bit0_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit0_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit0_override.aig,1,1,1,1784,19,33896,8.990,exp_mant_delta_pair base with pair bit 0 overridden
ex204,ex204_bf16_log2_delta_pair_bit1_override,bf16_log2,delta_pair_bit1_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit1_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit1_override.aig,1,1,1,1679,18,30222,8.379,exp_mant_delta_pair base with pair bit 1 overridden
ex204,ex204_bf16_log2_delta_pair_bit2_override,bf16_log2,delta_pair_bit2_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit2_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit2_override.aig,1,1,1,1657,18,29826,6.564,exp_mant_delta_pair base with pair bit 2 overridden
ex204,ex204_bf16_log2_delta_pair_bit3_override,bf16_log2,delta_pair_bit3_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit3_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit3_override.aig,1,1,1,1723,18,31014,6.283,exp_mant_delta_pair base with pair bit 3 overridden
ex204,ex204_bf16_log2_delta_pair_bit4_override,bf16_log2,delta_pair_bit4_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit4_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit4_override.aig,1,1,1,1740,19,33060,6.570,exp_mant_delta_pair base with pair bit 4 overridden
ex204,ex204_bf16_log2_delta_pair_bit5_override,bf16_log2,delta_pair_bit5_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit5_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit5_override.aig,1,1,1,1755,19,33345,6.946,exp_mant_delta_pair base with pair bit 5 overridden
ex204,ex204_bf16_log2_delta_pair_bit6_override,bf16_log2,delta_pair_bit6_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit6_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit6_override.aig,1,1,1,1758,19,33402,6.814,exp_mant_delta_pair base with pair bit 6 overridden
ex204,ex204_bf16_log2_delta_pair_bit7_override,bf16_log2,delta_pair_bit7_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit7_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit7_override.aig,1,1,1,1751,19,33269,6.355,exp_mant_delta_pair base with pair bit 7 overridden
ex204,ex204_bf16_log2_delta_pair_bit8_override,bf16_log2,delta_pair_bit8_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit8_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit8_override.aig,1,1,1,1709,19,32471,6.479,exp_mant_delta_pair base with pair bit 8 overridden
ex204,ex204_bf16_log2_delta_pair_bit9_override,bf16_log2,delta_pair_bit9_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bit9_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bit9_override.aig,1,1,1,1757,19,33383,5.840,exp_mant_delta_pair base with pair bit 9 overridden
