case,domain,agent_id,candidate_id,simulator,result,log_path,notes
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_dc_low_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_dc_low_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_dc_low_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_bit_exception_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_bit_exception_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_bit_exception_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_bound_direct_nested_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_formula_bit_exception_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_formula_bit_exception_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_formula_bit_exception_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_packed_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_packed_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_packed_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_maxeff_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_maxeff_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_maxeff_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap4_norm_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap4_norm_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap4_norm_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap_class_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap_class_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap_class_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex240,float_fp8,fp8-semantic-r27,ex240_r27_currentbest_delaytarget_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex240,float_fp8,fp8-semantic-r27,ex240_r27_currentbest_delaytarget_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex240,float_fp8,fp8-semantic-r27,ex240_r27_currentbest_delaytarget_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_currentbest_delaytarget_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_currentbest_delaytarget_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex241,float_fp8,fp8-semantic-r27,ex241_r27_currentbest_delaytarget_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_currentbest_delaytarget_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_currentbest_delaytarget_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex242,float_fp8,fp8-semantic-r27,ex242_r27_currentbest_delaytarget_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_currentbest_delaytarget_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_currentbest_delaytarget_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex244,float_fp8,fp8-semantic-r27,ex244_r27_currentbest_delaytarget_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_currentbest_delaytarget_synth_preset_aig_D16,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_currentbest_delaytarget_synth_preset_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex245,float_fp8,fp8-semantic-r27,ex245_r27_currentbest_delaytarget_abc_g_aig_D20,,,,No iverilog simulation; official evaluate.py was run for final authority.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_grouped_seed12_abc_g_aig,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_grouped_seed12_synth_preset_aig,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_grouped_seed12_abc_g_and,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_minlogic_selected_bits_abc_g_aig,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_minlogic_selected_bits_synth_preset_aig,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_minlogic_selected_bits_abc_g_and,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_threshold_log_boundary_abc_g_aig,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_threshold_log_boundary_synth_preset_aig,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_threshold_log_boundary_abc_g_and,,,,Official evaluate.py was run for final equivalence/QoR.
ex246,float_fp8,fp8-worst-r27,ex246_r27_mul_logcode_subnormal_abc_g_aig,,,,Official evaluate.py was run for final equivalence/QoR.
