case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16,E4M3FN packed add with same-sign delta and direct diff-normalization table,same-sign delta table plus direct diff residual table keyed by min_eff/diff_sig,"NaN/sign shell, max/min compare, shared effective exponent/significand, gap clamp, same/diff mux",ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16.aig,1,,1078,49,52822,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.949; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16.yosys.log
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20,E4M3FN packed add with same-sign delta and direct diff-normalization table,same-sign delta table plus direct diff residual table keyed by min_eff/diff_sig,"NaN/sign shell, max/min compare, shared effective exponent/significand, gap clamp, same/diff mux",ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20.aig,1,,1078,49,52822,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=2.252; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20.yosys.log
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20,E4M3FN packed add with same-sign delta and direct diff-normalization table,same-sign delta table plus direct diff residual table keyed by min_eff/diff_sig,"NaN/sign shell, max/min compare, shared effective exponent/significand, gap clamp, same/diff mux",ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20.aig,1,,1131,50,56550,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=2.012; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20.yosys.log
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16,E4M3FN packed add with formulaic GRS for same and diff paths,formulaic same-sign and diff-sign GRS normalizers,"shared field decode, gap predicates, rounding bits, signed-zero shell",ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16.aig,0,,,,,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D16; runtime_sec=1.634; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16.yosys.log
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20,E4M3FN packed add with formulaic GRS for same and diff paths,formulaic same-sign and diff-sign GRS normalizers,"shared field decode, gap predicates, rounding bits, signed-zero shell",ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20.aig,0,,,,,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D20; runtime_sec=1.698; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20.yosys.log
ex240,float_fp8,fp8-semantic-r27,ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20,E4M3FN packed add with formulaic GRS for same and diff paths,formulaic same-sign and diff-sign GRS normalizers,"shared field decode, gap predicates, rounding bits, signed-zero shell",ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20.aig,0,,,,,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig_D20; runtime_sec=1.446; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_dc_low_synth_preset_aig_D16,E4M3FN multiply with unreachable product completion,product-class exponent-offset formula with low nearest completion for unreachable product rows,"shared NaN/sign shell, effective exponent sum, significand product, zero/sat/special product predicates",ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_sem_product_dc_low_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_sem_product_dc_low_synth_preset_aig_D16.aig,1,,680,33,22440,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.973; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D16.yosys.log
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_dc_low_synth_preset_aig_D20,E4M3FN multiply with unreachable product completion,product-class exponent-offset formula with low nearest completion for unreachable product rows,"shared NaN/sign shell, effective exponent sum, significand product, zero/sat/special product predicates",ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_sem_product_dc_low_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_sem_product_dc_low_synth_preset_aig_D20.aig,1,,680,33,22440,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=3.118; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_dc_low_abc_g_aig_D20,E4M3FN multiply with unreachable product completion,product-class exponent-offset formula with low nearest completion for unreachable product rows,"shared NaN/sign shell, effective exponent sum, significand product, zero/sat/special product predicates",ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_sem_product_dc_low_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_sem_product_dc_low_abc_g_aig_D20.aig,1,,693,34,23562,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=2.289; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_abc_g_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_bit_exception_synth_preset_aig_D16,E4M3FN multiply with product bit exception predicates,bit-level product exception predicates around dominant exponent-offset formula,shared exponent/significand/product decode plus boundary exception predicates,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_sem_product_bit_exception_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D16.aig,1,,703,40,28120,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=3.522; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D16.yosys.log
