case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,observed_sharing,area_delay_tradeoff,notes
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with same-sign delta and direct diff-normalization table,same-sign delta table plus direct diff residual table keyed by min_eff/diff_sig,"NaN/sign shell, max/min compare, shared effective exponent/significand, gap clamp, same/diff mux",,,,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.949; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16.yosys.log
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with same-sign delta and direct diff-normalization table,same-sign delta table plus direct diff residual table keyed by min_eff/diff_sig,"NaN/sign shell, max/min compare, shared effective exponent/significand, gap clamp, same/diff mux",,,,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=2.252; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20.yosys.log
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with same-sign delta and direct diff-normalization table,same-sign delta table plus direct diff residual table keyed by min_eff/diff_sig,"NaN/sign shell, max/min compare, shared effective exponent/significand, gap clamp, same/diff mux",,,,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=2.012; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20.yosys.log
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with formulaic GRS for same and diff paths,formulaic same-sign and diff-sign GRS normalizers,"shared field decode, gap predicates, rounding bits, signed-zero shell",,,,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D16; runtime_sec=1.634; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16.yosys.log
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with formulaic GRS for same and diff paths,formulaic same-sign and diff-sign GRS normalizers,"shared field decode, gap predicates, rounding bits, signed-zero shell",,,,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D20; runtime_sec=1.698; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20.yosys.log
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with formulaic GRS for same and diff paths,formulaic same-sign and diff-sign GRS normalizers,"shared field decode, gap predicates, rounding bits, signed-zero shell",,,,official evaluate.py status NOT_EQUIV; synth=abc_g_aig_D20; runtime_sec=1.446; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with unreachable product completion,product-class exponent-offset formula with low nearest completion for unreachable product rows,"shared NaN/sign shell, effective exponent sum, significand product, zero/sat/special product predicates",,,,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.973; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D16.yosys.log
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with unreachable product completion,product-class exponent-offset formula with low nearest completion for unreachable product rows,"shared NaN/sign shell, effective exponent sum, significand product, zero/sat/special product predicates",,,,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=3.118; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with unreachable product completion,product-class exponent-offset formula with low nearest completion for unreachable product rows,"shared NaN/sign shell, effective exponent sum, significand product, zero/sat/special product predicates",,,,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=2.289; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_abc_g_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with product bit exception predicates,bit-level product exception predicates around dominant exponent-offset formula,shared exponent/significand/product decode plus boundary exception predicates,,,,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=3.522; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D16.yosys.log
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with product bit exception predicates,bit-level product exception predicates around dominant exponent-offset formula,shared exponent/significand/product decode plus boundary exception predicates,,,,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=3.417; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with product bit exception predicates,bit-level product exception predicates around dominant exponent-offset formula,shared exponent/significand/product decode plus boundary exception predicates,,,,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=3.424; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_abc_g_aig_D20.yosys.log
ex242,float_fp8,fp8-semantic-r27,E4M3FN low-over-high division with direct boundary magnitudes,denominator-nested boundary attributes with low1/low2/low3 direct magnitudes,"NaN/divzero/sign shell, sig/eff decode, signed exponent delta, shared zero/sat/low/linear mux",,,,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D16; runtime_sec=0.774; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16.yosys.log
ex242,float_fp8,fp8-semantic-r27,E4M3FN low-over-high division with direct boundary magnitudes,denominator-nested boundary attributes with low1/low2/low3 direct magnitudes,"NaN/divzero/sign shell, sig/eff decode, signed exponent delta, shared zero/sat/low/linear mux",,,,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D20; runtime_sec=0.812; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20.yosys.log
ex242,float_fp8,fp8-semantic-r27,E4M3FN low-over-high division with direct boundary magnitudes,denominator-nested boundary attributes with low1/low2/low3 direct magnitudes,"NaN/divzero/sign shell, sig/eff decode, signed exponent delta, shared zero/sat/low/linear mux",,,,official evaluate.py status NOT_EQUIV; synth=abc_g_aig_D20; runtime_sec=0.778; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_abc_g_aig_D20.yosys.log
