case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,outcome,reason,evidence_path,next_action
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with same-sign delta and direct diff-normalization table,,,ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D16,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.949; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D16.evaluate.py.log,
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with same-sign delta and direct diff-normalization table,,,ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=2.252; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_synth_preset_aig_D20.evaluate.py.log,
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with same-sign delta and direct diff-normalization table,,,ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|semantic_low_delay_attribute_family|abc_g_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=2.012; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samedelta_diffdirect_abc_g_aig_D20.evaluate.py.log,
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with formulaic GRS for same and diff paths,,,ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D16,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D16; runtime_sec=1.634; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D16.evaluate.py.log,
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with formulaic GRS for same and diff paths,,,ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D20,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D20; runtime_sec=1.698; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_synth_preset_aig_D20.evaluate.py.log,
ex240,float_fp8,fp8-semantic-r27,E4M3FN packed add with formulaic GRS for same and diff paths,,,ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|semantic_low_delay_attribute_family|abc_g_aig_D20,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=abc_g_aig_D20; runtime_sec=1.446; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_sem_samegrs_diffgrs_abc_g_aig_D20.evaluate.py.log,
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with unreachable product completion,,,ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D16,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.973; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D16.evaluate.py.log,
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with unreachable product completion,,,ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=3.118; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_synth_preset_aig_D20.evaluate.py.log,
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with unreachable product completion,,,ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|semantic_low_delay_attribute_family|abc_g_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=2.289; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_dc_low_abc_g_aig_D20.evaluate.py.log,
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with product bit exception predicates,,,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D16,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=3.522; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D16.evaluate.py.log,
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with product bit exception predicates,,,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=3.417; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D20.evaluate.py.log,
ex241,float_fp8,fp8-semantic-r27,E4M3FN multiply with product bit exception predicates,,,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|semantic_low_delay_attribute_family|abc_g_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=3.424; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_abc_g_aig_D20.evaluate.py.log,
ex242,float_fp8,fp8-semantic-r27,E4M3FN low-over-high division with direct boundary magnitudes,,,ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D16,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D16; runtime_sec=0.774; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16.evaluate.py.log,
ex242,float_fp8,fp8-semantic-r27,E4M3FN low-over-high division with direct boundary magnitudes,,,ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D20,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D20; runtime_sec=0.812; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20.evaluate.py.log,
