case,domain,agent_id,status,best_candidate_id,best_area,best_delay,best_adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,evidence_path,next_action,notes,evaluated_candidates,equivalent_candidates,best_candidate,beat_current_frontend,beat_reference,outcome
ex297,unknown,unknown-large-r26,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig,38841,27,1048707,568674,225900,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 38841/27/1048707,,,ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig,0,0,
ex299,unknown,unknown-large-r26,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig,146475,32,4687200,2486379,1013807,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/logs/ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 146475/32/4687200,,,ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig,0,0,
ex294,unknown,unknown-large-r26,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig,71073,30,2132190,246698,133365,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 71073/30/2132190,,,ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig,0,0,
ex295,unknown,unknown-large-r26,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex295_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig,9977,23,229471,123270,68064,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 9977/23/229471,,,ex295_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig,0,0,
ex292,unknown,unknown-large-r26,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex292_r26_stride2prefix_mod4_output_planes_abc_g_aig,25046,25,626150,135780,84854,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/logs/ex292_r26_stride2prefix_mod4_output_planes_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 25046/25/626150,,,ex292_r26_stride2prefix_mod4_output_planes_abc_g_aig,0,0,
ex286,unknown,unknown-sym-r26,no_frontend_improvement,ex286_r26_pairfield_shared_bdd,2308,21,48468,20190,2376,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/logs/ex286_r26_pairfield_shared_bdd.evaluate.py.log,No improvement; continue only with a different hidden-state or cheaper encoded-field sharing basis.,,,,ex286_r26_pairfield_shared_bdd,0,0,
ex287,unknown,unknown-sym-r26,no_frontend_improvement,ex287_r26_pairfield_split_bdd,1591,21,33411,27390,5782,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/logs/ex287_r26_pairfield_split_bdd.evaluate.py.log,No improvement; continue only with a different hidden-state or cheaper encoded-field sharing basis.,,,,ex287_r26_pairfield_split_bdd,0,0,
ex285,unknown,unknown-sym-r26,no_frontend_improvement,ex285_r26_pairfield_split_bdd,1515,18,27270,13175,5499,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/logs/ex285_r26_pairfield_split_bdd.evaluate.py.log,No improvement; continue only with a different hidden-state or cheaper encoded-field sharing basis.,,,,ex285_r26_pairfield_split_bdd,0,0,
ex288,unknown,unknown-sym-r26,no_frontend_improvement,ex288_r26_pairfield_split_bdd,4080,23,93840,31598,16394,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/logs/ex288_r26_pairfield_split_bdd.evaluate.py.log,No improvement; continue only with a different hidden-state or cheaper encoded-field sharing basis.,,,,ex288_r26_pairfield_split_bdd,0,0,
ex247,float_fp8,fp8-r26,no_frontend_improvement,ex247_r26_qclass_nested_synth_preset_aig,309,30,9270,8349,2975,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_qclass_nested_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex247_r26_qclass_nested_synth_preset_aig,0,0,
