case,domain,agent_id,candidate_id,simulation_status,sim_log,notes,log_path,method_signature,simulation_type,rows_checked
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_bridge_cell_pairs_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/notes/ex297_r26_cellprefix_bridge_cell_pairs.model_check.json,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/notes/ex297_r26_cellprefix_rotl2_residual_cell_pairs.model_check.json,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/notes/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes.model_check.json,exact Python model over 16384 rows,,,exhaustive_python_truth_model_before_synth,
ex299,unknown,unknown-large-r26,ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/notes/ex299_r26_cellprefix_bridge_cell_pairs.model_check.json,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex299,unknown,unknown-large-r26,ex299_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/notes/ex299_r26_cellprefix_rotl2_residual_cell_pairs.model_check.json,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex294,unknown,unknown-large-r26,ex294_r26_stride2prefix_mod4_output_planes_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/notes/ex294_r26_stride2prefix_mod4_output_planes.model_check.json,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex294,unknown,unknown-large-r26,ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/notes/ex294_r26_stride2suffix_adjacent_adjacent_pairs.model_check.json,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex294,unknown,unknown-large-r26,ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/notes/ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes.model_check.json,exact Python model over 65536 rows,,,exhaustive_python_truth_model_before_synth,
ex295,unknown,unknown-large-r26,ex295_r26_cellprefix_bridge_cell_pairs_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/notes/ex295_r26_cellprefix_bridge_cell_pairs.model_check.json,exact Python model over 4096 rows,,,exhaustive_python_truth_model_before_synth,
ex295,unknown,unknown-large-r26,ex295_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,1,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/notes/ex295_r26_cellprefix_rotl2_residual_cell_pairs.model_check.json,exact Python model over 4096 rows,,,exhaustive_python_truth_model_before_synth,
