case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes,representation,reason
ex297,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex297|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,key_kind=cell_prefix_bridge; base_kind=none; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13; bdd_nodes=27058; order=0:1:12:13:2:3:10:11:4:5:8:9:6:7,abc_g_aig,official equivalent but ADP 1050273 does not beat frontend best 568674
ex297,unknown,unknown-large-r26,sparse correction over a shared linear/rotation base,ex297|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,key_kind=cell_prefix_bridge; base_kind=rotl2; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13; bdd_nodes=27264; order=0:1:12:13:2:3:10:11:4:5:8:9:6:7,abc_g_aig,official equivalent but ADP 1187670 does not beat frontend best 568674
ex297,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex297|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig.evaluate.py.log,key_kind=cell_prefix_bridge; base_kind=none; group_name=mod4_output_planes; groups=0:4:8:12/1:5:9:13/2:6:10/3:7:11; bdd_nodes=26424; order=0:1:12:13:2:3:10:11:4:5:8:9:6:7,abc_g_aig,official equivalent but ADP 1048707 does not beat frontend best 568674
ex299,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex299|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/logs/ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,key_kind=cell_prefix_bridge; base_kind=none; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13/14:15; bdd_nodes=107760; order=0:1:14:15:2:3:12:13:4:5:10:11:6:7:8:9,abc_g_aig,official equivalent but ADP 4687200 does not beat frontend best 2486379
ex299,unknown,unknown-large-r26,sparse correction over a shared linear/rotation base,ex299|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/logs/ex299_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,key_kind=cell_prefix_bridge; base_kind=rotl2; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13/14:15; bdd_nodes=109056; order=0:1:14:15:2:3:12:13:4:5:10:11:6:7:8:9,abc_g_aig,official equivalent but ADP 5161608 does not beat frontend best 2486379
ex294,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex294|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_prefix_delta_descriptor_grouped_bdd|shared_stride2_prefix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2prefix_mod4_output_planes_abc_g_aig.evaluate.py.log,key_kind=stride2_prefix_delta; base_kind=none; group_name=mod4_output_planes; groups=0:4:8:12/1:5:9:13/2:6:10:14/3:7:11:15; bdd_nodes=50520; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8,abc_g_aig,official equivalent but ADP 2358449 does not beat frontend best 246698
ex294,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex294|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_suffix_delta_descriptor_grouped_bdd|shared_stride2_suffix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|adjacent_pairs,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig.evaluate.py.log,key_kind=stride2_suffix_delta; base_kind=none; group_name=adjacent_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13/14:15; bdd_nodes=51140; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8,abc_g_aig,official equivalent but ADP 2132190 does not beat frontend best 246698
ex294,unknown,unknown-large-r26,sparse correction over a shared linear/rotation base,ex294|sparse_correction_over_a_shared_linear_rotation_base|stride2_prefix_delta_xor_rotr2_residual_bdd|shared_stride2_prefix_delta_key_wires_plus_xor_rotr2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|mod4_output_planes,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig.evaluate.py.log,key_kind=stride2_prefix_delta; base_kind=xor_rotr2; group_name=mod4_output_planes; groups=0:4:8:12/1:5:9:13/2:6:10:14/3:7:11:15; bdd_nodes=53950; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8,abc_g_aig,official equivalent but ADP 2651740 does not beat frontend best 246698
ex295,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex295|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,key_kind=cell_prefix_bridge; base_kind=none; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11; bdd_nodes=6751; order=0:1:10:11:2:3:8:9:4:5:6:7,abc_g_aig,official equivalent but ADP 229678 does not beat frontend best 123270
ex295,unknown,unknown-large-r26,sparse correction over a shared linear/rotation base,ex295|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,key_kind=cell_prefix_bridge; base_kind=rotl2; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11; bdd_nodes=6764; order=0:1:10:11:2:3:8:9:4:5:6:7,abc_g_aig,official equivalent but ADP 265928 does not beat frontend best 123270
