case,domain,agent_id,candidate_id,hypothesis,variant,method_signature,representation,shared_structure,synth_flow,semantics,output_grouping,verilog_path,aig_path,evaluate_log,verified_truth,equivalent,area,delay,adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,notes,sharing_strategy,simulation_pass,synthesized,current_overall_adp,beats_frontend,beats_overall,yosys_log,official_output_dir,runtime_sec
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_bridge_cell_pairs_abc_g_aig,nonlocal descriptor basis with grouped BDD roots,abc_g_aig,ex297|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,cell_prefix_bridge_descriptor_grouped_bdd,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,yosys abc -g aig,official_truth_exact_transformed_descriptor,cell_pairs,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/verilog/ex297_r26_cellprefix_bridge_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/eval/ex297_r26_cellprefix_bridge_cell_pairs_abc_g_aig/ex297.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,1,1,38899,27,1050273,568674,225900,0,0,official evaluate.py OK; key_kind=cell_prefix_bridge; base_kind=none; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13; bdd_nodes=27058; order=0:1:12:13:2:3:10:11:4:5:8:9:6:7,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,1,1,,0,,,,26.559
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,sparse correction over a shared linear/rotation base,abc_g_aig,ex297|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,cell_prefix_bridge_rotl2_residual_bdd,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,yosys abc -g aig,official_truth_exact_transformed_residual,cell_pairs,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/verilog/ex297_r26_cellprefix_rotl2_residual_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/eval/ex297_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig/ex297.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,1,1,39589,30,1187670,568674,225900,0,0,official evaluate.py OK; key_kind=cell_prefix_bridge; base_kind=rotl2; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13; bdd_nodes=27264; order=0:1:12:13:2:3:10:11:4:5:8:9:6:7,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,1,1,,0,,,,25.410
ex297,unknown,unknown-large-r26,ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig,nonlocal descriptor basis with grouped BDD roots,abc_g_aig,ex297|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,cell_prefix_bridge_descriptor_grouped_bdd,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,yosys abc -g aig,official_truth_exact_transformed_descriptor,mod4_output_planes,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/verilog/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/eval/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig/ex297.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex297/logs/ex297_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig.evaluate.py.log,1,1,38841,27,1048707,568674,225900,0,0,official evaluate.py OK; key_kind=cell_prefix_bridge; base_kind=none; group_name=mod4_output_planes; groups=0:4:8:12/1:5:9:13/2:6:10/3:7:11; bdd_nodes=26424; order=0:1:12:13:2:3:10:11:4:5:8:9:6:7,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,1,1,,0,,,,25.035
ex299,unknown,unknown-large-r26,ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig,nonlocal descriptor basis with grouped BDD roots,abc_g_aig,ex299|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,cell_prefix_bridge_descriptor_grouped_bdd,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,yosys abc -g aig,official_truth_exact_transformed_descriptor,cell_pairs,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/verilog/ex299_r26_cellprefix_bridge_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/eval/ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig/ex299.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/logs/ex299_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,1,1,146475,32,4687200,2486379,1013807,0,0,official evaluate.py OK; key_kind=cell_prefix_bridge; base_kind=none; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13/14:15; bdd_nodes=107760; order=0:1:14:15:2:3:12:13:4:5:10:11:6:7:8:9,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,1,1,,0,,,,94.181
ex299,unknown,unknown-large-r26,ex299_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,sparse correction over a shared linear/rotation base,abc_g_aig,ex299|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,cell_prefix_bridge_rotl2_residual_bdd,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,yosys abc -g aig,official_truth_exact_transformed_residual,cell_pairs,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/verilog/ex299_r26_cellprefix_rotl2_residual_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/eval/ex299_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig/ex299.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex299/logs/ex299_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,1,1,151812,34,5161608,2486379,1013807,0,0,official evaluate.py OK; key_kind=cell_prefix_bridge; base_kind=rotl2; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13/14:15; bdd_nodes=109056; order=0:1:14:15:2:3:12:13:4:5:10:11:6:7:8:9,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,1,1,,0,,,,101.046
ex294,unknown,unknown-large-r26,ex294_r26_stride2prefix_mod4_output_planes_abc_g_aig,nonlocal descriptor basis with grouped BDD roots,abc_g_aig,ex294|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_prefix_delta_descriptor_grouped_bdd|shared_stride2_prefix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,stride2_prefix_delta_descriptor_grouped_bdd,shared stride2_prefix_delta key wires and grouped multi-output BDD roots,yosys abc -g aig,official_truth_exact_transformed_descriptor,mod4_output_planes,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/verilog/ex294_r26_stride2prefix_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/eval/ex294_r26_stride2prefix_mod4_output_planes_abc_g_aig/ex294.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2prefix_mod4_output_planes_abc_g_aig.evaluate.py.log,1,1,76079,31,2358449,246698,133365,0,0,official evaluate.py OK; key_kind=stride2_prefix_delta; base_kind=none; group_name=mod4_output_planes; groups=0:4:8:12/1:5:9:13/2:6:10:14/3:7:11:15; bdd_nodes=50520; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8,shared stride2_prefix_delta key wires and grouped multi-output BDD roots,1,1,,0,,,,43.810
ex294,unknown,unknown-large-r26,ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig,nonlocal descriptor basis with grouped BDD roots,abc_g_aig,ex294|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_suffix_delta_descriptor_grouped_bdd|shared_stride2_suffix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|adjacent_pairs,stride2_suffix_delta_descriptor_grouped_bdd,shared stride2_suffix_delta key wires and grouped multi-output BDD roots,yosys abc -g aig,official_truth_exact_transformed_descriptor,adjacent_pairs,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/verilog/ex294_r26_stride2suffix_adjacent_adjacent_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/eval/ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig/ex294.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig.evaluate.py.log,1,1,71073,30,2132190,246698,133365,0,0,official evaluate.py OK; key_kind=stride2_suffix_delta; base_kind=none; group_name=adjacent_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13/14:15; bdd_nodes=51140; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8,shared stride2_suffix_delta key wires and grouped multi-output BDD roots,1,1,,0,,,,43.474
ex294,unknown,unknown-large-r26,ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig,sparse correction over a shared linear/rotation base,abc_g_aig,ex294|sparse_correction_over_a_shared_linear_rotation_base|stride2_prefix_delta_xor_rotr2_residual_bdd|shared_stride2_prefix_delta_key_wires_plus_xor_rotr2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|mod4_output_planes,stride2_prefix_delta_xor_rotr2_residual_bdd,shared stride2_prefix_delta key wires plus xor_rotr2 base and grouped residual BDD roots,yosys abc -g aig,official_truth_exact_transformed_residual,mod4_output_planes,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/verilog/ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/eval/ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig/ex294.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex294/logs/ex294_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig.evaluate.py.log,1,1,85540,31,2651740,246698,133365,0,0,official evaluate.py OK; key_kind=stride2_prefix_delta; base_kind=xor_rotr2; group_name=mod4_output_planes; groups=0:4:8:12/1:5:9:13/2:6:10:14/3:7:11:15; bdd_nodes=53950; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8,shared stride2_prefix_delta key wires plus xor_rotr2 base and grouped residual BDD roots,1,1,,0,,,,49.751
ex295,unknown,unknown-large-r26,ex295_r26_cellprefix_bridge_cell_pairs_abc_g_aig,nonlocal descriptor basis with grouped BDD roots,abc_g_aig,ex295|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|cell_pairs,cell_prefix_bridge_descriptor_grouped_bdd,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,yosys abc -g aig,official_truth_exact_transformed_descriptor,cell_pairs,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/verilog/ex295_r26_cellprefix_bridge_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/eval/ex295_r26_cellprefix_bridge_cell_pairs_abc_g_aig/ex295.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_bridge_cell_pairs_abc_g_aig.evaluate.py.log,1,1,9986,23,229678,123270,68064,0,0,official evaluate.py OK; key_kind=cell_prefix_bridge; base_kind=none; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11; bdd_nodes=6751; order=0:1:10:11:2:3:8:9:4:5:6:7,shared cell_prefix_bridge key wires and grouped multi-output BDD roots,1,1,,0,,,,4.624
ex295,unknown,unknown-large-r26,ex295_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig,sparse correction over a shared linear/rotation base,abc_g_aig,ex295|sparse_correction_over_a_shared_linear_rotation_base|cell_prefix_bridge_rotl2_residual_bdd|shared_cell_prefix_bridge_key_wires_plus_rotl2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|cell_pairs,cell_prefix_bridge_rotl2_residual_bdd,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,yosys abc -g aig,official_truth_exact_transformed_residual,cell_pairs,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/verilog/ex295_r26_cellprefix_rotl2_residual_cell_pairs.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/eval/ex295_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig/ex295.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_rotl2_residual_cell_pairs_abc_g_aig.evaluate.py.log,1,1,10228,26,265928,123270,68064,0,0,official evaluate.py OK; key_kind=cell_prefix_bridge; base_kind=rotl2; group_name=cell_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11; bdd_nodes=6764; order=0:1:10:11:2:3:8:9:4:5:6:7,shared cell_prefix_bridge key wires plus rotl2 base and grouped residual BDD roots,1,1,,0,,,,4.771
