case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_default_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + default + raw,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|default|raw|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_default_raw.aig,1,not_run,193,28,5404,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_default.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.abc.log; synth_sec=0.192; abc_sec=0.000; eval_sec=0.438
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_default_resyn2rs_area,FP8 source predicate/table restructuring,ex249_split_delta_pred + default + resyn2rs_area,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|default|resyn2rs_area|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_default_resyn2rs_area.aig,1,not_run,174,27,4698,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_resyn2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_default.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_resyn2rs_area.abc.log; synth_sec=0.192; abc_sec=0.075; eval_sec=0.439
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_default_compress2rs_area,FP8 source predicate/table restructuring,ex249_split_delta_pred + default + compress2rs_area,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|default|compress2rs_area|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_default_compress2rs_area.aig,1,not_run,174,30,5220,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_compress2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_default.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_compress2rs_area.abc.log; synth_sec=0.192; abc_sec=0.078; eval_sec=0.441
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_extra_share_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + extra_share + raw,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|extra_share|raw|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_extra_share_raw.aig,1,not_run,192,28,5376,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_extra_share.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_raw.abc.log; synth_sec=0.183; abc_sec=0.000; eval_sec=0.436
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_extra_share_resyn2rs_area,FP8 source predicate/table restructuring,ex249_split_delta_pred + extra_share + resyn2rs_area,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|extra_share|resyn2rs_area|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_extra_share_resyn2rs_area.aig,1,not_run,173,28,4844,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_resyn2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_extra_share.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_resyn2rs_area.abc.log; synth_sec=0.183; abc_sec=0.077; eval_sec=0.438
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_extra_share_compress2rs_area,FP8 source predicate/table restructuring,ex249_split_delta_pred + extra_share + compress2rs_area,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|extra_share|compress2rs_area|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_extra_share_compress2rs_area.aig,1,not_run,172,29,4988,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_compress2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_extra_share.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_compress2rs_area.abc.log; synth_sec=0.183; abc_sec=0.078; eval_sec=0.445
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + abc_g_aig + raw,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|abc_g_aig|raw|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_abc_g_aig_raw.aig,1,not_run,175,28,4900,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_raw.abc.log; synth_sec=0.193; abc_sec=0.000; eval_sec=0.444
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_abc_g_aig_resyn2rs_area,FP8 source predicate/table restructuring,ex249_split_delta_pred + abc_g_aig + resyn2rs_area,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|abc_g_aig|resyn2rs_area|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_abc_g_aig_resyn2rs_area.aig,1,not_run,172,27,4644,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_resyn2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_resyn2rs_area.abc.log; synth_sec=0.193; abc_sec=0.077; eval_sec=0.444
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_abc_g_aig_compress2rs_area,FP8 source predicate/table restructuring,ex249_split_delta_pred + abc_g_aig + compress2rs_area,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|abc_g_aig|compress2rs_area|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_abc_g_aig_compress2rs_area.aig,1,not_run,172,30,5160,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_compress2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_compress2rs_area.abc.log; synth_sec=0.193; abc_sec=0.077; eval_sec=0.440
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_synth_preset_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + synth_preset + raw,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|synth_preset|raw|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_synth_preset_raw.aig,1,not_run,193,27,5211,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_raw.abc.log; synth_sec=0.292; abc_sec=0.000; eval_sec=0.452
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_synth_preset_resyn2rs_area,FP8 source predicate/table restructuring,ex249_split_delta_pred + synth_preset + resyn2rs_area,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|synth_preset|resyn2rs_area|official_evaluate|full_word,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_synth_preset_resyn2rs_area.aig,1,not_run,176,27,4752,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_resyn2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_resyn2rs_area.abc.log; synth_sec=0.292; abc_sec=0.079; eval_sec=0.440
