agent_id,domain,case,candidate,method_signature,sim_status,log_path,source_csv,notes,aig_path,area,delay,adp,old_adp
unknown-hard-r4,unknown,ex286,ex286_r4_routing_residual_shared_bdd_paircanon_rotl1_outside_in_all_rows_abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|routing_residual_shared_bdd|base_paircanon_rotl1_order_outside_in_nodes_1460|yosys_abc_g_aig|official_evaluate_residual_reconstruction|full_word_residual_xor,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/simulation_results.csv,iverilog not available in PATH; official evaluate.py used for final equivalence,,,,,
unknown-hard-r4,unknown,ex286,ex286_r4_boundary_layer_residual_bypass_paircanon_rotl1_outside_in_middle_bdd_edge1_abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|boundary_layer_residual_bypass|base_paircanon_rotl1_order_outside_in_nodes_1589|yosys_abc_g_aig|official_evaluate_residual_reconstruction|boundary_source_decode_plus_middle_residual,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/simulation_results.csv,iverilog not available in PATH; official evaluate.py used for final equivalence,,,,,
unknown-hard-r4,unknown,ex287,ex287_r4_routing_residual_shared_bdd_paircanon_outside_in_all_rows_abc_g_aig,ex287|hamming_weight_preserving_lossy_routing_normalizer|routing_residual_shared_bdd|base_paircanon_order_outside_in_nodes_2078|yosys_abc_g_aig|official_evaluate_residual_reconstruction|full_word_residual_xor,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/simulation_results.csv,iverilog not available in PATH; official evaluate.py used for final equivalence,,,,,
unknown-hard-r4,unknown,ex287,ex287_r4_boundary_layer_residual_bypass_paircanon_pairlate_middle_bdd_edge1_abc_g_aig,ex287|hamming_weight_preserving_lossy_routing_normalizer|boundary_layer_residual_bypass|base_paircanon_order_pairlate_nodes_2246|yosys_abc_g_aig|official_evaluate_residual_reconstruction|boundary_source_decode_plus_middle_residual,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/simulation_results.csv,iverilog not available in PATH; official evaluate.py used for final equivalence,,,,,
unknown-large-r4,unknown,ex285,ex285_r4_current_boundary_d15,ex285|hamming_weight_route_current_boundary_source|single_source_delay_target|preserve_boundary_alt_source|yosys_internal_abc_g_aig_d15|official_evaluate|full_word,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/simulation_results.csv,official evaluate.py used for final equivalence; no separate iverilog simulation,,,,,
unknown-large-r4,unknown,ex285,ex285_r4_paircount_sorted_mask_mix,ex285|hamming_weight_route_grouped_descriptor_masks|paircount_sorted_boundary_mix|boundary_base_paircount_edge_bits_sorted_inner_bits|yosys_internal_abc_g_aig|official_evaluate|grouped_masks_1_10_3_8,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/simulation_results.csv,official evaluate.py used for final equivalence; no separate iverilog simulation,,,,,
unknown-large-r4,unknown,ex288,ex288_r4_current_keybdd_d13,ex288|hamming_weight_route_current_keybdd_source|single_source_delay_target|preserve_keybdd_selected_source|yosys_internal_abc_g_aig_d13|official_evaluate|full_word,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/simulation_results.csv,official evaluate.py used for final equivalence; no separate iverilog simulation,,,,,
unknown-large-r4,unknown,ex288,ex288_r4_boundary_twohot_mask_mix,ex288|hamming_weight_route_grouped_descriptor_masks|boundary_twohot_keybdd_mix|keybdd_base_boundary_extremes_twohot_swap_cells|yosys_internal_abc_g_aig|official_evaluate|grouped_masks_0_14_4_5_8_9,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/simulation_results.csv,official evaluate.py used for final equivalence; no separate iverilog simulation,,,,,
unknown-large-r4,unknown,ex292,ex292_r4_mod4_planes_d19,ex292|global_state_mod4_output_planes|single_source_delay_target|preserve_mod4_bdd_pools|yosys_internal_abc_g_aig_d19|official_evaluate|mod4_planes,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/simulation_results.csv,official evaluate.py used for final equivalence; no separate iverilog simulation,,,,,
unknown-large-r4,unknown,ex292,ex292_r4_adjacent_mod7_mask_mix,ex292|global_state_output_plane_mix|adjacent_mod7_over_mod4_base|mod4_base_adjacent_mid_pairs_mod7_edge_bits|yosys_internal_abc_g_aig|official_evaluate|mixed_planes_0_2_3_7_10_11_13,not_run,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/simulation_results.csv,official evaluate.py used for final equivalence; no separate iverilog simulation,,,,,
