agent_id,domain,case,candidate,method_signature,shared_structure,result,area,delay,adp,source_csv,notes,log_path,aig_path,old_adp
unknown-hard-r4,unknown,ex286,ex286_r4_routing_residual_shared_bdd_paircanon_rotl1_outside_in_all_rows_abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|routing_residual_shared_bdd|base_paircanon_rotl1_order_outside_in_nodes_1460|yosys_abc_g_aig|official_evaluate_residual_reconstruction|full_word_residual_xor,single shared BDD node pool over transformed residual outputs,base=paircanon_rotl1; order=outside_in; boundary=None; bdd_nodes=1460; score=1460,2757,21,57897,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/shared_structure_report.csv,exact model over 8192 truth rows; bdd_nodes=1460; synth_sec=0.818,,,
unknown-hard-r4,unknown,ex286,ex286_r4_boundary_layer_residual_bypass_paircanon_rotl1_outside_in_middle_bdd_edge1_abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|boundary_layer_residual_bypass|base_paircanon_rotl1_order_outside_in_nodes_1589|yosys_abc_g_aig|official_evaluate_residual_reconstruction|boundary_source_decode_plus_middle_residual,single shared BDD node pool over transformed residual outputs,base=paircanon_rotl1; order=outside_in; boundary=1; bdd_nodes=1589; score=1673,3151,31,97681,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/shared_structure_report.csv,exact model over 8192 truth rows; bdd_nodes=1589; synth_sec=1.139,,,
unknown-hard-r4,unknown,ex287,ex287_r4_routing_residual_shared_bdd_paircanon_outside_in_all_rows_abc_g_aig,ex287|hamming_weight_preserving_lossy_routing_normalizer|routing_residual_shared_bdd|base_paircanon_order_outside_in_nodes_2078|yosys_abc_g_aig|official_evaluate_residual_reconstruction|full_word_residual_xor,single shared BDD node pool over transformed residual outputs,base=paircanon; order=outside_in; boundary=None; bdd_nodes=2078; score=2078,3845,23,88435,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/shared_structure_report.csv,exact model over 16384 truth rows; bdd_nodes=2078; synth_sec=1.239,,,
unknown-hard-r4,unknown,ex287,ex287_r4_boundary_layer_residual_bypass_paircanon_pairlate_middle_bdd_edge1_abc_g_aig,ex287|hamming_weight_preserving_lossy_routing_normalizer|boundary_layer_residual_bypass|base_paircanon_order_pairlate_nodes_2246|yosys_abc_g_aig|official_evaluate_residual_reconstruction|boundary_source_decode_plus_middle_residual,single shared BDD node pool over transformed residual outputs,base=paircanon; order=pairlate; boundary=1; bdd_nodes=2246; score=2336,4154,36,149544,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/shared_structure_report.csv,exact model over 16384 truth rows; bdd_nodes=2246; synth_sec=1.492,,,
unknown-large-r4,unknown,ex285,ex285_r4_current_boundary_d15,ex285|hamming_weight_route_current_boundary_source|single_source_delay_target|preserve_boundary_alt_source|yosys_internal_abc_g_aig_d15|official_evaluate|full_word,preserves current boundary helper and tree residual sharing,OK,777,17,13209,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 12800,,,
unknown-large-r4,unknown,ex285,ex285_r4_paircount_sorted_mask_mix,ex285|hamming_weight_route_grouped_descriptor_masks|paircount_sorted_boundary_mix|boundary_base_paircount_edge_bits_sorted_inner_bits|yosys_internal_abc_g_aig|official_evaluate|grouped_masks_1_10_3_8,shared current boundary base plus two exact route descriptor donors,SYNTH_FAIL,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,yosys_exit_code=1,,,
unknown-large-r4,unknown,ex288,ex288_r4_current_keybdd_d13,ex288|hamming_weight_route_current_keybdd_source|single_source_delay_target|preserve_keybdd_selected_source|yosys_internal_abc_g_aig_d13|official_evaluate|full_word,preserves current key-BDD/cofactor grouping,OK,2261,14,31654,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 31598,,,
unknown-large-r4,unknown,ex288,ex288_r4_boundary_twohot_mask_mix,ex288|hamming_weight_route_grouped_descriptor_masks|boundary_twohot_keybdd_mix|keybdd_base_boundary_extremes_twohot_swap_cells|yosys_internal_abc_g_aig|official_evaluate|grouped_masks_0_14_4_5_8_9,shared key-BDD base plus boundary/twohot donors grouped by output role,OK,2269,15,34035,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 31598,,,
unknown-large-r4,unknown,ex292,ex292_r4_mod4_planes_d19,ex292|global_state_mod4_output_planes|single_source_delay_target|preserve_mod4_bdd_pools|yosys_internal_abc_g_aig_d19|official_evaluate|mod4_planes,preserves four scalar BDD pools grouped by output modulo 4,OK,6803,20,136060,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 135780,,,
unknown-large-r4,unknown,ex292,ex292_r4_adjacent_mod7_mask_mix,ex292|global_state_output_plane_mix|adjacent_mod7_over_mod4_base|mod4_base_adjacent_mid_pairs_mod7_edge_bits|yosys_internal_abc_g_aig|official_evaluate|mixed_planes_0_2_3_7_10_11_13,mod4 base with adjacent-pair and mod7 root donors,OK,6760,20,135200,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,official frontend improvement versus target snapshot,,,
