case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex297,unknown,local-unknown-iter-r36,ex297_r36_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex297,unknown,local-unknown-iter-r36,ex297_r36_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex299,unknown,local-unknown-iter-r36,ex299_r36_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-unknown-iter-r36,ex285_r36_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
