case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex297,unknown,local-unknown-iter-r36,ex297_r36_resyn2rs_area_from_frontend_best,1,30995,18,557910,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex297/verilog/ex297_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/aigs/ex297_r36_resyn2rs_area_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_resyn2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_resyn2rs_area_from_frontend_best.abc.log; gen_sec=8.728; eval_sec=0.808; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex297,unknown,local-unknown-iter-r36,ex297_r36_compress2rs_area_from_frontend_best,1,30979,18,557622,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex297/verilog/ex297_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/aigs/ex297_r36_compress2rs_area_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_compress2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_compress2rs_area_from_frontend_best.abc.log; gen_sec=8.829; eval_sec=0.791; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex297,unknown,local-unknown-iter-r36,ex297_r36_dchoice_dc2_from_frontend_best,1,30831,18,554958,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex297/verilog/ex297_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/aigs/ex297_r36_dchoice_dc2_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_dchoice_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_dchoice_dc2_from_frontend_best.abc.log; gen_sec=7.690; eval_sec=0.794; flow=strash; dchoice; dc2; balance
ex297,unknown,local-unknown-iter-r36,ex297_r36_compress_l_no_dc_from_frontend_best,1,31096,18,559728,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex297/verilog/ex297_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/aigs/ex297_r36_compress_l_no_dc_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_compress_l_no_dc_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_compress_l_no_dc_from_frontend_best.abc.log; gen_sec=0.645; eval_sec=0.804; flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
ex297,unknown,local-unknown-iter-r36,ex297_r36_resub_deep_rf_from_frontend_best,1,31079,18,559422,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex297/verilog/ex297_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/aigs/ex297_r36_resub_deep_rf_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_resub_deep_rf_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex297/logs/ex297_r36_resub_deep_rf_from_frontend_best.abc.log; gen_sec=2.495; eval_sec=0.799; flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
ex299,unknown,local-unknown-iter-r36,ex299_r36_resyn2rs_area_from_frontend_best,1,116063,20,2321260,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex299/verilog/ex299_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/aigs/ex299_r36_resyn2rs_area_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_resyn2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_resyn2rs_area_from_frontend_best.abc.log; gen_sec=28.310; eval_sec=4.953; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex299,unknown,local-unknown-iter-r36,ex299_r36_compress2rs_area_from_frontend_best,1,115887,20,2317740,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex299/verilog/ex299_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/aigs/ex299_r36_compress2rs_area_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_compress2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_compress2rs_area_from_frontend_best.abc.log; gen_sec=28.782; eval_sec=4.887; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex299,unknown,local-unknown-iter-r36,ex299_r36_dchoice_dc2_from_frontend_best,1,115969,20,2319380,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex299/verilog/ex299_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/aigs/ex299_r36_dchoice_dc2_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_dchoice_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_dchoice_dc2_from_frontend_best.abc.log; gen_sec=73.420; eval_sec=4.889; flow=strash; dchoice; dc2; balance
ex299,unknown,local-unknown-iter-r36,ex299_r36_compress_l_no_dc_from_frontend_best,1,116504,20,2330080,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex299/verilog/ex299_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/aigs/ex299_r36_compress_l_no_dc_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_compress_l_no_dc_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_compress_l_no_dc_from_frontend_best.abc.log; gen_sec=2.550; eval_sec=4.902; flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
ex299,unknown,local-unknown-iter-r36,ex299_r36_resub_deep_rf_from_frontend_best,1,116385,20,2327700,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex299/verilog/ex299_r24_cell_grouped_symbol_plane_majority_default.v,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/aigs/ex299_r36_resub_deep_rf_from_frontend_best.aig,student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_resub_deep_rf_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex285_ex297_ex299_frontend_gt2_iter_remap_round36_20260613_0810/local-unknown-iter-r36/ex299/logs/ex299_r36_resub_deep_rf_from_frontend_best.abc.log; gen_sec=6.504; eval_sec=4.890; flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
