case,agent_id,hypothesis,representation,shared_structure,expected_sharing,observed_result,notes,candidate_id,synth_flow,domain,method_signature,sharing_scope,verification_status,evidence_path
ex247,fp8-r24,E5M2FN low-over-high division boundary attributes as minimized SOP,bit-sliced SOP for zero/sat/offset/mant/pattern attributes feeding priority region mux,"shared special-case shell, effective exponent/significand decode, exponent delta, minimized attr bits, shared low-pattern decoder",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,385/25/9625,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_default_aig.yosys.log,,,,,,,
ex247,fp8-r24,E5M2FN low-over-high division boundary attributes as minimized SOP,bit-sliced SOP for zero/sat/offset/mant/pattern attributes feeding priority region mux,"shared special-case shell, effective exponent/significand decode, exponent delta, minimized attr bits, shared low-pattern decoder",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,357/25/8925,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_synth_preset_aig.yosys.log,,,,,,,
ex247,fp8-r24,E5M2FN low-over-high division boundary attributes as minimized SOP,bit-sliced SOP boundary attrs with onehot zero/sat/low/linear magnitude combine,"shared special-case shell, effective exponent/significand decode, exponent delta, minimized attr bits, onehot region gates",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,380/25/9500,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_default_aig.yosys.log,,,,,,,
ex247,fp8-r24,E5M2FN low-over-high division boundary attributes as minimized SOP,bit-sliced SOP boundary attrs with onehot zero/sat/low/linear magnitude combine,"shared special-case shell, effective exponent/significand decode, exponent delta, minimized attr bits, onehot region gates",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,361/25/9025,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_synth_preset_aig.yosys.log,,,,,,,
ex246,fp8-r24,E5M2FN multiply product-class attributes without raw product replay,bit-sliced SOP over significand pair for product boundary attributes; no seed12 product-code completion,"shared NaN/sign decode, effective exponents, sigpair attr bits, low-pattern decoder, saturation/linear predicates",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,472/26/12272,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_default_aig.yosys.log,,,,,,,
ex246,fp8-r24,E5M2FN multiply product-class attributes without raw product replay,bit-sliced SOP over significand pair for product boundary attributes; no seed12 product-code completion,"shared NaN/sign decode, effective exponents, sigpair attr bits, low-pattern decoder, saturation/linear predicates",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,443/25/11075,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_synth_preset_aig.yosys.log,,,,,,,
ex246,fp8-r24,E5M2FN multiply commutative sorted-significand attributes,commutative sorted-significand attr SOP using hi/lo pair don't-cares,"shared NaN/sign decode, effective exponents, sorted significand pair, minimized attr bits, low-pattern decoder",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,358/28/10024,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_default_aig.yosys.log,,,,,,,
ex246,fp8-r24,E5M2FN multiply commutative sorted-significand attributes,commutative sorted-significand attr SOP using hi/lo pair don't-cares,"shared NaN/sign decode, effective exponents, sorted significand pair, minimized attr bits, low-pattern decoder",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,345/27/9315,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_synth_preset_aig.yosys.log,,,,,,,
ex244,fp8-r24,E4M3FN hypot max-plus-delta with compact semantic key,"case table only for nonzero max-plus-delta over {max_eff,gap,smax,smin}","shared max/min decode, effective exponent/significand, compact delta key, saturation add",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,804/43/34572,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_default_aig.yosys.log,,,,,,,
ex244,fp8-r24,E4M3FN hypot max-plus-delta with compact semantic key,"case table only for nonzero max-plus-delta over {max_eff,gap,smax,smin}","shared max/min decode, effective exponent/significand, compact delta key, saturation add",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,623/40/24920,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_synth_preset_aig.yosys.log,,,,,,,
ex249,fp8-r24,E5M2FN hypot max-plus-delta with compact semantic key,"case table only for nonzero max-plus-delta over {max_eff,gap,smax,smin}","shared max/min decode, effective exponent/significand, compact delta key, saturation add",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,295/38/11210,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/logs/ex249_r24_compact_delta_case_default_aig.yosys.log,,,,,,,
ex249,fp8-r24,E5M2FN hypot max-plus-delta with compact semantic key,"case table only for nonzero max-plus-delta over {max_eff,gap,smax,smin}","shared max/min decode, effective exponent/significand, compact delta key, saturation add",reduce repeated field/region tables into shared bit-sliced predicates or compact semantic keys,234/38/8892,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/logs/ex249_r24_compact_delta_case_synth_preset_aig.yosys.log,,,,,,,
ex240,fp8-r24,"E4M3FN packed add, high byte plus low byte",blocker after prior-method audit,not synthesized,derive a verified formulaic diff-sign cancellation/renormalization path; avoid threshold-band quantization and broad BDD replay,no official candidate claimed,Evidence in dossier; worker did not update global files.,,,,,,,
ex245,fp8-r24,"E5M2FN packed add, high byte plus low byte",blocker after prior-method audit,not synthesized,find a smaller active small-gap normalizer; avoid threshold-band quantization and full decoded adders,no official candidate claimed,Evidence in dossier; worker did not update global files.,,,,,,,
ex241,fp8-r24,E4M3FN packed multiply,blocker after prior-method audit,not synthesized,try a genuinely shallow product leading/round path before another nested product-table replay,no official candidate claimed,Evidence in dossier; worker did not update global files.,,,,,,,
ex242,fp8-r24,E4M3FN packed low-over-high division,blocker after prior-method audit,not synthesized,compress quotient boundary exceptions while preserving field-table delay; avoid broad BDD and bit-table variants,no official candidate claimed,Evidence in dossier; worker did not update global files.,,,,,,,
ex248,fp8-r24,"E5M2FN packed fmod, low byte mod high byte",blocker after prior-method audit,not synthesized,rewrite periodic remainder critical path without Verilog modulo or no-ABC synth-flow replay,no official candidate claimed,Evidence in dossier; worker did not update global files.,,,,,,,
ex225,mixed-r24,fp16_log10_field_shell_selected_lowbit,nested positive-normal low13 hi6 LUT plus high-bit run trees,shared sign/exp special decode and per-exp high-bit run predicates,,,word output low13 plus high-bit runs,ex225_r24_fp16_nested_low13_hi6_abc_g_aig,abc_g_aig,,,,,
ex225,mixed-r24,fp16_log10_field_shell_selected_lowbit,nested positive-normal low12 hi7 LUT plus high-bit run trees,shared sign/exp special decode and wider mantissa-hi grouping,,,word output low12 plus high-bit runs,ex225_r24_fp16_nested_low12_hi7_abc_g_aig,abc_g_aig,,,,,
ex223,mixed-r24,fp16_log_field_shell_selected_lowbit,nested positive-normal low13 hi5 LUT plus high-bit run trees,shared sign/exp special decode and per-exp high-bit run predicates,,,word output low13 plus high-bit runs,ex223_r24_fp16_nested_low13_hi5_abc_g_aig,abc_g_aig,,,,,
ex223,mixed-r24,fp16_log_field_shell_selected_lowbit,nested positive-normal low12 hi6 LUT plus high-bit run trees,shared sign/exp special decode and wider high-bit predicates,,,word output low12 plus high-bit runs,ex223_r24_fp16_nested_low12_hi6_abc_g_aig,abc_g_aig,,,,,
