case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes,representation,reason
ex247,float_fp8,fp8-r24,E5M2FN low-over-high division boundary attributes as minimized SOP,ex247|E5M2FN packed low-over-high division|minimized boundary attribute SOP plus low-pattern mux|shared sign exponent significand delta and bit-sliced boundary attrs|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|sop_attr_region_mux|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_default_aig.yosys.log,,
ex247,float_fp8,fp8-r24,E5M2FN low-over-high division boundary attributes as minimized SOP,ex247|E5M2FN packed low-over-high division|minimized boundary attribute SOP plus low-pattern mux|shared sign exponent significand delta and bit-sliced boundary attrs|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|sop_attr_region_mux|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_synth_preset_aig.yosys.log,,
ex247,float_fp8,fp8-r24,E5M2FN low-over-high division boundary attributes as minimized SOP,ex247|E5M2FN packed low-over-high division|minimized boundary attribute SOP plus onehot region combine|shared sign exponent significand delta and bit-sliced boundary attrs|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|sop_attr_onehot_output|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_default_aig.yosys.log,,
ex247,float_fp8,fp8-r24,E5M2FN low-over-high division boundary attributes as minimized SOP,ex247|E5M2FN packed low-over-high division|minimized boundary attribute SOP plus onehot region combine|shared sign exponent significand delta and bit-sliced boundary attrs|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|sop_attr_onehot_output|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_synth_preset_aig.yosys.log,,
ex246,float_fp8,fp8-r24,E5M2FN multiply product-class attributes without raw product replay,ex246|E5M2FN packed multiply|sigpair bit-sliced product-boundary attributes|shared sign exponent sigpair attr SOP and low-pattern decoder|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|sigpair_attr_magnitude|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_default_aig.yosys.log,,
ex246,float_fp8,fp8-r24,E5M2FN multiply product-class attributes without raw product replay,ex246|E5M2FN packed multiply|sigpair bit-sliced product-boundary attributes|shared sign exponent sigpair attr SOP and low-pattern decoder|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|sigpair_attr_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_synth_preset_aig.yosys.log,,
ex246,float_fp8,fp8-r24,E5M2FN multiply commutative sorted-significand attributes,ex246|E5M2FN packed multiply|sorted significand bit-sliced product-boundary attributes|shared sign exponent sorted-sig attr SOP and low-pattern decoder|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|sorted_sig_attr_magnitude|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_default_aig.yosys.log,,
ex246,float_fp8,fp8-r24,E5M2FN multiply commutative sorted-significand attributes,ex246|E5M2FN packed multiply|sorted significand bit-sliced product-boundary attributes|shared sign exponent sorted-sig attr SOP and low-pattern decoder|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|sorted_sig_attr_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_synth_preset_aig.yosys.log,,
ex244,float_fp8,fp8-r24,E4M3FN hypot max-plus-delta with compact semantic key,ex244|E4M3FN packed hypot|compact maxeff-gap-sig delta case table|shared abs max min effective exponent gap and delta predicates|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|compact_delta_case|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_default_aig.yosys.log,,
ex244,float_fp8,fp8-r24,E4M3FN hypot max-plus-delta with compact semantic key,ex244|E4M3FN packed hypot|compact maxeff-gap-sig delta case table|shared abs max min effective exponent gap and delta predicates|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|compact_delta_case|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_synth_preset_aig.yosys.log,,
