case,domain,agent_id,candidate_id,simulation_status,sim_log,notes,log_path,method_signature,simulation_type,rows_checked
ex247,float_fp8,fp8-r24,ex247_r24_attr_sop_mux_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex247,float_fp8,fp8-r24,ex247_r24_attr_sop_mux_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex247,float_fp8,fp8-r24,ex247_r24_attr_sop_onehot_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex247,float_fp8,fp8-r24,ex247_r24_attr_sop_onehot_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex246,float_fp8,fp8-r24,ex246_r24_sigpair_attr_sop_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex246,float_fp8,fp8-r24,ex246_r24_sigpair_attr_sop_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex246,float_fp8,fp8-r24,ex246_r24_sorted_sig_attr_sop_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex246,float_fp8,fp8-r24,ex246_r24_sorted_sig_attr_sop_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex244,float_fp8,fp8-r24,ex244_r24_compact_delta_case_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex244,float_fp8,fp8-r24,ex244_r24_compact_delta_case_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex249,float_fp8,fp8-r24,ex249_r24_compact_delta_case_default_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex249,float_fp8,fp8-r24,ex249_r24_compact_delta_case_synth_preset_aig,not_run,,iverilog skipped; official evaluate.py used for equivalence/QoR,,,,
ex225,,mixed-r24,ex225_r24_fp16_nested_low13_hi6_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
ex225,,mixed-r24,ex225_r24_fp16_nested_low12_hi7_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
ex223,,mixed-r24,ex223_r24_fp16_nested_low13_hi5_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
ex223,,mixed-r24,ex223_r24_fp16_nested_low12_hi6_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
ex224,,mixed-r24,ex224_r24_fp16_nested_low11_hi6_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
ex224,,mixed-r24,ex224_r24_fp16_nested_low12_hi5_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
ex274,,mixed-r24,ex274_r24_int_highgap_square_fullrow_csa_csel4_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
ex274,,mixed-r24,ex274_r24_int_highgap_square_pairadder_tree_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
ex266,,mixed-r24,ex266_r24_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig,not_run,,official evaluate.py used for final equivalence/QoR,,,,
