case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes,status,official_output_dir,runtime_sec
ex247,float_fp8,fp8-r24,ex247_r24_attr_sop_mux_default_aig,ex247|E5M2FN packed low-over-high division|minimized boundary attribute SOP plus low-pattern mux|shared sign exponent significand delta and bit-sliced boundary attrs|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|sop_attr_region_mux|default_aig,OK,1,385,25,9625,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/verilog/ex247_r24_attr_sop_mux_default_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/aigs/ex247_r24_attr_sop_mux_default_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_default_aig.yosys.log,,,
ex247,float_fp8,fp8-r24,ex247_r24_attr_sop_mux_synth_preset_aig,ex247|E5M2FN packed low-over-high division|minimized boundary attribute SOP plus low-pattern mux|shared sign exponent significand delta and bit-sliced boundary attrs|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|sop_attr_region_mux|synth_preset_aig,OK,1,357,25,8925,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/verilog/ex247_r24_attr_sop_mux_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/aigs/ex247_r24_attr_sop_mux_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_mux_synth_preset_aig.yosys.log,,,
ex247,float_fp8,fp8-r24,ex247_r24_attr_sop_onehot_default_aig,ex247|E5M2FN packed low-over-high division|minimized boundary attribute SOP plus onehot region combine|shared sign exponent significand delta and bit-sliced boundary attrs|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|sop_attr_onehot_output|default_aig,OK,1,380,25,9500,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/verilog/ex247_r24_attr_sop_onehot_default_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/aigs/ex247_r24_attr_sop_onehot_default_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_default_aig.yosys.log,,,
ex247,float_fp8,fp8-r24,ex247_r24_attr_sop_onehot_synth_preset_aig,ex247|E5M2FN packed low-over-high division|minimized boundary attribute SOP plus onehot region combine|shared sign exponent significand delta and bit-sliced boundary attrs|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|sop_attr_onehot_output|synth_preset_aig,OK,1,361,25,9025,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/verilog/ex247_r24_attr_sop_onehot_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/aigs/ex247_r24_attr_sop_onehot_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex247/logs/ex247_r24_attr_sop_onehot_synth_preset_aig.yosys.log,,,
ex246,float_fp8,fp8-r24,ex246_r24_sigpair_attr_sop_default_aig,ex246|E5M2FN packed multiply|sigpair bit-sliced product-boundary attributes|shared sign exponent sigpair attr SOP and low-pattern decoder|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|sigpair_attr_magnitude|default_aig,OK,1,472,26,12272,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/verilog/ex246_r24_sigpair_attr_sop_default_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/aigs/ex246_r24_sigpair_attr_sop_default_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_default_aig.yosys.log,,,
ex246,float_fp8,fp8-r24,ex246_r24_sigpair_attr_sop_synth_preset_aig,ex246|E5M2FN packed multiply|sigpair bit-sliced product-boundary attributes|shared sign exponent sigpair attr SOP and low-pattern decoder|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|sigpair_attr_magnitude|synth_preset_aig,OK,1,443,25,11075,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/verilog/ex246_r24_sigpair_attr_sop_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/aigs/ex246_r24_sigpair_attr_sop_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sigpair_attr_sop_synth_preset_aig.yosys.log,,,
ex246,float_fp8,fp8-r24,ex246_r24_sorted_sig_attr_sop_default_aig,ex246|E5M2FN packed multiply|sorted significand bit-sliced product-boundary attributes|shared sign exponent sorted-sig attr SOP and low-pattern decoder|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|sorted_sig_attr_magnitude|default_aig,OK,1,358,28,10024,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/verilog/ex246_r24_sorted_sig_attr_sop_default_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/aigs/ex246_r24_sorted_sig_attr_sop_default_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_default_aig.yosys.log,,,
ex246,float_fp8,fp8-r24,ex246_r24_sorted_sig_attr_sop_synth_preset_aig,ex246|E5M2FN packed multiply|sorted significand bit-sliced product-boundary attributes|shared sign exponent sorted-sig attr SOP and low-pattern decoder|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|sorted_sig_attr_magnitude|synth_preset_aig,OK,1,345,27,9315,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/verilog/ex246_r24_sorted_sig_attr_sop_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/aigs/ex246_r24_sorted_sig_attr_sop_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex246/logs/ex246_r24_sorted_sig_attr_sop_synth_preset_aig.yosys.log,,,
ex244,float_fp8,fp8-r24,ex244_r24_compact_delta_case_default_aig,ex244|E4M3FN packed hypot|compact maxeff-gap-sig delta case table|shared abs max min effective exponent gap and delta predicates|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|compact_delta_case|default_aig,OK,1,804,43,34572,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/verilog/ex244_r24_compact_delta_case_default_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/aigs/ex244_r24_compact_delta_case_default_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_default_aig.yosys.log,,,
ex244,float_fp8,fp8-r24,ex244_r24_compact_delta_case_synth_preset_aig,ex244|E4M3FN packed hypot|compact maxeff-gap-sig delta case table|shared abs max min effective exponent gap and delta predicates|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|compact_delta_case|synth_preset_aig,OK,1,623,40,24920,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/verilog/ex244_r24_compact_delta_case_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/aigs/ex244_r24_compact_delta_case_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex244/logs/ex244_r24_compact_delta_case_synth_preset_aig.yosys.log,,,
