round,run_id,agent_id,case,domain,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,method_signature,reference_adp,current_adp,frontend_best_adp,shard_csv,evaluate_status,evaluate_output_dir,official_status
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex200,bf16,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2,1,3650,16,58400,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/verilog/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/aigs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/logs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.evaluate.py.log,OK,official evaluate.py OK,ex200|shared_bf16_exp_field_shell|sep_fields_e4_m3_s0_bits_14_bh2|shared sign_exp special/default shell; mantissa hi3 residual; bit14 split|yosys_abc_g_AND_aigmap|DAZ_exp_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,40052,49294,54405,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/evaluation_results.csv,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex201,bf16,ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1,1,1633,15,24495,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/verilog/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/aigs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/logs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.evaluate.py.log,OK,official evaluate.py OK,ex201|shared_bf16_exp2_field_shell|sep_fields_e3_m3_s0_bits_2_3_bh1|shared sign_exp special/default shell; bit2/bit3 residual grouped separately|yosys_abc_g_AND_aigmap|DAZ_exp2_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,16300,19513,23058,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/evaluation_results.csv,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex202,bf16,ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15,1,3486,17,59262,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex202/verilog/ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex202/aigs/ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex202/logs/ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15.evaluate.py.log,OK,official evaluate.py OK,ex202|bf16_exp10_compact_formula_residual|sep_fields_e3_m3_s0_formula_bits_14_15|shared field tables; formula residual for exponent-msb/sign|yosys_abc_g_AND_aigmap|DAZ_exp10_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,43344,46144,55648,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/evaluation_results.csv,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex203,bf16,ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2,1,4610,17,78370,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex203/verilog/ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex203/aigs/ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex203/logs/ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2.evaluate.py.log,OK,official evaluate.py OK,ex203|bf16_log_grouped_output_residual|sep_fields_e3_m3_s2_bits_13_14_bh2|shared sign/exp/mant tables; selected bit13/bit14 predicates|yosys_abc_g_AND_aigmap|DAZ_ln_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,56948,65088,77248,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/evaluation_results.csv,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex204,bf16,ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14,1,1544,18,27792,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/verilog/ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/aigs/ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/logs/ex204_r94_log2_arithbase_delta_hilo3_formula_bits_9_11_14.evaluate.py.log,OK,official evaluate.py OK,ex204|bf16_log2_arithbase_compact_formula_residual|log2_arithbase_delta_hilo3_formula_bits_9_11_14|shared log2 exponent base; formula residual predicates instead of equality/full-run replay|yosys_abc_g_AND_aigmap|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,15180,20006,24576,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/evaluation_results.csv,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex204,bf16,ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14,1,2250,16,36000,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/verilog/ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/aigs/ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex204/logs/ex204_r94_sep_fields_e3_m3_s0_formula_bits_11_14.evaluate.py.log,OK,official evaluate.py OK,ex204|bf16_log2_field_formula_residual|sep_fields_e3_m3_s0_formula_bits_11_14|shared field tables; formula residual for bits 11/14|yosys_abc_g_AND_aigmap|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,15180,20006,24576,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/evaluation_results.csv,,,
round94,frontend_bf16_unknown_struct_round94_20260614_0552,sub-bf16-exp-log-r94,ex205,bf16,ex205_r94_sign_exp_default_expr_casez_manual_bits_15,1,4755,21,99855,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex205/verilog/ex205_r94_sign_exp_default_expr_casez_manual_bits_15.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex205/aigs/ex205_r94_sign_exp_default_expr_casez_manual_bits_15.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex205/logs/ex205_r94_sign_exp_default_expr_casez_manual_bits_15.evaluate.py.log,OK,official evaluate.py OK,ex205|bf16_log10_default_expr_shell|sign_exp_default_expr_casez_manual_bits_15|shared default expression cases; manual sign bit residual|yosys_abc_g_AND_aigmap|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,47128,63440,71104,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/evaluation_results.csv,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut,1,272,12,3264,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/verilog/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/official_eval/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut/ex211.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.evaluate.py.log,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut.yosys.log,,,,,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/evaluation_results.csv,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3,1,296,12,3552,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/verilog/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/official_eval/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3/ex211.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.evaluate.py.log,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3.yosys.log,,,,,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/evaluation_results.csv,,,
,,sub-bf16-recip-power-r94,ex211,bf16,ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3,1,992,14,13888,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/verilog/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/official_eval/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3/ex211.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.evaluate.py.log,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/aigs/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex211/logs/ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3.yosys.log,,,,,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/evaluation_results.csv,,,
