case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,shard_csv,shared_structure,shared_terms,independent_adp,shared_adp,delta_adp,area_delta,delay_delta,round,run_id,domain,hypothesis,representation,key_width,key_count,family,outcome,prior_low_value_signatures_avoided,status,evidence_path
ex223,ex223_r74_description_decision,current FP16 natural log with DAZ FTZ RNE and canonical NaN is good,shared sign exponent special decode plus positive-normal mantissa action decode,description decision only,high,best frontend 10724/19/203756; prompt target 10526/18/189468; no bounded candidate emitted,ex223|description_decision|current_fp16_log_good|shared_decode_dense_positive_normal_blocked|not_run|DAZ_log_FP16_RNE_FTZ|r74_decision,sub-fp16-int-hybrid-r74,Implementation bottleneck is exact dense positive-normal residual logic; bounded shared-action rows are already nonwinning,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp16-int-hybrid-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
ex225,ex225_r74_description_decision,current FP16 log10 with DAZ FTZ RNE and canonical NaN is good,shared sign exponent special decode plus positive-normal mantissa action decode,description decision only,high,best frontend 11512/19/218728; prompt target 10824/19/205656; no bounded candidate emitted,ex225|description_decision|current_fp16_log10_good|shared_decode_dense_positive_normal_blocked|not_run|DAZ_log10_FP16_RNE_FTZ|r74_decision,sub-fp16-int-hybrid-r74,Implementation bottleneck is exact dense positive-normal residual logic; bounded shared-action rows are already nonwinning,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp16-int-hybrid-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
ex260,ex260_r74_description_decision,signed low4 times signed high4 multiply is good,Baugh-Wooley partial-product structure with reverse compressor order and hCLA4 final merge,description decision only,high,best frontend 88/13/1144; prompt target 82/13/1066; no bounded candidate emitted,ex260|description_decision|current_signed_low4_high4_multiply_good|baugh_wooley_rev_hcla4_lowest_known_source|not_run|signed_low4_high4_multiply|r74_decision,sub-fp16-int-hybrid-r74,The current semantic description is exact; direct multiply abs-sign constant-action and signbit hybrids are nonwinning repeats,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp16-int-hybrid-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
ex266,ex266_r74_description_decision,unsigned low5 divided by unsigned high5 with divide-by-zero saturation to 31 is good,cofactor wordmux over divisor high bits and dividend MSB with shared quotient action rows,description decision only,high,best frontend 148/10/1480; prompt target 144/9/1296; q4-only bounded candidate 153/12/1836,ex266|description_decision|current_unsigned_low5_high5_div_dbz_sat_good|cofactor_wordmux_lowest_known_source|synth_preset_d18|unsigned_low5_high5_div_dbz_sat|r74_decision,sub-fp16-int-hybrid-r74,The current semantic description is exact; q4-only source simplification was bounded but did not improve the shared cofactor wordmux,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp16-int-hybrid-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
ex266,ex266_r74_q4_formula_current_wordmux,unsigned 5x5 quotient with divide-by-zero saturation to 31,current magnitude cofactor wordmux plus simple q4 formula,q4 formula with current q3:q0 wordmux,low,153/12/1836,ex266|udiv_q4_formula_current_wordmux|q4_formula_over_current_wordmux|shared_cofactor_wordmux_low4_plus_dbz_b1_q4|synth_preset_d18|unsigned_low5_high5_div_dbz_sat|q4_only,sub-fp16-int-hybrid-r74,Replacing only q4 pruned too little and worsened delay versus current frontend wordmux,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp16-int-hybrid-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
ex240,ex240_r74_action_sign_r64_high_r68_low,,,,,,ex240|E4M3FN packed add|action_sign_r64_high_r68_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,sub-fp8-mid-hybrid-r74,"delta is versus current frontend best registry, not backend target",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/shared_structure_report.csv,three exact source families sliced as sign/high/low producers over shared input field decode,sign_src[7]; high_src magnitude slice; low_src selected low slice,26230,30080,3850,,,,,,,,,,,,,,
ex240,ex240_r74_r64_sign_r68_high_action_low,,,,,,ex240|E4M3FN packed add|r64_sign_r68_high_action_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,sub-fp8-mid-hybrid-r74,"delta is versus current frontend best registry, not backend target",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/shared_structure_report.csv,three exact source families sliced as sign/high/low producers over shared input field decode,sign_src[7]; high_src magnitude slice; low_src selected low slice,26230,28575,2345,,,,,,,,,,,,,,
ex241,ex241_r74_action_sign_nested_high_wires_low,,,,,,ex241|E4M3FN packed multiply|action_sign_nested_high_wires_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,sub-fp8-mid-hybrid-r74,"delta is versus current frontend best registry, not backend target",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/shared_structure_report.csv,three exact product source families sliced as sign/high/low producers over shared sign/exp/product semantics,sign_src[7]; high_src magnitude slice; low_src selected low slice,14094,17760,3666,,,,,,,,,,,,,,
ex241,ex241_r74_wires_sign_action_high_nested_low,,,,,,ex241|E4M3FN packed multiply|wires_sign_action_high_nested_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,sub-fp8-mid-hybrid-r74,"delta is versus current frontend best registry, not backend target",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/shared_structure_report.csv,three exact product source families sliced as sign/high/low producers over shared sign/exp/product semantics,sign_src[7]; high_src magnitude slice; low_src selected low slice,14094,19705,5611,,,,,,,,,,,,,,
ex245,ex245_r74_action_sign_active_high_gap_low,,,,,,ex245|E5M2FN packed add|action_sign_active_high_gap_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,sub-fp8-mid-hybrid-r74,"delta is versus current frontend best registry, not backend target",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/shared_structure_report.csv,three exact E5M2 add source families sliced as sign/high/low producers over sorted field decode,sign_src[7]; high_src magnitude slice; low_src selected low slice,22077,24955,2878,,,,,,,,,,,,,,
ex245,ex245_r74_active_sign_gap_high_action_low,,,,,,ex245|E5M2FN packed add|active_sign_gap_high_action_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,sub-fp8-mid-hybrid-r74,"delta is versus current frontend best registry, not backend target",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/shared_structure_report.csv,three exact E5M2 add source families sliced as sign/high/low producers over sorted field decode,sign_src[7]; high_src magnitude slice; low_src selected low slice,22077,25200,3123,,,,,,,,,,,,,,
ex244,ex244_r74_hybrid_a_upper_b_lower,,,,,,,sub-fp8-worst-hybrid-r74,A=maxeff_delta_bdd_expfirst; B=shared_truth_bdd_interleaved; source_lines=203+808,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,upper_out_maxeff_delta_bdd_expfirst_lower_out_shared_truth_bdd_interleaved_with_yosys_pruned_unused_cones,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E4M3FN packed hypot abs high low,source_hybrid_field_select_a_upper_b_lower,upper_bits=5;lower_bits=3,2,,,,,
ex244,ex244_r74_hybrid_b_upper_a_lower,,,,,,,sub-fp8-worst-hybrid-r74,A=maxeff_delta_bdd_expfirst; B=shared_truth_bdd_interleaved; source_lines=203+808,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,upper_out_shared_truth_bdd_interleaved_lower_out_maxeff_delta_bdd_expfirst_with_yosys_pruned_unused_cones,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E4M3FN packed hypot abs high low,source_hybrid_field_select_b_upper_a_lower,upper_bits=5;lower_bits=3,2,,,,,
ex246,ex246_r74_hybrid_a_upper_b_lower,,,,,,,sub-fp8-worst-hybrid-r74,A=product_seed12; B=sigprodcode_factored; source_lines=395+472,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,upper_out_product_seed12_lower_out_sigprodcode_factored_with_yosys_pruned_unused_cones,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed multiply high byte times low byte,source_hybrid_field_select_a_upper_b_lower,upper_bits=6;lower_bits=2,2,,,,,
ex246,ex246_r74_hybrid_b_upper_a_lower,,,,,,,sub-fp8-worst-hybrid-r74,A=product_seed12; B=sigprodcode_factored; source_lines=395+472,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,upper_out_sigprodcode_factored_lower_out_product_seed12_with_yosys_pruned_unused_cones,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed multiply high byte times low byte,source_hybrid_field_select_b_upper_a_lower,upper_bits=6;lower_bits=2,2,,,,,
ex247,ex247_r74_hybrid_a_upper_b_lower,,,,,,,sub-fp8-worst-hybrid-r74,A=boundary_region_mux; B=qclass_smallpat_nested_den; source_lines=164+157,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,upper_out_boundary_region_mux_lower_out_qclass_smallpat_nested_den_with_yosys_pruned_unused_cones,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed division low byte over high byte,source_hybrid_field_select_a_upper_b_lower,upper_bits=6;lower_bits=2,2,,,,,
ex247,ex247_r74_hybrid_b_upper_a_lower,,,,,,,sub-fp8-worst-hybrid-r74,A=boundary_region_mux; B=qclass_smallpat_nested_den; source_lines=164+157,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,upper_out_qclass_smallpat_nested_den_lower_out_boundary_region_mux_with_yosys_pruned_unused_cones,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed division low byte over high byte,source_hybrid_field_select_b_upper_a_lower,upper_bits=6;lower_bits=2,2,,,,,
ex249,ex249_r74_hybrid_a_upper_b_lower,,,,,,,sub-fp8-worst-hybrid-r74,A=rawexp_threshold; B=delta_bdd_keymajor; source_lines=72+770,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,upper_out_rawexp_threshold_lower_out_delta_bdd_keymajor_with_yosys_pruned_unused_cones,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed hypot abs high low,source_hybrid_field_select_a_upper_b_lower,upper_bits=6;lower_bits=2,2,,,,,
ex249,ex249_r74_hybrid_b_upper_a_lower,,,,,,,sub-fp8-worst-hybrid-r74,A=rawexp_threshold; B=delta_bdd_keymajor; source_lines=72+770,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,upper_out_delta_bdd_keymajor_lower_out_rawexp_threshold_with_yosys_pruned_unused_cones,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed hypot abs high low,source_hybrid_field_select_b_upper_a_lower,upper_bits=6;lower_bits=2,2,,,,,
ex244,ex244_description_decision,,,,,,,sub-fp8-worst-hybrid-r74,description is good enough; current bottleneck is low delay max/min plus maxeff delta/saturation implementation not a new semantic hypothesis,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,good_enough_exact_semantic_description_focus_on_shared_maxmin_delta_action,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E4M3FN packed hypot abs high low,high_level_description_decision,key=description,0,,,,,
ex246,ex246_description_decision,,,,,,,sub-fp8-worst-hybrid-r74,description is good enough; current bottleneck is compact product-class action with shared sign exponent product and boundary handling,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,good_enough_exact_semantic_description_focus_on_product_class_action,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed multiply high byte times low byte,high_level_description_decision,key=description,0,,,,,
ex247,ex247_description_decision,,,,,,,sub-fp8-worst-hybrid-r74,description is good enough; current bottleneck is denominator-nested region action and low-underflow residual delay/area,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,good_enough_exact_semantic_description_focus_on_denominator_region_action,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed division low byte over high byte,high_level_description_decision,key=description,0,,,,,
ex249,ex249_description_decision,,,,,,,sub-fp8-worst-hybrid-r74,description is good enough; current bottleneck is shallow rawexp active-gap delta/saturation action rather than another BDD or field hybrid,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/shared_structure_report.csv,good_enough_exact_semantic_description_focus_on_rawexp_delta_action,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,E5M2FN packed hypot abs high low,high_level_description_decision,key=description,0,,,,,
