case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,shard_csv,method_signature,evaluate_command,round,run_id,domain,evaluate_log,status,output_dir,runtime_sec
ex266,ex266_r74_q4_formula_current_wordmux,OK,1,153,12,1836,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp16-int-hybrid-r74/ex266/verilog/ex266_r74_q4_formula_current_wordmux.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp16-int-hybrid-r74/ex266/aigs/ex266_r74_q4_formula_current_wordmux_synth_preset_d18.aig,student/runs/integer/frontend_source_parallel_round74_20260613_1438/sub-fp16-int-hybrid-r74/ex266/logs/ex266_r74_q4_formula_current_wordmux.evaluate.py.log,sub-fp16-int-hybrid-r74,official evaluate.py OK but non-improving,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp16-int-hybrid-r74/evaluation_results.csv,,,,,,,,,
ex240,ex240_r74_action_sign_r64_high_r68_low,,1,640,47,30080,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex240/logs/ex240_r74_action_sign_r64_high_r68_low.evaluate.py.log,sub-fp8-mid-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/evaluation_results.csv,ex240|E4M3FN packed add|action_sign_r64_high_r68_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,python3 evaluate.py --case ex240 --output student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex240/aigs/ex240_r74_action_sign_r64_high_r68_low --timeout 60,,,,,,,
ex240,ex240_r74_r64_sign_r68_high_action_low,,1,635,45,28575,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex240/logs/ex240_r74_r64_sign_r68_high_action_low.evaluate.py.log,sub-fp8-mid-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/evaluation_results.csv,ex240|E4M3FN packed add|r64_sign_r68_high_action_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,python3 evaluate.py --case ex240 --output student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex240/aigs/ex240_r74_r64_sign_r68_high_action_low --timeout 60,,,,,,,
ex241,ex241_r74_action_sign_nested_high_wires_low,,1,555,32,17760,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex241/logs/ex241_r74_action_sign_nested_high_wires_low.evaluate.py.log,sub-fp8-mid-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/evaluation_results.csv,ex241|E4M3FN packed multiply|action_sign_nested_high_wires_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,python3 evaluate.py --case ex241 --output student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex241/aigs/ex241_r74_action_sign_nested_high_wires_low --timeout 60,,,,,,,
ex241,ex241_r74_wires_sign_action_high_nested_low,,1,563,35,19705,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex241/logs/ex241_r74_wires_sign_action_high_nested_low.evaluate.py.log,sub-fp8-mid-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/evaluation_results.csv,ex241|E4M3FN packed multiply|wires_sign_action_high_nested_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,python3 evaluate.py --case ex241 --output student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex241/aigs/ex241_r74_wires_sign_action_high_nested_low --timeout 60,,,,,,,
ex245,ex245_r74_action_sign_active_high_gap_low,,1,713,35,24955,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex245/logs/ex245_r74_action_sign_active_high_gap_low.evaluate.py.log,sub-fp8-mid-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/evaluation_results.csv,ex245|E5M2FN packed add|action_sign_active_high_gap_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,python3 evaluate.py --case ex245 --output student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex245/aigs/ex245_r74_action_sign_active_high_gap_low --timeout 60,,,,,,,
ex245,ex245_r74_active_sign_gap_high_action_low,,1,720,35,25200,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex245/logs/ex245_r74_active_sign_gap_high_action_low.evaluate.py.log,sub-fp8-mid-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/evaluation_results.csv,ex245|E5M2FN packed add|active_sign_gap_high_action_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,python3 evaluate.py --case ex245 --output student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-mid-hybrid-r74/ex245/aigs/ex245_r74_active_sign_gap_high_action_low --timeout 60,,,,,,,
ex244,ex244_r74_hybrid_a_upper_b_lower,,1,322,36,11592,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/verilog/ex244_r74_hybrid_a_upper_b_lower.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/aigs/ex244_r74_hybrid_a_upper_b_lower.aig,,sub-fp8-worst-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/evaluation_results.csv,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/logs/ex244_r74_hybrid_a_upper_b_lower.evaluate.py.log,,,
ex244,ex244_r74_hybrid_b_upper_a_lower,,1,327,37,12099,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/verilog/ex244_r74_hybrid_b_upper_a_lower.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/aigs/ex244_r74_hybrid_b_upper_a_lower.aig,,sub-fp8-worst-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/evaluation_results.csv,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/logs/ex244_r74_hybrid_b_upper_a_lower.evaluate.py.log,,,
ex246,ex246_r74_hybrid_a_upper_b_lower,,1,379,23,8717,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/verilog/ex246_r74_hybrid_a_upper_b_lower.v,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/aigs/ex246_r74_hybrid_a_upper_b_lower.aig,,sub-fp8-worst-hybrid-r74,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/evaluation_results.csv,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/logs/ex246_r74_hybrid_a_upper_b_lower.evaluate.py.log,,,
