case,agent_id,candidate_id,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,notes
ex200,bf16-r6,ex200_semantic_exp_corrected_field_split_abc_g_aig,corrected_exp_field_shell,shared exp saturation predicates plus per-active-exp field tables,separate output exponent/mantissa fields,test whether corrected field reassembly avoids whole-word mux cost,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=0.040
ex200,bf16-r6,ex200_sep_fields_e4_m3_s0_abc_g_aig,truth_derived_field_cofactor,shared sign_exp decode with separate sign/exp/mant cofactors,separate output fields; exp_hi=4 mant_hi=3 sign_hi=0,change sharing boundary away from prior word seed and sparse residual,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=2.527
ex200,bf16-r6,ex200_hilo4_field_mode_abc_g_aig,truth_derived_field_cofactor,shared sign_exp decode and mode-default field overrides,field outputs by sign_exp and mantissa hi4/lo3,reduce duplicated whole-word tables while keeping shallow local cofactors,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=5.432
ex204,bf16-r6,ex204_log2_arithbase_delta_hilo3_bits_10_11_14_bh2_abc_g_gates,log2_arithbase_bitcofactor,shared exponent arithmetic base plus mantissa hi3 delta table and bh2 bit cofactors,whole word with output bits 10/11/14 overridden,probe lower-depth neighboring correction bit set around known bits 11/14,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=4.990
ex204,bf16-r6,ex204_log2_arithbase_delta_hilo3_bits_11_13_14_bh2_abc_g_gates,log2_arithbase_bitcofactor,shared exponent arithmetic base plus mantissa hi3 delta table and bh2 bit cofactors,whole word with output bits 11/13/14 overridden,test alternate high-output correction bit without replaying exact 11/14 seed,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=4.467
ex204,bf16-r6,ex204_log2_arithbase_delta_hilo3_formula_bits_10_11_14_abc_g_gates,log2_formula_correction,shared semantic log2 base plus compact formula correction predicates,whole word with formula bits 10/11/14,replace table cofactors with semantic formula predicates,//; equivalent=0; beats_frontend=0,failed: RuntimeError: no hand formula for ex204 bit 10; runtime_sec=0.047
ex204,bf16-r6,ex204_sep_fields_e4_m3_s0_bits_11_14_bh2_abc_g_gates,log2_separate_field_cofactor,shared sign_exp decode and field cofactors,separate fields plus bits 11/14 bh2,compare field-level sharing against arithbase delta correction,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=3.912
ex205,bf16-r6,ex205_sep_fields_e3_m4_s0_bits_15_bh1_abc_g_aig,log10_field_cofactor,shared sign_exp decode and mantissa hi4 field cofactors,separate fields plus output sign bit bh1,change mantissa split around the known sign-bit field seed,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=5.299
ex205,bf16-r6,ex205_sep_fields_e4_m3_s0_bits_15_bh1_abc_g_aig,log10_field_cofactor,shared sign_exp decode and exponent hi4 field cofactors,separate fields plus output sign bit bh1,change exponent split around the known sign-bit field seed,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=4.957
ex205,bf16-r6,ex205_log10_exp_base_delta_hilo3_abc_g_aig,log10_expbase_delta,shared log10 exponent base with mantissa hi3 delta,whole word positive-domain exponent-base residual,try a smaller semantic arithmetic/base correction form,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=5.388
ex205,bf16-r6,ex205_log10_exp_runs_mant_sep_m5_abc_g_aig,log10_exp_runs_field,shared positive sign/exp range decode and mantissa hi5 tables,separate sign/exp/mant fields,change field split from prior m4 low-value run,//; equivalent=0; beats_frontend=0,failed: SynthError: Yosys failed with exit code 1; runtime_sec=5.834
