case,domain,agent_id,hypothesis,method_signature,status,reason,verilog_path,evaluate_log,notes
ex200,bf16,bf16-r6,bf16_exp_compact_semantic_field_shell,ex200|bf16_exp_compact_semantic_field_shell|separate exponent/mantissa field shell|shared exp saturation predicates plus per-active-exp field tables|abc_g_aig|abc_xf_official_evaluate|separate output exponent/mantissa fields,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex200/verilog/ex200_semantic_exp_corrected_field_split.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=0.040
ex200,bf16,bf16-r6,bf16_exp_compact_semantic_field_shell,ex200|bf16_exp_compact_semantic_field_shell|generic sign_exp field cofactor hi-lo|shared sign_exp decode with separate sign/exp/mant cofactors|abc_g_aig|abc_xf_official_evaluate|separate output fields; exp_hi=4 mant_hi=3 sign_hi=0,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex200/verilog/ex200_sep_fields_e4_m3_s0.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=2.527
ex200,bf16,bf16-r6,bf16_exp_compact_semantic_field_shell,ex200|bf16_exp_compact_semantic_field_shell|mantissa hi-lo field mode defaults|shared sign_exp decode and mode-default field overrides|abc_g_aig|abc_xf_official_evaluate|field outputs by sign_exp and mantissa hi4/lo3,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex200/verilog/ex200_hilo4_field_mode.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=5.432
ex204,bf16,bf16-r6,bf16_log2_lower_depth_correction_forms,ex204|bf16_log2_lower_depth_correction_forms|arithbase delta hi-lo with selected correction bits|shared exponent arithmetic base plus mantissa hi3 delta table and bh2 bit cofactors|abc_g_gates|abc_xf_official_evaluate|whole word with output bits 10/11/14 overridden,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex204/verilog/ex204_log2_arithbase_delta_hilo3_bits_10_11_14_bh2.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=4.990
ex204,bf16,bf16-r6,bf16_log2_lower_depth_correction_forms,ex204|bf16_log2_lower_depth_correction_forms|arithbase delta hi-lo with selected correction bits|shared exponent arithmetic base plus mantissa hi3 delta table and bh2 bit cofactors|abc_g_gates|abc_xf_official_evaluate|whole word with output bits 11/13/14 overridden,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex204/verilog/ex204_log2_arithbase_delta_hilo3_bits_11_13_14_bh2.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=4.467
ex204,bf16,bf16-r6,bf16_log2_lower_depth_correction_forms,ex204|bf16_log2_lower_depth_correction_forms|arithbase delta hi-lo with hand formula bits|shared semantic log2 base plus compact formula correction predicates|abc_g_gates|abc_xf_official_evaluate|whole word with formula bits 10/11/14,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex204/verilog/ex204_log2_arithbase_delta_hilo3_formula_bits_10_11_14.v,,failed: RuntimeError: no hand formula for ex204 bit 10; runtime_sec=0.047
ex204,bf16,bf16-r6,bf16_log2_lower_depth_correction_forms,ex204|bf16_log2_lower_depth_correction_forms|separate fields with selected correction bits|shared sign_exp decode and field cofactors|abc_g_gates|abc_xf_official_evaluate|separate fields plus bits 11/14 bh2,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex204/verilog/ex204_sep_fields_e4_m3_s0_bits_11_14_bh2.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=3.912
ex205,bf16,bf16-r6,bf16_log10_field_cofactor_and_expbase,ex205|bf16_log10_field_cofactor_and_expbase|separate fields with sign-bit cofactor|shared sign_exp decode and mantissa hi4 field cofactors|abc_g_aig|abc_xf_official_evaluate|separate fields plus output sign bit bh1,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex205/verilog/ex205_sep_fields_e3_m4_s0_bits_15_bh1.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=5.299
ex205,bf16,bf16-r6,bf16_log10_field_cofactor_and_expbase,ex205|bf16_log10_field_cofactor_and_expbase|separate fields with sign-bit cofactor|shared sign_exp decode and exponent hi4 field cofactors|abc_g_aig|abc_xf_official_evaluate|separate fields plus output sign bit bh1,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex205/verilog/ex205_sep_fields_e4_m3_s0_bits_15_bh1.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=4.957
ex205,bf16,bf16-r6,bf16_log10_field_cofactor_and_expbase,ex205|bf16_log10_field_cofactor_and_expbase|positive exponent base plus mantissa delta|shared log10 exponent base with mantissa hi3 delta|abc_g_aig|abc_xf_official_evaluate|whole word positive-domain exponent-base residual,FAILED,not_officially_evaluated_no_aig_or_renderer_failure,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/bf16-r6/ex205/verilog/ex205_log10_exp_base_delta_hilo3.v,,failed: SynthError: Yosys failed with exit code 1; runtime_sec=5.388
