case,metric,key,value,detail
ex286,topk_score_family,singleton_vote:identity:bias=center,84/8192,bit_matches=59236/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,"local_window:identity:bias=asc,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=asc,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=asc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=asc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=asc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"local_window:identity:bias=desc,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=desc,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=desc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=desc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=desc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"local_window:identity:bias=center,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=center,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=center",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=center",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=center",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"local_window:identity:bias=edge,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=edge,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=edge",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=edge",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=edge",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"local_window:identity:bias=none,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=none,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=none",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=none",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,layer_image,w0,1,"rows=1;fixed=0=0,1=0,2=0,3=0,4=0,5=0,6=0,7=0,8=0,9=0,10=0,11=0,12=0"
ex286,layer_image,w1,8,"rows=13;fixed=0=0,4=0,7=0,10=0,12=0"
ex286,layer_image,w2,36,rows=78;fixed=
ex286,layer_image,w3,103,rows=286;fixed=
ex286,layer_image,w4,219,rows=715;fixed=
ex286,layer_image,w5,336,rows=1287;fixed=
ex286,layer_image,w6,417,rows=1716;fixed=
ex286,layer_image,w7,417,rows=1716;fixed=
ex286,layer_image,w8,336,rows=1287;fixed=
ex286,layer_image,w9,214,rows=715;fixed=
ex286,layer_image,w10,102,rows=286;fixed=
ex286,layer_image,w11,36,rows=78;fixed=
ex286,layer_image,w12,7,"rows=13;fixed=0=1,3=1,5=1,7=1,11=1,12=1"
ex286,layer_image,w13,1,"rows=1;fixed=0=1,1=1,2=1,3=1,4=1,5=1,6=1,7=1,8=1,9=1,10=1,11=1,12=1"
ex287,topk_score_family,"local_window:identity:bias=asc,radius=0",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
ex287,topk_score_family,"cyclic_window:identity:bias=asc,radius=0",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
ex287,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=asc",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
ex287,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=asc",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
ex287,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=asc",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
ex287,topk_score_family,"local_window:identity:bias=desc,radius=0",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
ex287,topk_score_family,"cyclic_window:identity:bias=desc,radius=0",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
ex287,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=desc",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
ex287,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=desc",107/16384,bit_matches=124262/229376;first=x=0x1;expected=0x40;got=0x1
