case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes
ex202,ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4,bf16_exp10,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_bits_14_15_bh4,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex202/verilog/ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex202/aigs/ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4.aig,1,1,3493,16,55888,4.036,hilo3 field mode base with bit overrides bits=14_15 bit_hi_bits=4 items=2629
ex203,ex203_bf16_log_hilo3_word_mode_bits_14_bh3,bf16_log,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,hilo3_word_mode_bits_14_bh3,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex203/verilog/ex203_bf16_log_hilo3_word_mode_bits_14_bh3.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex203/aigs/ex203_bf16_log_hilo3_word_mode_bits_14_bh3.aig,1,1,4617,17,78489,7.141,hilo3 word mode base with bit overrides bits=14 bit_hi_bits=3 items=7676
ex204,ex204_bf16_log2_delta_pair_first_hilo3_bits_14_bh3,bf16_log2,DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,delta_pair_first_hilo3_bits_14_bh3,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex204/verilog/ex204_bf16_log2_delta_pair_first_hilo3_bits_14_bh3.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex204/aigs/ex204_bf16_log2_delta_pair_first_hilo3_bits_14_bh3.aig,1,1,1597,17,27149,5.351,delta pair base_policy=first delta_mode=hilo3 items=8847; output bit overrides bits=14 bit_hi_bits=3 bit_items=11
ex201,ex201_bf16_exp2_hilo2_field_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo2_field_mode,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/verilog/ex201_bf16_exp2_hilo2_field_mode.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/aigs/ex201_bf16_exp2_hilo2_field_mode.aig,1,1,1629,15,24435,2.485,hi_lo split field_mode=True hi_bits=2 default_mode=default_override items=2769
ex201,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_bits_3_bh1,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,1,1,1647,14,23058,3.223,hilo3 field mode base with bit overrides bits=3 bit_hi_bits=1 items=3626
ex201,ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_bits_3_8_bh1,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.aig,1,1,1655,14,23170,3.401,hilo3 field mode base with bit overrides bits=3_8 bit_hi_bits=1 items=4305
ex202,ex202_bf16_exp10_sep_fields_e3_m3_s0,bf16_exp10,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s0,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0.aig,1,1,3491,16,55856,2.994,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3402
ex202,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,bf16_exp10,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s0_bits_14_15_bh4,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,1,1,3478,16,55648,2.902,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3402; sep bit overrides bits=14_15 bit_hi_bits=4 bit_items=37
ex203,ex203_bf16_log_sep_fields_e2_m3_s3,bf16_log,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,sep_fields_e2_m3_s3,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex203/verilog/ex203_bf16_log_sep_fields_e2_m3_s3.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex203/aigs/ex203_bf16_log_sep_fields_e2_m3_s3.aig,1,1,4584,17,77928,5.853,separate fields exp_hi=2 mant_hi=3 sign_hi=3 items=7963
ex203,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,bf16_log,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s2_bits_14_bh2,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex203/verilog/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex203/aigs/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.aig,1,1,4544,17,77248,6.115,separate fields exp_hi=3 mant_hi=3 sign_hi=2 items=7941; sep bit overrides bits=14 bit_hi_bits=2 bit_items=35
