case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex223,ex223_fp16_log_balanced_ranges_t128,fp16_log,balanced_ranges_t128,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t128.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t128.aig,1,1,1,12009,26,312234,120549,2.590100,0,0,structural_exact,threshold=128; range_groups=6; table_groups=24; range_items=538; table_items=24576,16.540,balanced range-tree FP16 log candidate; threshold=128; range_groups=6; table_groups=24; range_items=538; table_items=24576
ex223,ex223_fp16_log_balanced_ranges_t160,fp16_log,balanced_ranges_t160,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t160.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t160.aig,1,1,1,12636,26,328536,120549,2.725332,0,0,structural_exact,threshold=160; range_groups=8; table_groups=22; range_items=814; table_items=22528,18.731,balanced range-tree FP16 log candidate; threshold=160; range_groups=8; table_groups=22; range_items=814; table_items=22528
ex223,ex223_fp16_log_balanced_ranges_t256,fp16_log,balanced_ranges_t256,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t256.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t256.aig,1,1,1,14283,27,385641,120549,3.199039,0,0,structural_exact,threshold=256; range_groups=18; table_groups=12; range_items=2596; table_items=12288,24.215,balanced range-tree FP16 log candidate; threshold=256; range_groups=18; table_groups=12; range_items=2596; table_items=12288
ex223,ex223_fp16_log_balanced_ranges_t400,fp16_log,balanced_ranges_t400,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t400.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t400.aig,1,1,1,15394,29,446426,120549,3.703274,0,0,structural_exact,threshold=400; range_groups=24; table_groups=6; range_items=4648; table_items=6144,30.708,balanced range-tree FP16 log candidate; threshold=400; range_groups=24; table_groups=6; range_items=4648; table_items=6144
ex223,ex223_fp16_log_balanced_ranges_t700,fp16_log,balanced_ranges_t700,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t700.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t700.aig,1,1,1,16846,29,488534,120549,4.052576,0,0,structural_exact,threshold=700; range_groups=26; table_groups=4; range_items=5987; table_items=4096,34.476,balanced range-tree FP16 log candidate; threshold=700; range_groups=26; table_groups=4; range_items=5987; table_items=4096
ex224,ex224_fp16_log2_balanced_ranges_t128,fp16_log2,balanced_ranges_t128,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/verilog/ex224_fp16_log2_balanced_ranges_t128.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/aigs/ex224_fp16_log2_balanced_ranges_t128.aig,1,1,1,6388,23,146924,64708,2.270569,0,0,structural_exact,threshold=128; range_groups=0; table_groups=30; range_items=0; table_items=30720,9.751,balanced range-tree FP16 log candidate; threshold=128; range_groups=0; table_groups=30; range_items=0; table_items=30720
ex224,ex224_fp16_log2_balanced_ranges_t160,fp16_log2,balanced_ranges_t160,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/verilog/ex224_fp16_log2_balanced_ranges_t160.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/aigs/ex224_fp16_log2_balanced_ranges_t160.aig,1,1,1,6675,24,160200,64708,2.475737,0,0,structural_exact,threshold=160; range_groups=14; table_groups=16; range_items=1806; table_items=16384,12.668,balanced range-tree FP16 log candidate; threshold=160; range_groups=14; table_groups=16; range_items=1806; table_items=16384
ex224,ex224_fp16_log2_balanced_ranges_t256,fp16_log2,balanced_ranges_t256,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/verilog/ex224_fp16_log2_balanced_ranges_t256.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/aigs/ex224_fp16_log2_balanced_ranges_t256.aig,1,1,1,6675,24,160200,64708,2.475737,0,0,structural_exact,threshold=256; range_groups=14; table_groups=16; range_items=1806; table_items=16384,12.959,balanced range-tree FP16 log candidate; threshold=256; range_groups=14; table_groups=16; range_items=1806; table_items=16384
ex224,ex224_fp16_log2_balanced_ranges_t400,fp16_log2,balanced_ranges_t400,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/verilog/ex224_fp16_log2_balanced_ranges_t400.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/aigs/ex224_fp16_log2_balanced_ranges_t400.aig,1,1,1,7560,25,189000,64708,2.920814,0,0,structural_exact,threshold=400; range_groups=22; table_groups=8; range_items=3862; table_items=8192,19.416,balanced range-tree FP16 log candidate; threshold=400; range_groups=22; table_groups=8; range_items=3862; table_items=8192
ex224,ex224_fp16_log2_balanced_ranges_t700,fp16_log2,balanced_ranges_t700,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/verilog/ex224_fp16_log2_balanced_ranges_t700.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/aigs/ex224_fp16_log2_balanced_ranges_t700.aig,1,1,1,9189,27,248103,64708,3.834194,0,0,structural_exact,threshold=700; range_groups=26; table_groups=4; range_items=5914; table_items=4096,28.627,balanced range-tree FP16 log candidate; threshold=700; range_groups=26; table_groups=4; range_items=5914; table_items=4096
