case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex240,8,ex240_r3_shift_align_source_compress,611,44,26884,13299,2.021505,ex240_r3_shift_align_source_compress;ex240_r64_compact_cancel_predicate_mux_synth_preset;ex240_r2_zero_passthrough_abc_g_aig_frontend;ex240_r10_current_muxclean;ex240_r11_nan_or_mask;ex240_r10_output_plane_split;ex240_r9_truth_residual16_overlay;ex240_r10_caseattrs_optfull,8,8,0,
ex241,8,ex241_r27_currentbest_delaytarget_synth_preset_aig_D16,536,29,15544,7224,2.151717,ex241_r27_currentbest_delaytarget_synth_preset_aig_D16;ex241_r10_current_muxclean;ex241_r27_currentbest_delaytarget_abc_g_aig_D20;ex241_r10_output_plane_split;ex241_r9_special_dag_overlay;ex241_r9_truth_residual16_overlay;ex241_r10_caseattrs_optfull;ex241_r11_r71_splitcase_muxclean,8,8,0,
ex242,6,ex242_r71_axis_attr_hardrom,842,21,17682,11900,1.485882,ex242_r71_axis_attr_hardrom;ex242_r8_splitpo_numzero_shell_abc_g_aig_frontend;ex242_r71_splitpo_hardpieces;ex242_r67_div_desc_split;ex242_r27_currentbest_delaytarget_synth_preset_aig_D16;ex242_semantic_div_formula_exception_compact_synth_preset_aig,6,6,0,
ex243,4,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_g_gates,1808,27,48816,53227,0.917129,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_g_gates;ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_d20;ex243_semantic_fmod_modsig_nested_delta_abc_g_aig_abc_g_cmos2;ex243_semantic_fmod_modsig_nested_delta_synth_preset_aig,4,4,0,
ex244,8,ex244_r22_maxeff_delta_bdd_replay,301,34,10234,4272,2.395599,ex244_r22_maxeff_delta_bdd_replay;ex244_r60_gapcofactor_satsplit_field_abc_g_aig;ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset;ex244_r60_gapcofactor_satsplit_raw_abc_g_aig;ex244_semantic_hypot_delta_maxeff_bdd_mixed_synth_preset_aig;ex244_r7_current_sat_boundary_synth_preset_aig;ex244_r60_gapcofactor_satsplit_field_synth_preset;ex244_r69_explicit_sat_bdd_synth_preset_aig,8,8,0,
ex245,8,ex245_ex245_r75_field_active_mux_repo_yosys,741,31,22971,11050,2.078824,ex245_ex245_r75_field_active_mux_repo_yosys;ex245_r11_r89_active_branch_preset;ex245_r11_r89_active_branch_d30;ex245_r11_nan_or_mask;ex245_r10_current_muxclean;ex245_r71_caseattrs_outputsplit;ex245_r26_gap_class_synth_preset_aig;ex245_r8_active_decision,8,8,0,
ex246,8,ex246_semantic_mul_product_dc_seed12_set22to21_synth_preset_aig,341,22,7502,2805,2.674510,ex246_semantic_mul_product_dc_seed12_set22to21_synth_preset_aig;ex246_semantic_mul_product_dc_seed10_synth_preset_aig;ex246_semantic_mul_product_dc_seed132_synth_preset_aig;ex246_semantic_mul_product_dc_seed215_synth_preset_aig;ex246_semantic_mul_product_dc_seed150_synth_preset_aig;ex246_semantic_mul_product_dc_seed272_synth_preset_aig;ex246_semantic_mul_product_dc_seed77_synth_preset_aig;ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_aig_fp8agent,8,8,0,
ex247,8,ex247_r10_caseattrs_optfull,249,26,6474,2975,2.176134,ex247_r10_caseattrs_optfull;ex247_r2_lowpred_step_mux_abc_g_aig_frontend;ex247_r6_low12_grouped_mag_abc_g_aig_frontend;ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend;ex247_r5_grouped_mag_assign_abc_g_aig_frontend;ex247_r2_current_r5_conemix_abc_g_aig_frontend;ex247_r10_guard_rows4;ex247_r11_region_action_code,8,8,0,
ex248,8,ex248_r10_current_muxclean,290,27,7830,4180,1.873206,ex248_r10_current_muxclean;ex248_r11_exp_sig_compare;ex248_r6_numden_range_shell_core;ex248_r8_pruned_periodic_core_abc_g_aig_frontend;ex248_r11_action_mag_select;ex248_r26r_fmod_norm_by_rem_abc_g_aig;ex248_r26r_fmod_norm_by_rem_synth_preset_aig;ex248_r10_output_plane_split,8,8,0,
ex249,8,ex249_r69_manual_sat_increment_synth_preset_aig,165,28,4620,2079,2.222222,ex249_r69_manual_sat_increment_synth_preset_aig;ex249_r7_bitout_boundary_synth_preset_aig;ex249_r2_current_tail_conemix_abc_g_aig_frontend;ex249_r26_threshold_case_synth_preset_aig;ex249_r26r_hypot_onehot_delta_abc_g_aig;ex249_r3_gap_split_delta_planes;ex249_r26r_hypot_onehot_delta_synth_preset_aig;ex249_r9_truth_residual16_overlay,8,8,0,
