case,hypothesis,representation,sharing_strategy,synth_flow,method_signature,status,reason,artifact_path,agent_id,failure_stage,evidence_path,notes,shard_csv,domain,shared_structure,outcome,next_action,candidate_id,variant,verilog_path,aig_path,stage,failure_reason,reuse_policy,log_path
ex223,fp16_log_positive_normal_mant0_special_predicate,current_source_plus_positive_normal_mantissa_zero_exact_cone,,,ex223|fp16_log_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-micro-r72,official_evaluate_qor,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex223/logs/ex223_r72_posnorm_mant0_override_abc_g_aig.evaluate.py.log,current_source_plus_positive_normal_mantissa_zero_exact_cone; positive-normal mantissa-zero exact output cone; 30 sign-exp rows; no low-bit nested/sparse residual replay; runtime_sec=1.357; beats_prompt_current=0; beats_frontend=0; beats_reference=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/failed_hypotheses.csv,,,,,,,,,,,,
ex225,fp16_log10_positive_normal_mant0_special_predicate,current_source_plus_positive_normal_mantissa_zero_exact_cone,,,ex225|fp16_log10_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-micro-r72,official_evaluate_qor,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex225/logs/ex225_r72_posnorm_mant0_override_abc_g_aig.evaluate.py.log,current_source_plus_positive_normal_mantissa_zero_exact_cone; positive-normal mantissa-zero exact output cone; 30 sign-exp rows; no low-bit nested/sparse residual replay; runtime_sec=1.373; beats_prompt_current=0; beats_frontend=0; beats_reference=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/failed_hypotheses.csv,,,,,,,,,,,,
ex260,signed_product_low_carry_predicate,current_source_plus_exact_low2_column_formula,,,ex260|signed_product_low_carry_predicate|exact_low2_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-micro-r72,official_evaluate_qor,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/logs/ex260_r72_low2_column_formula_abc_g_aig.evaluate.py.log,current_source_plus_exact_low2_column_formula; exact two's-complement product low bits 0..1 from shared column carry predicate; runtime_sec=0.151; beats_prompt_current=0; beats_frontend=0; beats_reference=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/failed_hypotheses.csv,,,,,,,,,,,,
ex260,signed_product_low_carry_predicate,current_source_plus_exact_low3_column_formula,,,ex260|signed_product_low_carry_predicate|exact_low3_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-micro-r72,official_evaluate_qor,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/logs/ex260_r72_low3_column_formula_abc_g_aig.evaluate.py.log,current_source_plus_exact_low3_column_formula; exact two's-complement product low bits 0..2 from shared column carry predicate; runtime_sec=0.157; beats_prompt_current=0; beats_frontend=0; beats_reference=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/failed_hypotheses.csv,,,,,,,,,,,,
ex266,udiv_low_quotient_bit_predicate,current_source_plus_exact_q0_bdd_predicate,,,ex266|udiv_low_quotient_bit_predicate|exact_q0_bdd_over_current_source|shared_low_quotient_predicate|yosys_synth_preset_d10|unsigned_low5_high5_div_dbz_sat|local_q0,,official equivalent but did not beat prompt current ADP,,sub-fp16-int-micro-r72,official_evaluate_qor,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex266/logs/ex266_r72_q0_lowbdd_predicate_synth_preset_d10.evaluate.py.log,current_source_plus_exact_q0_bdd_predicate; exact low quotient bit predicate BDD order divisor-low interleave; q0_bdd_nodes=84; runtime_sec=0.178; beats_prompt_current=0; beats_frontend=0; beats_reference=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/failed_hypotheses.csv,,,,,,,,,,,,
ex266,udiv_low_quotient_bit_predicate,current_source_plus_exact_q1_q0_bdd_predicates,,,ex266|udiv_low_quotient_bit_predicate|exact_q1_q0_bdd_over_current_source|shared_low_quotient_predicates|yosys_synth_preset_d10|unsigned_low5_high5_div_dbz_sat|local_q1_q0,,first official ADP in this family was worse than prompt current by more than 50 percent,,sub-fp16-int-micro-r72,bounded_stop,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex266/logs/ex266_r72_q0_lowbdd_predicate_synth_preset_d10.evaluate.py.log,skipped to obey round72 bounded-stop rule,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/failed_hypotheses.csv,,,,,,,,,,,,
ex240,E4M3FN packed add,numeric signless magnitude compare and shared sign variants,,,ex240|E4M3FN packed add|numeric_compare_local_family|repo_yosys_frontend_default|official_evaluate|full_word,,best official 635/49/31115 worse than current target 21046 and frontend best 26230,,sub-fp8-mid-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/logs/ex240_r72_numeric_mag_compare.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/failed_hypotheses.csv,float_fp8,shared sorted field decode and compact diff normalizer,equivalent_but_worse,stop numeric compare and local selected-sign family,,,,,,,,
ex241,E4M3FN packed multiply high byte times low byte,explicit product/significand/effective-exponent wire sharing,,,ex241|E4M3FN packed multiply|local_product_wire_family|repo_yosys_frontend_default|official_evaluate|full_word,,best official 554/30/16620 worse than current target 11592 and frontend best 14094,,sub-fp8-mid-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/logs/ex241_r72_shared_sig_eff_wires.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/failed_hypotheses.csv,float_fp8,shared sign xor exponent sum product and nested product table,equivalent_but_worse,stop local product-wire factoring unless product magnitude representation changes,,,,,,,,
ex245,E5M2FN packed add,zero-pair bypass around class tables,,,ex245|E5M2FN packed add|zero_pair_bypass|repo_yosys_frontend_default|official_evaluate|full_word,,official 724/37/26788 worse than current target 17319 by more than 50 percent and worse than frontend best 22077,,sub-fp8-mid-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex245/logs/ex245_r72_zero_pair_bypass.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/failed_hypotheses.csv,float_fp8,shared sorted E5M2 field decode and zero special predicate,equivalent_but_worse,stop zero/special bypass family,,,,,,,,
ex245,E5M2FN packed add,explicit same/diff table key wires without inactive gating,,,ex245|E5M2FN packed add|explicit_table_keys_no_gate|repo_yosys_frontend_default|official_evaluate|full_word,,official evaluate.py counterexample 16'h8C1E expected 8'h1E got 8'h08,,sub-fp8-mid-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex245/logs/ex245_r72_explicit_table_keys.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/failed_hypotheses.csv,float_fp8,shared sorted E5M2 field decode and reusable table key predicates,not_equivalent,do not reuse explicit key rewrite without re-proving width semantics,,,,,,,,
