case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,shared_structure,simulation_pass,shard_csv,domain,evaluate_log,variant,official_output_dir,verified_truth,reference_adp,beats_overall_current,beats_current_best,method_signature_original
ex223,ex223_r72_posnorm_mant0_override_abc_g_aig,fp16_log_positive_normal_mant0_special_predicate,current_source_plus_positive_normal_mantissa_zero_exact_cone,,,ex223|fp16_log_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex223/verilog/ex223_r72_posnorm_mant0_override.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex223/aigs/ex223_r72_posnorm_mant0_override_abc_g_aig.aig,,1,10742,19,204098,,,current_source_plus_positive_normal_mantissa_zero_exact_cone; positive-normal mantissa-zero exact output cone; 30 sign-exp rows; no low-bit nested/sparse residual replay; runtime_sec=1.357; beats_prompt_current=0; beats_frontend=0; beats_reference=0,sub-fp16-int-micro-r72,shared sign-exp mantissa-zero predicate over current source,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/candidates.csv,,,,,,,,,
ex225,ex225_r72_posnorm_mant0_override_abc_g_aig,fp16_log10_positive_normal_mant0_special_predicate,current_source_plus_positive_normal_mantissa_zero_exact_cone,,,ex225|fp16_log10_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex225/verilog/ex225_r72_posnorm_mant0_override.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex225/aigs/ex225_r72_posnorm_mant0_override_abc_g_aig.aig,,1,11534,19,219146,,,current_source_plus_positive_normal_mantissa_zero_exact_cone; positive-normal mantissa-zero exact output cone; 30 sign-exp rows; no low-bit nested/sparse residual replay; runtime_sec=1.373; beats_prompt_current=0; beats_frontend=0; beats_reference=0,sub-fp16-int-micro-r72,shared sign-exp mantissa-zero predicate over current source,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/candidates.csv,,,,,,,,,
ex260,ex260_r72_low2_column_formula_abc_g_aig,signed_product_low_carry_predicate,current_source_plus_exact_low2_column_formula,,,ex260|signed_product_low_carry_predicate|exact_low2_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/verilog/ex260_r72_low2_column_formula.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/aigs/ex260_r72_low2_column_formula_abc_g_aig.aig,,1,88,14,1232,,,current_source_plus_exact_low2_column_formula; exact two's-complement product low bits 0..1 from shared column carry predicate; runtime_sec=0.151; beats_prompt_current=0; beats_frontend=0; beats_reference=0,sub-fp16-int-micro-r72,shared low-column product and carry predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/candidates.csv,,,,,,,,,
ex260,ex260_r72_low3_column_formula_abc_g_aig,signed_product_low_carry_predicate,current_source_plus_exact_low3_column_formula,,,ex260|signed_product_low_carry_predicate|exact_low3_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/verilog/ex260_r72_low3_column_formula.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/aigs/ex260_r72_low3_column_formula_abc_g_aig.aig,,1,88,14,1232,,,current_source_plus_exact_low3_column_formula; exact two's-complement product low bits 0..2 from shared column carry predicate; runtime_sec=0.157; beats_prompt_current=0; beats_frontend=0; beats_reference=0,sub-fp16-int-micro-r72,shared low-column product and carry predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/candidates.csv,,,,,,,,,
ex266,ex266_r72_q0_lowbdd_predicate_synth_preset_d10,udiv_low_quotient_bit_predicate,current_source_plus_exact_q0_bdd_predicate,,,ex266|udiv_low_quotient_bit_predicate|exact_q0_bdd_over_current_source|shared_low_quotient_predicate|yosys_synth_preset_d10|unsigned_low5_high5_div_dbz_sat|local_q0,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex266/verilog/ex266_r72_q0_lowbdd_predicate.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex266/aigs/ex266_r72_q0_lowbdd_predicate_synth_preset_d10.aig,,1,214,17,3638,,,current_source_plus_exact_q0_bdd_predicate; exact low quotient bit predicate BDD order divisor-low interleave; q0_bdd_nodes=84; runtime_sec=0.178; beats_prompt_current=0; beats_frontend=0; beats_reference=0,sub-fp16-int-micro-r72,single exact quotient LSB predicate with current high quotient source,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/candidates.csv,,,,,,,,,
ex240,ex240_r72_numeric_mag_compare,E4M3FN packed add,numeric signless magnitude compare replacing split exp/mant compare,,,ex240|E4M3FN packed add|numeric_signless_mag_compare|shared_sorted_decode_compact_diffnorm|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/verilog/ex240_r72_numeric_mag_compare.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/aigs/ex240_r72_numeric_mag_compare.aig,,1,635,49,31115,,,official OK but worse than current target and frontend best,sub-fp8-mid-micro-r72,shared sorted field decode and compact diff normalizer,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/logs/ex240_r72_numeric_mag_compare.evaluate.py.log,,,,,,,
ex240,ex240_r72_numeric_compare_shared_sign,E4M3FN packed add,numeric magnitude compare plus shared selected sign wire,,,ex240|E4M3FN packed add|numeric_compare_shared_sign|shared_sorted_decode_maxsign_compact_diffnorm|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/verilog/ex240_r72_numeric_compare_shared_sign.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/aigs/ex240_r72_numeric_compare_shared_sign.aig,,1,635,49,31115,,,official OK but worse than current target and frontend best,sub-fp8-mid-micro-r72,shared sorted field decode max sign and compact diff normalizer,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/logs/ex240_r72_numeric_compare_shared_sign.evaluate.py.log,,,,,,,
ex241,ex241_r72_explicit_product_wires,E4M3FN packed multiply high byte times low byte,explicit product and effective exponent operand wires,,,ex241|E4M3FN packed multiply|explicit_product_eff_operand_wires|shared_sig_product_exp_sum_nested_table|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/verilog/ex241_r72_explicit_product_wires.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/aigs/ex241_r72_explicit_product_wires.aig,,1,567,30,17010,,,official OK but worse than current target and frontend best,sub-fp8-mid-micro-r72,shared sign xor effective exponent sum significand product and nested product table,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/logs/ex241_r72_explicit_product_wires.evaluate.py.log,,,,,,,
ex241,ex241_r72_shared_sig_eff_wires,E4M3FN packed multiply high byte times low byte,shared sig and effective exponent wires preserving original product expression sizing,,,ex241|E4M3FN packed multiply|shared_sig_eff_wires_original_product_sizing|shared_sig_product_exp_sum_nested_table|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/verilog/ex241_r72_shared_sig_eff_wires.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/aigs/ex241_r72_shared_sig_eff_wires.aig,,1,554,30,16620,,,best ex241 round72 row but worse than current target and frontend best,sub-fp8-mid-micro-r72,shared sign xor effective exponent sum significand product and nested product table,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/logs/ex241_r72_shared_sig_eff_wires.evaluate.py.log,,,,,,,
ex245,ex245_r72_zero_pair_bypass,E5M2FN packed add,zero-pair bypass around existing small-gap class tables,,,ex245|E5M2FN packed add|zero_pair_bypass|shared_sorted_decode_zero_special_smallgap_tables|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex245/verilog/ex245_r72_zero_pair_bypass.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex245/aigs/ex245_r72_zero_pair_bypass.aig,,1,724,37,26788,,,official OK but worse than current target and frontend best,sub-fp8-mid-micro-r72,shared sorted E5M2 field decode and zero special predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex245/logs/ex245_r72_zero_pair_bypass.evaluate.py.log,,,,,,,
