case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,shared_structure,shared_terms,independent_adp,shared_adp,delta_adp,area_delta,delay_delta,shard_csv,domain,hypothesis,representation,observed_sharing,area_delay_tradeoff,family,outcome,prior_low_value_signatures_avoided,status,evidence_path
ex223,ex223_r72_posnorm_mant0_override_abc_g_aig,,,,,,ex223|fp16_log_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,sub-fp16-int-micro-r72,current_source_plus_positive_normal_mantissa_zero_exact_cone; positive-normal mantissa-zero exact output cone; 30 sign-exp rows; no low-bit nested/sparse residual replay; runtime_sec=1.357; beats_prompt_current=0; beats_frontend=0; beats_reference=0,shared sign-exp mantissa-zero predicate over current source,positive-normal mantissa-zero exact output cone; 30 sign-exp rows; no low-bit nested/sparse residual replay,,204098,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/shared_structure_report.csv,,,,,,,,,,
ex225,ex225_r72_posnorm_mant0_override_abc_g_aig,,,,,,ex225|fp16_log10_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,sub-fp16-int-micro-r72,current_source_plus_positive_normal_mantissa_zero_exact_cone; positive-normal mantissa-zero exact output cone; 30 sign-exp rows; no low-bit nested/sparse residual replay; runtime_sec=1.373; beats_prompt_current=0; beats_frontend=0; beats_reference=0,shared sign-exp mantissa-zero predicate over current source,positive-normal mantissa-zero exact output cone; 30 sign-exp rows; no low-bit nested/sparse residual replay,,219146,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/shared_structure_report.csv,,,,,,,,,,
ex260,ex260_r72_low2_column_formula_abc_g_aig,,,,,,ex260|signed_product_low_carry_predicate|exact_low2_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,sub-fp16-int-micro-r72,current_source_plus_exact_low2_column_formula; exact two's-complement product low bits 0..1 from shared column carry predicate; runtime_sec=0.151; beats_prompt_current=0; beats_frontend=0; beats_reference=0,shared low-column product and carry predicate,exact two's-complement product low bits 0..1 from shared column carry predicate,,1232,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/shared_structure_report.csv,,,,,,,,,,
ex260,ex260_r72_low3_column_formula_abc_g_aig,,,,,,ex260|signed_product_low_carry_predicate|exact_low3_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,sub-fp16-int-micro-r72,current_source_plus_exact_low3_column_formula; exact two's-complement product low bits 0..2 from shared column carry predicate; runtime_sec=0.157; beats_prompt_current=0; beats_frontend=0; beats_reference=0,shared low-column product and carry predicate,exact two's-complement product low bits 0..2 from shared column carry predicate,,1232,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/shared_structure_report.csv,,,,,,,,,,
ex266,ex266_r72_q0_lowbdd_predicate_synth_preset_d10,,,,,,ex266|udiv_low_quotient_bit_predicate|exact_q0_bdd_over_current_source|shared_low_quotient_predicate|yosys_synth_preset_d10|unsigned_low5_high5_div_dbz_sat|local_q0,sub-fp16-int-micro-r72,current_source_plus_exact_q0_bdd_predicate; exact low quotient bit predicate BDD order divisor-low interleave; q0_bdd_nodes=84; runtime_sec=0.178; beats_prompt_current=0; beats_frontend=0; beats_reference=0,single exact quotient LSB predicate with current high quotient source,exact low quotient bit predicate BDD order divisor-low interleave; q0_bdd_nodes=84,,3638,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/shared_structure_report.csv,,,,,,,,,,
ex240,,,,,,,ex240|E4M3FN packed add|numeric_signless_mag_compare|shared_sorted_decode_compact_diffnorm|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-mid-micro-r72,do not extend unchanged,shared sorted field decode and compact diff normalizer,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/shared_structure_report.csv,float_fp8,E4M3FN packed add,numeric signless magnitude compare,compare cone shared by max/min and diff sign but synthesized deeper than explicit field compare,635/49/31115 vs current target 21046,,,,,
ex240,,,,,,,ex240|E4M3FN packed add|numeric_compare_shared_sign|shared_sorted_decode_maxsign_compact_diffnorm|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-mid-micro-r72,do not extend unchanged,shared sorted field decode max sign and compact diff normalizer,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/shared_structure_report.csv,float_fp8,E4M3FN packed add,numeric compare plus shared selected sign,shared max_sign did not change measured QoR,635/49/31115 vs current target 21046,,,,,
ex241,,,,,,,ex241|E4M3FN packed multiply|explicit_product_eff_operand_wires|shared_sig_product_exp_sum_nested_table|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-mid-micro-r72,need new product magnitude representation,shared sign xor effective exponent sum significand product and nested product table,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/shared_structure_report.csv,float_fp8,E4M3FN packed multiply high byte times low byte,explicit product and effective exponent operand wires,wire sharing around product table preserved equivalence but increased area/delay,567/30/17010 vs current target 11592,,,,,
ex241,,,,,,,ex241|E4M3FN packed multiply|shared_sig_eff_wires_original_product_sizing|shared_sig_product_exp_sum_nested_table|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-mid-micro-r72,stop local wire-only factoring,shared sign xor effective exponent sum significand product and nested product table,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/shared_structure_report.csv,float_fp8,E4M3FN packed multiply high byte times low byte,shared sig and effective exponent wires preserving original product expression sizing,best local sharing variant still worse than frontend best,554/30/16620 vs current target 11592,,,,,
ex245,,,,,,,ex245|E5M2FN packed add|zero_pair_bypass|shared_sorted_decode_zero_special_smallgap_tables|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-mid-micro-r72,stop bypass family,shared sorted E5M2 field decode and zero special predicate,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/shared_structure_report.csv,float_fp8,E5M2FN packed add,zero-pair bypass around existing small-gap class tables,zero predicate adds mux cost and does not reduce active table cost enough,724/37/26788 vs current target 17319,,,,,
ex245,,,,,,,ex245|E5M2FN packed add|explicit_table_keys_no_gate|repo_yosys_frontend_default|official_evaluate|full_word,sub-fp8-mid-micro-r72,do not reuse without re-proving width behavior,shared sorted E5M2 field decode and reusable table key predicates,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/shared_structure_report.csv,float_fp8,E5M2FN packed add,explicit same/diff table key wires without inactive gating,key-wire rewrite was not functionally equivalent,NOT_EQUIV,,,,,
ex244,ex244_r72_sum_sat_highbits,E4M3FN packed hypot,max/min decode plus max-eff gap/sig delta BDD plus high-bit sat predicate,max plus delta with high-bit saturation,low,321/38/12198,ex244|E4M3FN packed hypot|sum high-bit saturation predicate|keep max-eff delta BDD and replace raw compare with high-bit saturation|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,sub-fp8-worst-micro-r72,avoided r69 explicit-sat as-is by using raw sum high-bit predicate; avoided r71 bounded mux,max/min decode plus max-eff gap/sig delta BDD plus high-bit sat predicate,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/shared_structure_report.csv,float_fp8,E4M3FN packed hypot,sum high-bit saturation predicate,,,sum high-bit saturation predicate,equivalent,r69 explicit-sat; r70 keycase bit-predicate residual; r71 bounded delta mux,OK,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_sum_sat_highbits.evaluate.py.log
ex244,ex244_r72_bgt_maxmin,E4M3FN packed hypot,shared b_gt_a comparator feeding max/min and existing delta BDD,max plus delta saturated output,low,332/39/12948,ex244|E4M3FN packed hypot|comparator polarity sharing|replace max-min comparator with b_gt_a polarity|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,sub-fp8-worst-micro-r72,avoided r71 lexcmp explicit bit-priority chain; used only comparator polarity sharing,shared b_gt_a comparator feeding max/min and existing delta BDD,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/shared_structure_report.csv,float_fp8,E4M3FN packed hypot,comparator polarity sharing,,,comparator polarity sharing,equivalent,r71 lexcmp; r70 interval bank; copy-preserve gap factoring,OK,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_bgt_maxmin.evaluate.py.log
ex246,ex246_r72_output_mask_mux,E5M2FN packed multiply,sign xor plus exp-sum product class table with masked final output,product-class magnitude output,low,355/24/8520,ex246|E5M2FN packed multiply|final output mask mux|replace ternary NaN output cone with bit-mask mux|yosys_synth_default_abc_g_AND|official_evaluate|product-class magnitude output,sub-fp8-worst-micro-r72,avoided product-zero and local product variants; changed only final output cone,sign xor plus exp-sum product class table with masked final output,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/shared_structure_report.csv,float_fp8,E5M2FN packed multiply,final output mask mux,,,final output mask mux,equivalent,r65 codearith; r69 product-zero; r71 local product,OK,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_output_mask_mux.evaluate.py.log
ex246,ex246_r72_predecoded_sigexp,E5M2FN packed multiply,explicit shared sig and exponent wires feeding existing product-class magnitude table,product-class magnitude output,low,355/24/8520,ex246|E5M2FN packed multiply|shared sig exponent predecode|materialize sig and exponent wires before product-class table|yosys_synth_default_abc_g_AND|official_evaluate|product-class magnitude output,sub-fp8-worst-micro-r72,avoided product-code completion and local partial-product replay; only predecoded current semantic inputs,explicit shared sig and exponent wires feeding existing product-class magnitude table,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/shared_structure_report.csv,float_fp8,E5M2FN packed multiply,shared sig and exponent predecode,,,shared sig and exponent predecode,equivalent,r65 codearith; r70 product interval; r71 local product,OK,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_predecoded_sigexp.evaluate.py.log
ex247,ex247_r72_encoded_region_mux,E5M2FN low-over-high division,denominator boundary attrs plus encoded zero low linear saturation selector,region-selected magnitude output,low,369/25/9225,ex247|E5M2FN low-over-high division|encoded small region mux|encode zero low linear saturation region before magnitude select|yosys_synth_default_abc_g_AND|official_evaluate|region-selected magnitude output,sub-fp8-worst-micro-r72,materially different from r71 direct priority assignment by encoding region first,denominator boundary attrs plus encoded zero low linear saturation selector,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/shared_structure_report.csv,float_fp8,E5M2FN low-over-high division,encoded small region mux,,,encoded small region mux,equivalent,r65 microcode; r69 ternary priority; r71 region mux assign,OK,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_encoded_region_mux.evaluate.py.log
ex247,ex247_r72_shared_mid_region,E5M2FN low-over-high division,denominator boundary attrs plus shared mid-region compare predicate and low-pattern reconstruction,priority region magnitude output,low,367/24/8808,ex247|E5M2FN low-over-high division|shared middle-region predicate|share zero and saturation comparisons before low-underflow predicate|yosys_synth_default_abc_g_AND|official_evaluate|priority region magnitude output,sub-fp8-worst-micro-r72,avoided delta8 compare replay; shared only zero/sat compare predicates feeding low-underflow,denominator boundary attrs plus shared mid-region compare predicate and low-pattern reconstruction,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/shared_structure_report.csv,float_fp8,E5M2FN low-over-high division,shared middle-region predicate,,,shared middle-region predicate,equivalent,r65 microcode; r70 interval; r71 delta8,OK,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_shared_mid_region.evaluate.py.log
ex249,ex249_r72_sum_sat_highbits,E5M2FN packed hypot,raw exponent max/min decode plus active-gap delta table plus high-bit sat predicate,max plus delta with high-bit saturation,low,190/31/5890,ex249|E5M2FN packed hypot|sum high-bit saturation predicate|replace explicit saturation with raw sum high-bit predicate|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,sub-fp8-worst-micro-r72,stopped after first official row because ADP was more than 50 percent worse than current target,raw exponent max/min decode plus active-gap delta table plus high-bit sat predicate,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/shared_structure_report.csv,float_fp8,E5M2FN packed hypot,sum high-bit saturation predicate,,,sum high-bit saturation predicate,equivalent,r65 classifier; r69 raw-exp copy; r71 expdiff-gap and bounded mux,OK,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/logs/ex249_r72_sum_sat_highbits.evaluate.py.log
