case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,method_signature,testbench_path,sim_command,sim_pass,vectors_tested,failure_summary,shard_csv,domain,result,simulation_pass
ex223,ex223_r72_posnorm_mant0_override_abc_g_aig,,,,,sub-fp16-int-micro-r72,,ex223|fp16_log_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,,not_run,not_run,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/simulation_results.csv,,,
ex225,ex225_r72_posnorm_mant0_override_abc_g_aig,,,,,sub-fp16-int-micro-r72,,ex225|fp16_log10_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,,not_run,not_run,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/simulation_results.csv,,,
ex260,ex260_r72_low2_column_formula_abc_g_aig,,,,,sub-fp16-int-micro-r72,,ex260|signed_product_low_carry_predicate|exact_low2_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,,not_run,not_run,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/simulation_results.csv,,,
ex260,ex260_r72_low3_column_formula_abc_g_aig,,,,,sub-fp16-int-micro-r72,,ex260|signed_product_low_carry_predicate|exact_low3_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,,not_run,not_run,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/simulation_results.csv,,,
ex266,ex266_r72_q0_lowbdd_predicate_synth_preset_d10,,,,,sub-fp16-int-micro-r72,,ex266|udiv_low_quotient_bit_predicate|exact_q0_bdd_over_current_source|shared_low_quotient_predicate|yosys_synth_preset_d10|unsigned_low5_high5_div_dbz_sat|local_q0,,not_run,not_run,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/simulation_results.csv,,,
ex240,ex240_r72_numeric_mag_compare,iverilog,,,,sub-fp8-mid-micro-r72,official evaluate.py used for final validity,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/simulation_results.csv,float_fp8,not_run,
ex240,ex240_r72_numeric_compare_shared_sign,iverilog,,,,sub-fp8-mid-micro-r72,official evaluate.py used for final validity,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/simulation_results.csv,float_fp8,not_run,
ex241,ex241_r72_explicit_product_wires,iverilog,,,,sub-fp8-mid-micro-r72,official evaluate.py used for final validity,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/simulation_results.csv,float_fp8,not_run,
ex241,ex241_r72_shared_sig_eff_wires,iverilog,,,,sub-fp8-mid-micro-r72,official evaluate.py used for final validity,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/simulation_results.csv,float_fp8,not_run,
ex245,ex245_r72_zero_pair_bypass,iverilog,,,,sub-fp8-mid-micro-r72,official evaluate.py used for final validity,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/simulation_results.csv,float_fp8,not_run,
