case,agent_id,hypothesis,method_signature,status,reason,evidence_path,next_action,domain,candidate_id,representation,shared_structure,verilog_path,aig_path,log_path,notes,shard_csv,variant,outcome,failure_reason,reuse_policy
ex246,sub-fp8-codearith-r65,E5M2FN multiply code-arithmetic product microcode,ex246|E5M2FN packed multiply|product code arithmetic boundary residual case|shared product default class and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|boundary_residual_case|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r65_mul_boundary_residual_case_default,product log/default exponent microcode with exact boundary residual case table / default,"shared sign xor, significand product, exponent sum, product default class, and residual only near rounding/underflow/saturation boundaries",student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/verilog/ex246_r65_mul_boundary_residual_case.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/aigs/ex246_r65_mul_boundary_residual_case_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_case_default.evaluate.py.log,official OK 406/30/12180; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex246,sub-fp8-codearith-r65,E5M2FN multiply code-arithmetic product microcode,ex246|E5M2FN packed multiply|product code arithmetic boundary residual case|shared product default class and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|boundary_residual_case|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r65_mul_boundary_residual_case_synth_preset_aig,product log/default exponent microcode with exact boundary residual case table / synth_preset_aig,"shared sign xor, significand product, exponent sum, product default class, and residual only near rounding/underflow/saturation boundaries",student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/verilog/ex246_r65_mul_boundary_residual_case.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/aigs/ex246_r65_mul_boundary_residual_case_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_case_synth_preset_aig.evaluate.py.log,official OK 395/29/11455; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex246,sub-fp8-codearith-r65,E5M2FN multiply selected-bit boundary classifiers,ex246|E5M2FN packed multiply|selected boundary bit classifiers|shared product default class and sop residual bits|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|boundary_residual_sop|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r65_mul_boundary_residual_sop_default,product microcode plus minimized Boolean classifiers for residual output bits / default,shared product/exponent arithmetic default with exact residual bits minimized over reachable product/exp keys,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/verilog/ex246_r65_mul_boundary_residual_sop.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/aigs/ex246_r65_mul_boundary_residual_sop_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_sop_default.evaluate.py.log,official OK 379/31/11749; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex246,sub-fp8-codearith-r65,E5M2FN multiply selected-bit boundary classifiers,ex246|E5M2FN packed multiply|selected boundary bit classifiers|shared product default class and sop residual bits|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|boundary_residual_sop|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r65_mul_boundary_residual_sop_synth_preset_aig,product microcode plus minimized Boolean classifiers for residual output bits / synth_preset_aig,shared product/exponent arithmetic default with exact residual bits minimized over reachable product/exp keys,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/verilog/ex246_r65_mul_boundary_residual_sop.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/aigs/ex246_r65_mul_boundary_residual_sop_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex246/logs/ex246_r65_mul_boundary_residual_sop_synth_preset_aig.evaluate.py.log,official OK 359/31/11129; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division signed biased exponent microcode,ex247|E5M2FN packed low-over-high division|signed biased exponent microcode|shared sigpair attr and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|biased_delta_residual_case|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r65_div_biased_delta_microcode_default,sigpair attr microcode with signed exponent-delta default and boundary residual table / default,"shared special-case shell, quotient sigpair attr, signed biased delta, and exact low/sat boundary residual",student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_biased_delta_microcode.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_biased_delta_microcode_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_biased_delta_microcode_default.evaluate.py.log,official OK 475/28/13300; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division signed biased exponent microcode,ex247|E5M2FN packed low-over-high division|signed biased exponent microcode|shared sigpair attr and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|biased_delta_residual_case|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r65_div_biased_delta_microcode_synth_preset_aig,sigpair attr microcode with signed exponent-delta default and boundary residual table / synth_preset_aig,"shared special-case shell, quotient sigpair attr, signed biased delta, and exact low/sat boundary residual",student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_biased_delta_microcode.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_biased_delta_microcode_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_biased_delta_microcode_synth_preset_aig.evaluate.py.log,official OK 462/28/12936; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division quotient reciprocal nibble code,ex247|E5M2FN packed low-over-high division|quotient reciprocal nibble code|shared reciprocal nibble qcode and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|recip_nibble_residual|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r65_div_recip_nibble_residual_default,denominator reciprocal nibble times numerator code with exact sigpair/delta residual / default,"shared reciprocal nibble qcode, signed exponent delta, special-case shell, and exact residual boundary correction",student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_recip_nibble_residual.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_recip_nibble_residual_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_recip_nibble_residual_default.evaluate.py.log,official OK 1044/32/33408; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division quotient reciprocal nibble code,ex247|E5M2FN packed low-over-high division|quotient reciprocal nibble code|shared reciprocal nibble qcode and exact boundary residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|recip_nibble_residual|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r65_div_recip_nibble_residual_synth_preset_aig,denominator reciprocal nibble times numerator code with exact sigpair/delta residual / synth_preset_aig,"shared reciprocal nibble qcode, signed exponent delta, special-case shell, and exact residual boundary correction",student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_recip_nibble_residual.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_recip_nibble_residual_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_recip_nibble_residual_synth_preset_aig.evaluate.py.log,official OK 995/31/30845; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division selected-bit quotient boundary classifiers,ex247|E5M2FN packed low-over-high division|selected quotient boundary bit classifiers|shared sigpair default and sop residual bits|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|quotient_boundary_residual_sop|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r65_div_boundary_residual_sop_default,signed delta microcode plus minimized Boolean classifiers for residual quotient bits / default,shared sigpair arithmetic default with exact residual bits minimized over reachable quotient/delta keys,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_boundary_residual_sop.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_boundary_residual_sop_default.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_boundary_residual_sop_default.evaluate.py.log,official OK 504/26/13104; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division selected-bit quotient boundary classifiers,ex247|E5M2FN packed low-over-high division|selected quotient boundary bit classifiers|shared sigpair default and sop residual bits|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|quotient_boundary_residual_sop|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r65_div_boundary_residual_sop_synth_preset_aig,signed delta microcode plus minimized Boolean classifiers for residual quotient bits / synth_preset_aig,shared sigpair arithmetic default with exact residual bits minimized over reachable quotient/delta keys,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/verilog/ex247_r65_div_boundary_residual_sop.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/aigs/ex247_r65_div_boundary_residual_sop_synth_preset_aig.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-codearith-r65/ex247/logs/ex247_r65_div_boundary_residual_sop_synth_preset_aig.evaluate.py.log,official OK 506/28/14168; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/failed_hypotheses.csv,,,,
